Date_BCE_CE,Event_Type,Civilization,Religious_Change,Scripture_Modification,Political_Impact,Cycle_Alignment,Artificial_Engineering_Evidence
-1900,Religious_Foundation,Tichitt_Culture,Megalithic_Monument_Construction,Stone_Circle_Inscriptions,Ritual_Center_Establishment,20_50_160_250_500,Coordinated_architectural_religious_emergence
-1500,Religious_Codification,Tichitt_Culture,Astronomical_Alignment_Systematization,Stellar_Observation_Records,Priestly_Class_Formation,20_50_160_250_500,Systematic_astronomical_religious_coordination
-1000,Religious_Transition,Tichitt_Culture,Pastoral_Nomadic_Spirituality,Oral_Tradition_Development,Social_Structure_Transformation,20_50_160_250_500,Religious_social_transformation_coordination
300,Religious_Foundation,Ghana_Empire,Soninke_Traditional_Religion,Ancestral_Oral_Traditions,Divine_Kingship_Establishment,20_50_160_250_500,Political_religious_legitimacy_coordination
700,Religious_Contact,Ghana_Empire,Islamic_Trader_Influence,Arabic_Script_Introduction,Commercial_Religious_Integration,20_50_160_250_500,Commercial_religious_integration_systematization
1000,Religious_Conversion,Ghana_Empire,Royal_Islamic_Conversion,Quranic_Education_Introduction,Islamic_Administrative_Adoption,20_50_160_250_500,Political_religious_conversion_coordination
1076,Religious_Conquest,Ghana_Empire,Almoravid_Islamic_Imposition,Islamic_Legal_Texts,Political_Subjugation,20_50_160_250_500,Military_religious_conquest_coordination
1235,Religious_Foundation,Mali_Empire,Mandinka_Islamic_Synthesis,Oral_Islamic_Traditions,Islamic_Empire_Legitimacy,20_50_160_250_500,Imperial_religious_synthesis_coordination
1324,Religious_Pilgrimage,Mali_Empire,Mansa_Musa_Hajj,Islamic_Scholarly_Exchange,International_Recognition,20_50_160_250_500,International_religious_political_coordination
1400,Religious_Institutionalization,Mali_Empire,Timbuktu_Islamic_Scholarship,Islamic_Manuscript_Production,Educational_Religious_Authority,20_50_160_250_500,Educational_religious_systematization
1464,Religious_Reform,Songhai_Empire,Sonni_Traditional_Islamic_Synthesis,Syncretic_Religious_Texts,Royal_Religious_Authority,20_50_160_250_500,Religious_political_reform_coordination
1493,Religious_Revolution,Songhai_Empire,Askia_Islamic_Orthodoxy,Islamic_Legal_Codification,Theocratic_State_Establishment,20_50_160_250_500,Theocratic_religious_revolution_coordination
1550,Religious_Peak,Songhai_Empire,Timbuktu_Sankore_University,Islamic_Scholarly_Texts,Educational_Religious_Dominance,20_50_160_250_500,Educational_religious_peak_coordination
1591,Religious_Destruction,Songhai_Empire,Moroccan_Islamic_Conquest,Manuscript_Destruction,Political_Religious_Collapse,20_50_160_250_500,Military_religious_destruction_coordination
1100,Religious_Resistance,Mossi_Kingdoms,Anti_Islamic_Traditional_Religion,Oral_Traditional_Preservation,Political_Religious_Independence,20_50_160_250_500,Religious_political_resistance_coordination
1400,Religious_Consolidation,Mossi_Kingdoms,Traditional_Religious_Systematization,Ritual_Codification,Traditional_Authority_Strengthening,20_50_160_250_500,Traditional_religious_systematization
1850,Religious_Contact,Mossi_Kingdoms,Christian_Missionary_Arrival,Bible_Translation_Attempts,Colonial_Religious_Pressure,20_50_160_250_500,Colonial_religious_intervention_coordination
700,Religious_Foundation,Kanem_Bornu_Empire,Kanuri_Traditional_Religion,Oral_Religious_Traditions,Divine_Kingship_Establishment,20_50_160_250_500,Political_religious_foundation_coordination
1085,Religious_Conversion,Kanem_Bornu_Empire,Royal_Islamic_Conversion,Arabic_Islamic_Texts,Islamic_Administrative_Adoption,20_50_160_250_500,Political_religious_conversion_coordination
1200,Religious_Institutionalization,Kanem_Bornu_Empire,Islamic_State_Religion,Islamic_Legal_System,Theocratic_Administration,20_50_160_250_500,Theocratic_religious_systematization
1000,Religious_Foundation,Hausa_City_States,Hausa_Traditional_Religion,Oral_Religious_Literature,City_State_Religious_Authority,20_50_160_250_500,Political_religious_foundation_coordination
1350,Religious_Conversion,Hausa_City_States,Islamic_Conversion_Waves,Arabic_Literacy_Introduction,Islamic_Commercial_Integration,20_50_160_250_500,Commercial_religious_integration_coordination
1804,Religious_Revolution,Hausa_City_States,Fulani_Jihad_Islamic_Reform,Islamic_Educational_Reforms,Emirate_System_Establishment,20_50_160_250_500,Revolutionary_religious_political_coordination
1100,Religious_Foundation,Yoruba_City_States,Yoruba_Orisha_Systematization,Ifa_Divination_Codification,Oba_Divine_Authority,20_50_160_250_500,Religious_political_systematization
1500,Religious_Contact,Yoruba_City_States,Portuguese_Christian_Contact,Christian_Missionary_Texts,European_Trade_Religious_Integration,20_50_160_250_500,Commercial_religious_contact_coordination
1850,Religious_Conversion,Yoruba_City_States,Christian_Conversion_Movements,Yoruba_Bible_Translation,Colonial_Religious_Transformation,20_50_160_250_500,Colonial_religious_transformation_coordination
1180,Religious_Foundation,Benin_Empire,Edo_Traditional_Religion,Royal_Ancestor_Worship,Divine_Oba_Authority,20_50_160_250_500,Political_religious_foundation_coordination
1485,Religious_Contact,Benin_Empire,Portuguese_Christian_Contact,Christian_Missionary_Attempts,European_Trade_Integration,20_50_160_250_500,Commercial_religious_contact_coordination
1897,Religious_Destruction,Benin_Empire,British_Colonial_Religious_Suppression,Traditional_Art_Destruction,Colonial_Cultural_Domination,20_50_160_250_500,Colonial_religious_destruction_coordination
1670,Religious_Foundation,Ashanti_Empire,Golden_Stool_Sacred_Authority,Akan_Oral_Traditions,Divine_Monarchy_Legitimacy,20_50_160_250_500,Political_religious_foundation_coordination
1750,Religious_Contact,Ashanti_Empire,Christian_Missionary_Activity,Bible_Translation_Attempts,European_Religious_Influence,20_50_160_250_500,Colonial_religious_intervention_coordination
1902,Religious_Transformation,Ashanti_Empire,Colonial_Christian_Imposition,Christian_Educational_Texts,British_Colonial_Control,20_50_160_250_500,Colonial_religious_transformation_coordination
1600,Religious_Foundation,Dahomey_Kingdom,Vodun_Royal_Religion,Fon_Oral_Traditions,Absolute_Monarchy_Legitimacy,20_50_160_250_500,Political_religious_foundation_coordination
1750,Religious_Contact,Dahomey_Kingdom,Christian_Missionary_Arrival,Christian_Text_Introduction,European_Trade_Religious_Integration,20_50_160_250_500,Commercial_religious_contact_coordination
1904,Religious_Transformation,Dahomey_Kingdom,French_Colonial_Religious_Policy,Christian_Educational_Reforms,Colonial_Administrative_Control,20_50_160_250_500,Colonial_religious_transformation_coordination
1300,Religious_Foundation,Oyo_Empire,Shango_Royal_Cult,Yoruba_Praise_Poetry,Imperial_Religious_Authority,20_50_160_250_500,Imperial_religious_foundation_coordination
1650,Religious_Peak,Oyo_Empire,Shango_Cult_Expansion,Orisha_Worship_Systematization,Imperial_Religious_Dominance,20_50_160_250_500,Imperial_religious_peak_coordination
1850,Religious_Decline,Oyo_Empire,Christian_Conversion_Pressure,Yoruba_Christian_Literature,Colonial_Religious_Transformation,20_50_160_250_500,Colonial_religious_decline_coordination
1804,Religious_Revolution,Fulani_Jihad_States,Usman_dan_Fodio_Islamic_Reform,Islamic_Legal_Codification,Theocratic_State_Establishment,20_50_160_250_500,Revolutionary_religious_political_coordination
1820,Religious_Institutionalization,Fulani_Jihad_States,Islamic_Educational_System,Quranic_School_Establishment,Islamic_Administrative_Systematization,20_50_160_250_500,Educational_religious_systematization
1903,Religious_Transformation,Fulani_Jihad_States,British_Colonial_Religious_Policy,Christian_Mission_Education,Colonial_Administrative_Integration,20_50_160_250_500,Colonial_religious_transformation_coordination
1000,Religious_Foundation,Senegambian_States,Wolof_Traditional_Religion,Oral_Religious_Traditions,Kingdom_Religious_Authority,20_50_160_250_500,Political_religious_foundation_coordination
1400,Religious_Conversion,Senegambian_States,Islamic_Conversion_Waves,Arabic_Literacy_Introduction,Islamic_Commercial_Integration,20_50_160_250_500,Commercial_religious_conversion_coordination
1850,Religious_Transformation,Senegambian_States,French_Colonial_Christian_Policy,Christian_Educational_Reforms,Colonial_Administrative_Control,20_50_160_250_500,Colonial_religious_transformation_coordination
1712,Religious_Foundation,Bambara_Empire,Bambara_Traditional_Religion,Oral_Epic_Traditions,Traditional_Monarchy_Legitimacy,20_50_160_250_500,Political_religious_foundation_coordination
1780,Religious_Resistance,Bambara_Empire,Anti_Islamic_Traditional_Consolidation,Traditional_Ritual_Systematization,Religious_Political_Independence,20_50_160_250_500,Religious_political_resistance_coordination
1861,Religious_Conquest,Bambara_Empire,Tukulor_Islamic_Conquest,Islamic_Legal_Imposition,Islamic_Political_Domination,20_50_160_250_500,Military_religious_conquest_coordination
1848,Religious_Revolution,Tukulor_Empire,Al_Hajj_Umar_Sufi_Jihad,Islamic_Educational_Reforms,Theocratic_State_Establishment,20_50_160_250_500,Revolutionary_religious_political_coordination
1870,Religious_Peak,Tukulor_Empire,Islamic_Orthodoxy_Enforcement,Quranic_Legal_Codification,Theocratic_Administrative_Peak,20_50_160_250_500,Theocratic_religious_peak_coordination
