Year,Economic_System,Geographic_Region,Population_Affected,Primary_Economic_Base,Secondary_Economic_Activities,Trade_Networks,Currency_Systems,Wealth_Distribution,Labor_Organization,Production_Methods,Technology_Level,Resource_Exploitation,Market_Systems,Exchange_Mechanisms,Credit_Systems,Investment_Patterns,Capital_Accumulation,Economic_Growth_Rate,Inflation_Rate,Employment_Levels,Productivity_Measures,Economic_Specialization,Industrial_Development,Agricultural_Development,Mining_Development,Manufacturing_Development,Service_Sector_Development,Transportation_Infrastructure,Communication_Infrastructure,Financial_Infrastructure,Educational_Infrastructure,Healthcare_Infrastructure,Housing_Infrastructure,Energy_Infrastructure,Water_Infrastructure,Waste_Management_Infrastructure,Environmental_Infrastructure,Tourism_Infrastructure,Cultural_Infrastructure,Sports_Infrastructure,Research_Infrastructure,Innovation_Infrastructure,International_Trade,Regional_Trade,Local_Trade,Import_Substitution,Export_Promotion,Foreign_Investment,Domestic_Investment,Public_Investment,Private_Investment,Cooperative_Investment,Community_Investment,Individual_Investment,Family_Investment,Clan_Investment,Tribal_Investment,Corporate_Investment,Government_Investment,International_Investment,Multilateral_Investment,Bilateral_Investment,Development_Aid,Technical_Assistance,Capacity_Building,Skills_Development,Entrepreneurship_Development,Small_Business_Development,Medium_Enterprise_Development,Large_Enterprise_Development,Multinational_Corporation_Development,State_Enterprise_Development,Cooperative_Development,Community_Enterprise_Development,Social_Enterprise_Development,Environmental_Enterprise_Development,Cultural_Enterprise_Development,Creative_Industry_Development,Knowledge_Economy_Development,Digital_Economy_Development,Green_Economy_Development,Circular_Economy_Development,Sharing_Economy_Development,Platform_Economy_Development,Gig_Economy_Development,Informal_Economy_Development,Subsistence_Economy_Development,Barter_Economy_Development,Gift_Economy_Development,Reciprocal_Economy_Development,Redistributive_Economy_Development,Market_Economy_Development,Mixed_Economy_Development,Command_Economy_Development,Traditional_Economy_Development,Modern_Economy_Development,Post_Modern_Economy_Development,Sustainable_Economy_Development,Inclusive_Economy_Development,Equitable_Economy_Development,Resilient_Economy_Development,Adaptive_Economy_Development,Innovative_Economy_Development,Competitive_Economy_Development,Collaborative_Economy_Development,Solidarity_Economy_Development
-25000,San_Gift_Economy,Southern_Africa_Kalahari_Drakensberg,80000,Hunter_gatherer_subsistence,Seasonal_gathering_and_tool_making,Regional_exchange_networks,Barter_and_gift_exchange,Egalitarian_distribution,Cooperative_labor_bands,Traditional_hunting_gathering_methods,Stone_tool_technology,Sustainable_resource_use,Gift_exchange_systems,Reciprocal_exchange_mechanisms,Social_credit_systems,Communal_investment_patterns,Minimal_capital_accumulation,Stable_subsistence_growth,No_inflation_concept,Full_employment_participation,High_productivity_per_capita,Hunting_gathering_specialization,No_industrial_development,Gathering_optimization,No_mining_development,Tool_making_specialization,Minimal_service_activities,Walking_path_networks,Oral_communication_systems,Social_relationship_networks,Oral_knowledge_systems,Traditional_healing_systems,Seasonal_shelter_systems,Fire_energy_systems,Natural_water_sources,Minimal_waste_production,Environmental_integration,Seasonal_movement_patterns,Cultural_site_maintenance,Traditional_game_activities,Astronomical_knowledge_systems,Tool_innovation_systems,Regional_gift_networks,Local_band_networks,Daily_sharing_systems,Self_sufficiency_focus,Minimal_surplus_sharing,No_foreign_investment,Communal_resource_investment,Communal_tool_investment,Communal_knowledge_investment,Band_cooperative_investment,Communal_site_investment,Individual_skill_investment,Family_resource_investment,Extended_family_investment,Band_resource_investment,No_corporate_investment,Communal_decision_investment,No_international_investment,No_multilateral_investment,No_bilateral_investment,Knowledge_sharing_aid,Skill_sharing_assistance,Capacity_sharing_building,Traditional_skills_development,Individual_initiative_development,Family_enterprise_development,No_medium_enterprise,No_large_enterprise,No_multinational_development,No_state_enterprise,Band_cooperative_development,Communal_enterprise_development,Social_sharing_enterprise,Environmental_stewardship_enterprise,Cultural_preservation_enterprise,Oral_tradition_industry,Traditional_knowledge_economy,No_digital_economy,Environmental_harmony_economy,Circular_resource_economy,Sharing_gift_economy,No_platform_economy,No_gig_economy,Minimal_informal_economy,Full_subsistence_economy,Extensive_barter_economy,Full_gift_economy,Full_reciprocal_economy,Redistributive_sharing_economy,No_market_economy,No_mixed_economy,No_command_economy,Full_traditional_economy,No_modern_economy,No_post_modern_economy,Full_sustainable_economy,Full_inclusive_economy,Full_equitable_economy,Full_resilient_economy,Full_adaptive_economy,Traditional_innovative_economy,Cooperative_competitive_economy,Full_collaborative_economy,Full_solidarity_economy
300,Khoikhoi_Pastoral_Economy,Western_Southern_Cape,150000,Pastoral_cattle_and_sheep_herding,Seasonal_agriculture_and_crafts,Inter_chiefdom_trade_networks,Cattle_wealth_systems,Hierarchical_clan_distribution,Clan_labor_organization,Traditional_pastoral_methods,Iron_tool_technology,Pastoral_resource_management,Clan_exchange_systems,Cattle_exchange_mechanisms,Cattle_credit_systems,Cattle_investment_patterns,Cattle_wealth_accumulation,Pastoral_growth_patterns,Seasonal_price_variations,Clan_employment_systems,Pastoral_productivity_measures,Pastoral_craft_specialization,Limited_iron_working_development,Pastoral_agricultural_development,Limited_mining_activities,Craft_manufacturing_development,Clan_service_activities,Seasonal_grazing_routes,Oral_clan_communication,Cattle_wealth_networks,Oral_pastoral_knowledge,Traditional_veterinary_systems,Seasonal_pastoral_settlements,Pastoral_energy_systems,Seasonal_water_management,Pastoral_waste_management,Pastoral_environmental_management,Seasonal_movement_tourism,Clan_cultural_activities,Traditional_pastoral_games,Pastoral_knowledge_systems,Pastoral_innovation_systems,Inter_chiefdom_trade,Regional_pastoral_trade,Local_clan_trade,Pastoral_self_sufficiency,Cattle_surplus_exchange,No_foreign_investment,Clan_cattle_investment,Clan_pastoral_investment,Clan_resource_investment,Clan_cooperative_investment,Clan_grazing_investment,Individual_cattle_investment,Family_herd_investment,Extended_family_investment,Clan_herd_investment,No_corporate_investment,Clan_decision_investment,No_international_investment,No_multilateral_investment,No_bilateral_investment,Pastoral_knowledge_sharing,Pastoral_skill_assistance,Pastoral_capacity_building,Pastoral_skills_development,Pastoral_initiative_development,Family_pastoral_enterprise,Clan_pastoral_enterprise,No_large_enterprise,No_multinational_development,No_state_enterprise,Clan_cooperative_development,Clan_enterprise_development,Pastoral_social_enterprise,Pastoral_environmental_enterprise,Pastoral_cultural_enterprise,Pastoral_craft_industry,Pastoral_knowledge_economy,No_digital_economy,Pastoral_environmental_economy,Pastoral_circular_economy,Clan_sharing_economy,No_platform_economy,No_gig_economy,Limited_informal_economy,Pastoral_subsistence_economy,Cattle_barter_economy,Clan_gift_economy,Clan_reciprocal_economy,Clan_redistributive_economy,Limited_market_economy,Pastoral_mixed_economy,No_command_economy,Pastoral_traditional_economy,No_modern_economy,No_post_modern_economy,Pastoral_sustainable_economy,Clan_inclusive_economy,Clan_equitable_economy,Pastoral_resilient_economy,Pastoral_adaptive_economy,Pastoral_innovative_economy,Clan_competitive_economy,Clan_collaborative_economy,Clan_solidarity_economy
1000,Nguni_Mixed_Economy,Eastern_South_Africa,200000,Mixed_farming_and_pastoralism,Iron_working_and_crafts,Inter_chiefdom_trade_networks,Cattle_and_iron_wealth_systems,Patrilineal_hierarchical_distribution,Age_grade_labor_organization,Traditional_mixed_farming_methods,Advanced_iron_technology,Mixed_resource_management,Chiefdom_exchange_systems,Cattle_iron_exchange_mechanisms,Cattle_iron_credit_systems,Mixed_investment_patterns,Cattle_iron_wealth_accumulation,Mixed_economy_growth_patterns,Seasonal_agricultural_variations,Age_grade_employment_systems,Mixed_productivity_measures,Agricultural_iron_specialization,Iron_working_development,Advanced_agricultural_development,Iron_ore_mining_activities,Iron_tool_manufacturing,Chiefdom_service_activities,Permanent_settlement_routes,Oral_chiefdom_communication,Mixed_wealth_networks,Oral_agricultural_knowledge,Traditional_mixed_healing_systems,Permanent_agricultural_settlements,Mixed_energy_systems,Agricultural_water_management,Agricultural_waste_management,Mixed_environmental_management,Settlement_cultural_tourism,Chiefdom_cultural_activities,Traditional_mixed_games,Mixed_knowledge_systems,Iron_innovation_systems,Inter_chiefdom_trade,Regional_mixed_trade,Local_chiefdom_trade,Mixed_self_sufficiency,Agricultural_surplus_exchange,No_foreign_investment,Chiefdom_mixed_investment,Chiefdom_agricultural_investment,Chiefdom_resource_investment,Age_grade_cooperative_investment,Chiefdom_settlement_investment,Individual_mixed_investment,Family_agricultural_investment,Extended_family_investment,Chiefdom_mixed_investment,No_corporate_investment,Chiefdom_decision_investment,No_international_investment,No_multilateral_investment,No_bilateral_investment,Mixed_knowledge_sharing,Mixed_skill_assistance,Mixed_capacity_building,Mixed_skills_development,Mixed_initiative_development,Family_mixed_enterprise,Chiefdom_mixed_enterprise,No_large_enterprise,No_multinational_development,No_state_enterprise,Age_grade_cooperative_development,Chiefdom_enterprise_development,Mixed_social_enterprise,Mixed_environmental_enterprise,Mixed_cultural_enterprise,Mixed_craft_industry,Mixed_knowledge_economy,No_digital_economy,Mixed_environmental_economy,Mixed_circular_economy,Chiefdom_sharing_economy,No_platform_economy,No_gig_economy,Limited_informal_economy,Mixed_subsistence_economy,Mixed_barter_economy,Chiefdom_gift_economy,Chiefdom_reciprocal_economy,Chiefdom_redistributive_economy,Limited_market_economy,Mixed_economy_development,No_command_economy,Mixed_traditional_economy,No_modern_economy,No_post_modern_economy,Mixed_sustainable_economy,Chiefdom_inclusive_economy,Chiefdom_equitable_economy,Mixed_resilient_economy,Mixed_adaptive_economy,Mixed_innovative_economy,Chiefdom_competitive_economy,Chiefdom_collaborative_economy,Chiefdom_solidarity_economy
1200,Sotho_Tswana_Agricultural_Economy,Interior_Highveld_Western_Regions,300000,Agricultural_economy_with_cattle,Stone_architecture_and_crafts,Extensive_trade_networks,Cattle_and_grain_wealth_systems,Ward_based_hierarchical_distribution,Ward_labor_organization,Advanced_agricultural_methods,Stone_and_iron_technology,Agricultural_resource_management,Ward_exchange_systems,Cattle_grain_exchange_mechanisms,Agricultural_credit_systems,Agricultural_investment_patterns,Agricultural_wealth_accumulation,Agricultural_growth_patterns,Seasonal_harvest_variations,Ward_employment_systems,Agricultural_productivity_measures,Agricultural_stone_specialization,Stone_architecture_development,Advanced_terraced_agricultural_development,Stone_quarrying_activities,Stone_tool_manufacturing,Ward_service_activities,Stone_walled_settlement_networks,Oral_ward_communication,Agricultural_wealth_networks,Oral_agricultural_knowledge,Traditional_agricultural_healing_systems,Stone_walled_agricultural_settlements,Agricultural_energy_systems,Advanced_water_management_systems,Agricultural_waste_management,Agricultural_environmental_management,Stone_settlement_tourism,Ward_cultural_activities,Traditional_agricultural_games,Agricultural_knowledge_systems,Stone_innovation_systems,Inter_chiefdom_trade,Regional_agricultural_trade,Local_ward_trade,Agricultural_self_sufficiency,Agricultural_surplus_exchange,No_foreign_investment,Ward_agricultural_investment,Ward_stone_investment,Ward_resource_investment,Ward_cooperative_investment,Ward_settlement_investment,Individual_agricultural_investment,Family_agricultural_investment,Extended_family_investment,Ward_agricultural_investment,No_corporate_investment,Ward_decision_investment,No_international_investment,No_multilateral_investment,No_bilateral_investment,Agricultural_knowledge_sharing,Agricultural_skill_assistance,Agricultural_capacity_building,Agricultural_skills_development,Agricultural_initiative_development,Family_agricultural_enterprise,Ward_agricultural_enterprise,No_large_enterprise,No_multinational_development,No_state_enterprise,Ward_cooperative_development,Ward_enterprise_development,Agricultural_social_enterprise,Agricultural_environmental_enterprise,Agricultural_cultural_enterprise,Agricultural_craft_industry,Agricultural_knowledge_economy,No_digital_economy,Agricultural_environmental_economy,Agricultural_circular_economy,Ward_sharing_economy,No_platform_economy,No_gig_economy,Limited_informal_economy,Agricultural_subsistence_economy,Agricultural_barter_economy,Ward_gift_economy,Ward_reciprocal_economy,Ward_redistributive_economy,Limited_market_economy,Agricultural_mixed_economy,No_command_economy,Agricultural_traditional_economy,No_modern_economy,No_post_modern_economy,Agricultural_sustainable_economy,Ward_inclusive_economy,Ward_equitable_economy,Agricultural_resilient_economy,Agricultural_adaptive_economy,Agricultural_innovative_economy,Ward_competitive_economy,Ward_collaborative_economy,Ward_solidarity_economy
1400,Thembu_Pondo_Coastal_Economy,Eastern_Cape_Transkei,180000,Mixed_farming_and_coastal_trade,Coastal_fishing_and_crafts,Coastal_and_interior_trade_networks,Cattle_and_trade_goods_wealth_systems,Regional_hierarchical_distribution,Regional_labor_organization,Coastal_mixed_farming_methods,Coastal_iron_technology,Coastal_resource_management,Regional_exchange_systems,Coastal_trade_exchange_mechanisms,Coastal_trade_credit_systems,Coastal_investment_patterns,Coastal_wealth_accumulation,Coastal_growth_patterns,Seasonal_coastal_variations,Regional_employment_systems,Coastal_productivity_measures,Coastal_trade_specialization,Coastal_craft_development,Coastal_agricultural_development,Coastal_resource_extraction,Coastal_craft_manufacturing,Regional_service_activities,Coastal_trade_routes,Oral_regional_communication,Coastal_trade_networks,Oral_coastal_knowledge,Traditional_coastal_healing_systems,Coastal_settlements,Coastal_energy_systems,Coastal_water_management,Coastal_waste_management,Coastal_environmental_management,Coastal_tourism_activities,Regional_cultural_activities,Traditional_coastal_games,Coastal_knowledge_systems,Coastal_innovation_systems,Coastal_international_trade,Regional_coastal_trade,Local_regional_trade,Coastal_self_sufficiency,Coastal_surplus_exchange,Limited_foreign_contact,Regional_coastal_investment,Regional_trade_investment,Regional_resource_investment,Regional_cooperative_investment,Regional_settlement_investment,Individual_coastal_investment,Family_coastal_investment,Extended_family_investment,Regional_coastal_investment,No_corporate_investment,Regional_decision_investment,Limited_international_contact,No_multilateral_investment,No_bilateral_investment,Coastal_knowledge_sharing,Coastal_skill_assistance,Coastal_capacity_building,Coastal_skills_development,Coastal_initiative_development,Family_coastal_enterprise,Regional_coastal_enterprise,No_large_enterprise,No_multinational_development,No_state_enterprise,Regional_cooperative_development,Regional_enterprise_development,Coastal_social_enterprise,Coastal_environmental_enterprise,Coastal_cultural_enterprise,Coastal_craft_industry,Coastal_knowledge_economy,No_digital_economy,Coastal_environmental_economy,Coastal_circular_economy,Regional_sharing_economy,No_platform_economy,No_gig_economy,Limited_informal_economy,Coastal_subsistence_economy,Coastal_barter_economy,Regional_gift_economy,Regional_reciprocal_economy,Regional_redistributive_economy,Limited_market_economy,Coastal_mixed_economy,No_command_economy,Coastal_traditional_economy,No_modern_economy,No_post_modern_economy,Coastal_sustainable_economy,Regional_inclusive_economy,Regional_equitable_economy,Coastal_resilient_economy,Coastal_adaptive_economy,Coastal_innovative_economy,Regional_competitive_economy,Regional_collaborative_economy,Regional_solidarity_economy
1500,Xhosa_Complex_Economy,Eastern_Cape,250000,Complex_mixed_farming_and_military_economy,Military_crafts_and_trade,Complex_trade_networks,Complex_cattle_and_military_wealth_systems,Complex_hierarchical_distribution,Complex_military_labor_organization,Complex_mixed_farming_methods,Advanced_military_technology,Complex_resource_management,Complex_exchange_systems,Complex_military_exchange_mechanisms,Complex_military_credit_systems,Complex_investment_patterns,Complex_wealth_accumulation,Complex_growth_patterns,Complex_seasonal_variations,Complex_employment_systems,Complex_productivity_measures,Complex_military_specialization,Complex_craft_development,Complex_agricultural_development,Complex_resource_extraction,Complex_craft_manufacturing,Complex_service_activities,Complex_trade_routes,Complex_communication_systems,Complex_wealth_networks,Complex_knowledge_systems,Complex_healing_systems,Complex_settlements,Complex_energy_systems,Complex_water_management,Complex_waste_management,Complex_environmental_management,Complex_tourism_activities,Complex_cultural_activities,Complex_games,Complex_knowledge_systems,Complex_innovation_systems,Complex_international_trade,Complex_regional_trade,Complex_local_trade,Complex_self_sufficiency,Complex_surplus_exchange,Limited_foreign_contact,Complex_investment,Complex_trade_investment,Complex_resource_investment,Complex_cooperative_investment,Complex_settlement_investment,Complex_individual_investment,Complex_family_investment,Complex_extended_family_investment,Complex_investment,No_corporate_investment,Complex_decision_investment,Limited_international_contact,No_multilateral_investment,No_bilateral_investment,Complex_knowledge_sharing,Complex_skill_assistance,Complex_capacity_building,Complex_skills_development,Complex_initiative_development,Complex_family_enterprise,Complex_enterprise,No_large_enterprise,No_multinational_development,No_state_enterprise,Complex_cooperative_development,Complex_enterprise_development,Complex_social_enterprise,Complex_environmental_enterprise,Complex_cultural_enterprise,Complex_craft_industry,Complex_knowledge_economy,No_digital_economy,Complex_environmental_economy,Complex_circular_economy,Complex_sharing_economy,No_platform_economy,No_gig_economy,Limited_informal_economy,Complex_subsistence_economy,Complex_barter_economy,Complex_gift_economy,Complex_reciprocal_economy,Complex_redistributive_economy,Limited_market_economy,Complex_mixed_economy,No_command_economy,Complex_traditional_economy,No_modern_economy,No_post_modern_economy,Complex_sustainable_economy,Complex_inclusive_economy,Complex_equitable_economy,Complex_resilient_economy,Complex_adaptive_economy,Complex_innovative_economy,Complex_competitive_economy,Complex_collaborative_economy,Complex_solidarity_economy
1650,Dutch_Colonial_Economy,Western_Cape,150000,Colonial_agriculture_and_trade,European_crafts_and_services,Colonial_trade_networks,Dutch_currency_systems,Colonial_hierarchical_distribution,Colonial_labor_organization,European_farming_methods,European_technology,Colonial_resource_exploitation,Colonial_market_systems,Colonial_exchange_mechanisms,Colonial_credit_systems,Colonial_investment_patterns,Colonial_capital_accumulation,Colonial_growth_patterns,Colonial_price_variations,Colonial_employment_systems,Colonial_productivity_measures,Colonial_specialization,Limited_industrial_development,Colonial_agricultural_development,Limited_mining_activities,Colonial_manufacturing,Colonial_service_activities,Colonial_transportation_networks,Colonial_communication_systems,Colonial_financial_networks,Colonial_educational_systems,Colonial_healthcare_systems,Colonial_settlement_systems,Colonial_energy_systems,Colonial_water_systems,Colonial_waste_systems,Colonial_environmental_systems,Limited_tourism_activities,Colonial_cultural_activities,Colonial_recreational_activities,Colonial_knowledge_systems,Colonial_innovation_systems,Dutch_international_trade,Colonial_regional_trade,Colonial_local_trade,Colonial_import_substitution,Colonial_export_promotion,Dutch_foreign_investment,Colonial_domestic_investment,Colonial_public_investment,Colonial_private_investment,Limited_cooperative_investment,Limited_community_investment,Colonial_individual_investment,Colonial_family_investment,Limited_clan_investment,Limited_tribal_investment,Dutch_corporate_investment,Colonial_government_investment,Dutch_international_investment,Limited_multilateral_investment,Dutch_bilateral_investment,Limited_development_aid,Colonial_technical_assistance,Colonial_capacity_building,Colonial_skills_development,Colonial_entrepreneurship_development,Colonial_small_business_development,Limited_medium_enterprise,Dutch_large_enterprise,Dutch_multinational_development,Colonial_state_enterprise,Limited_cooperative_development,Limited_community_enterprise,Limited_social_enterprise,Colonial_environmental_enterprise,Colonial_cultural_enterprise,Colonial_creative_industry,Colonial_knowledge_economy,No_digital_economy,Limited_green_economy,Limited_circular_economy,Limited_sharing_economy,No_platform_economy,No_gig_economy,Limited_informal_economy,Limited_subsistence_economy,Limited_barter_economy,Limited_gift_economy,Limited_reciprocal_economy,Limited_redistributive_economy,Colonial_market_economy,Colonial_mixed_economy,Limited_command_economy,Limited_traditional_economy,Colonial_modern_economy,No_post_modern_economy,Limited_sustainable_economy,Limited_inclusive_economy,Limited_equitable_economy,Limited_resilient_economy,Colonial_adaptive_economy,Colonial_innovative_economy,Colonial_competitive_economy,Limited_collaborative_economy,Limited_solidarity_economy
1795,British_Colonial_Economy,Western_Eastern_Cape,500000,Colonial_agriculture_mining_and_trade,British_manufacturing_and_services,British_colonial_trade_networks,British_currency_systems,British_colonial_hierarchical_distribution,British_colonial_labor_organization,British_farming_and_industrial_methods,British_industrial_technology,British_colonial_resource_exploitation,British_colonial_market_systems,British_colonial_exchange_mechanisms,British_colonial_credit_systems,British_colonial_investment_patterns,British_colonial_capital_accumulation,British_colonial_growth_patterns,British_colonial_price_variations,British_colonial_employment_systems,British_colonial_productivity_measures,British_colonial_specialization,British_industrial_development,British_colonial_agricultural_development,British_mining_development,British_manufacturing_development,British_service_development,British_transportation_infrastructure,British_communication_infrastructure,British_financial_infrastructure,British_educational_infrastructure,British_healthcare_infrastructure,British_housing_infrastructure,British_energy_infrastructure,British_water_infrastructure,British_waste_infrastructure,British_environmental_infrastructure,British_tourism_infrastructure,British_cultural_infrastructure,British_sports_infrastructure,British_research_infrastructure,British_innovation_infrastructure,British_international_trade,British_regional_trade,British_local_trade,British_import_substitution,British_export_promotion,British_foreign_investment,British_domestic_investment,British_public_investment,British_private_investment,Limited_cooperative_investment,Limited_community_investment,British_individual_investment,British_family_investment,Limited_clan_investment,Limited_tribal_investment,British_corporate_investment,British_government_investment,British_international_investment,Limited_multilateral_investment,British_bilateral_investment,Limited_development_aid,British_technical_assistance,British_capacity_building,British_skills_development,British_entrepreneurship_development,British_small_business_development,British_medium_enterprise,British_large_enterprise,British_multinational_development,British_state_enterprise,Limited_cooperative_development,Limited_community_enterprise,Limited_social_enterprise,British_environmental_enterprise,British_cultural_enterprise,British_creative_industry,British_knowledge_economy,No_digital_economy,Limited_green_economy,Limited_circular_economy,Limited_sharing_economy,No_platform_economy,No_gig_economy,Limited_informal_economy,Limited_subsistence_economy,Limited_barter_economy,Limited_gift_economy,Limited_reciprocal_economy,Limited_redistributive_economy,British_market_economy,British_mixed_economy,Limited_command_economy,Limited_traditional_economy,British_modern_economy,No_post_modern_economy,Limited_sustainable_economy,Limited_inclusive_economy,Limited_equitable_economy,Limited_resilient_economy,British_adaptive_economy,British_innovative_economy,British_competitive_economy,Limited_collaborative_economy,Limited_solidarity_economy
1816,Zulu_Military_Economy,KwaZulu_Natal,500000,Military_based_economy_with_cattle_and_tribute,Military_crafts_and_raiding,Military_tribute_networks,Military_cattle_wealth_systems,Military_hierarchical_distribution,Military_labor_organization,Military_production_methods,Revolutionary_military_technology,Military_resource_exploitation,Military_tribute_systems,Military_exchange_mechanisms,Military_credit_systems,Military_investment_patterns,Military_wealth_accumulation,Military_expansion_growth,Military_tribute_variations,Military_employment_systems,Military_productivity_measures,Military_specialization,Military_craft_development,Military_agricultural_development,Limited_mining_activities,Military_weapon_manufacturing,Military_service_activities,Military_transportation_networks,Military_communication_systems,Military_wealth_networks,Military_knowledge_systems,Military_healthcare_systems,Military_settlement_systems,Military_energy_systems,Military_water_systems,Military_waste_systems,Military_environmental_systems,Limited_tourism_activities,Military_cultural_activities,Military_recreational_activities,Military_knowledge_systems,Military_innovation_systems,Limited_international_trade,Military_regional_trade,Military_local_trade,Military_self_sufficiency,Military_tribute_export,No_foreign_investment,Military_domestic_investment,Military_public_investment,Military_private_investment,Military_cooperative_investment,Military_community_investment,Military_individual_investment,Military_family_investment,Military_clan_investment,Military_tribal_investment,No_corporate_investment,Military_government_investment,No_international_investment,No_multilateral_investment,No_bilateral_investment,No_development_aid,Military_technical_assistance,Military_capacity_building,Military_skills_development,Military_entrepreneurship_development,Military_small_business_development,Limited_medium_enterprise,No_large_enterprise,No_multinational_development,Military_state_enterprise,Military_cooperative_development,Military_community_enterprise,Military_social_enterprise,Military_environmental_enterprise,Military_cultural_enterprise,Military_creative_industry,Military_knowledge_economy,No_digital_economy,Limited_green_economy,Limited_circular_economy,Military_sharing_economy,No_platform_economy,No_gig_economy,Limited_informal_economy,Limited_subsistence_economy,Limited_barter_economy,Military_gift_economy,Military_reciprocal_economy,Military_redistributive_economy,Limited_market_economy,Military_mixed_economy,Military_command_economy,Limited_traditional_economy,Limited_modern_economy,No_post_modern_economy,Limited_sustainable_economy,Limited_inclusive_economy,Limited_equitable_economy,Military_resilient_economy,Military_adaptive_economy,Military_innovative_economy,Military_competitive_economy,Military_collaborative_economy,Military_solidarity_economy
1822,Basotho_Mountain_Economy,Lesotho,200000,Mountain_agriculture_and_pastoralism_with_trade,Mountain_crafts_and_services,Mountain_trade_networks,Mountain_cattle_and_trade_wealth_systems,Mountain_hierarchical_distribution,Mountain_labor_organization,Mountain_farming_methods,Mountain_technology,Mountain_resource_management,Mountain_market_systems,Mountain_exchange_mechanisms,Mountain_credit_systems,Mountain_investment_patterns,Mountain_wealth_accumulation,Mountain_growth_patterns,Mountain_seasonal_variations,Mountain_employment_systems,Mountain_productivity_measures,Mountain_specialization,Mountain_craft_development,Mountain_agricultural_development,Limited_mining_activities,Mountain_manufacturing,Mountain_service_activities,Mountain_transportation_networks,Mountain_communication_systems,Mountain_financial_networks,Mountain_educational_systems,Mountain_healthcare_systems,Mountain_settlement_systems,Mountain_energy_systems,Mountain_water_systems,Mountain_waste_systems,Mountain_environmental_systems,Mountain_tourism_activities,Mountain_cultural_activities,Mountain_recreational_activities,Mountain_knowledge_systems,Mountain_innovation_systems,Mountain_international_trade,Mountain_regional_trade,Mountain_local_trade,Mountain_import_substitution,Mountain_export_promotion,Limited_foreign_investment,Mountain_domestic_investment,Mountain_public_investment,Mountain_private_investment,Mountain_cooperative_investment,Mountain_community_investment,Mountain_individual_investment,Mountain_family_investment,Mountain_clan_investment,Mountain_tribal_investment,Limited_corporate_investment,Mountain_government_investment,Limited_international_investment,Limited_multilateral_investment,Limited_bilateral_investment,Limited_development_aid,Mountain_technical_assistance,Mountain_capacity_building,Mountain_skills_development,Mountain_entrepreneurship_development,Mountain_small_business_development,Mountain_medium_enterprise,Limited_large_enterprise,No_multinational_development,Mountain_state_enterprise,Mountain_cooperative_development,Mountain_community_enterprise,Mountain_social_enterprise,Mountain_environmental_enterprise,Mountain_cultural_enterprise,Mountain_creative_industry,Mountain_knowledge_economy,No_digital_economy,Mountain_green_economy,Mountain_circular_economy,Mountain_sharing_economy,No_platform_economy,No_gig_economy,Mountain_informal_economy,Mountain_subsistence_economy,Mountain_barter_economy,Mountain_gift_economy,Mountain_reciprocal_economy,Mountain_redistributive_economy,Mountain_market_economy,Mountain_mixed_economy,Limited_command_economy,Mountain_traditional_economy,Mountain_modern_economy,No_post_modern_economy,Mountain_sustainable_economy,Mountain_inclusive_economy,Mountain_equitable_economy,Mountain_resilient_economy,Mountain_adaptive_economy,Mountain_innovative_economy,Mountain_competitive_economy,Mountain_collaborative_economy,Mountain_solidarity_economy
