Date_BCE_CE,Civilization,Religious_Event_Type,Specific_Event,Religious_System_Before,Religious_System_After,Political_Impact,Social_Impact,Economic_Impact,Cycle_Correlation,Artificial_Engineering_Evidence,Scripture_Modifications,Paradigm_Shift_Mechanism
-3000,Proto_Bantu_Cameroon,Ancestor_Systematization,Ancestor_Worship_Codification,Animistic_Spirits,Systematic_Ancestor_Worship,Clan_Authority_Legitimation,Kinship_Systematization,Agricultural_Blessing_System,20_50_160_250_500,Ancestor_worship_systematization,Oral_Tradition_Codification,Kinship_Authority_Paradigm
-2000,Early_Bantu_Expansion,Migration_Religion,Migration_Spirit_Adaptation,Localized_Spirits,Portable_Ancestor_Spirits,Migration_Leadership_Authority,Migration_Social_Cohesion,Migration_Economic_Coordination,20_50_160_250_500,Migration_religion_coordination,Portable_Spirit_Adaptation,Migration_Coordination_Paradigm
-1500,Bantu_Forest_Adaptation,Forest_Spirit_Integration,Forest_Spirit_Systematization,Savanna_Spirits,Forest_Spirit_Pantheon,Forest_Chief_Authority,Forest_Social_Adaptation,Forest_Economic_Specialization,20_50_160_250_500,Forest_spirit_systematization,Forest_Spirit_Codification,Forest_Adaptation_Paradigm
-1000,Bantu_River_Settlements,River_Spirit_Development,River_Spirit_Pantheon,Forest_Spirits,River_Spirit_System,River_Chief_Authority,River_Community_Organization,River_Economic_System,20_50_160_250_500,River_spirit_coordination,River_Spirit_Mythology,River_Settlement_Paradigm
-500,Bantu_Savanna_Expansion,Savanna_Spirit_Synthesis,Savanna_Spirit_Integration,River_Forest_Spirits,Savanna_Spirit_Pantheon,Savanna_Chief_Authority,Savanna_Social_Organization,Savanna_Economic_System,20_50_160_250_500,Savanna_spirit_systematization,Savanna_Spirit_Synthesis,Savanna_Expansion_Paradigm
100,Sao_Civilization,Sao_Religion_Foundation,Sao_Pantheon_Development,Tribal_Spirits,Sao_Urban_Religion,Urban_Religious_Authority,Urban_Social_Hierarchy,Urban_Economic_System,20_50_160_250_500,Sao_religion_systematization,Sao_Religious_Codification,Urban_Religious_Paradigm
400,Sao_Peak_Period,Sao_Religious_Peak,Sao_Pantheon_Systematization,Basic_Sao_Religion,Sophisticated_Sao_Pantheon,Religious_Political_Integration,Religious_Social_Stratification,Religious_Economic_Control,20_50_160_250_500,Sao_religious_peak_coordination,Sao_Pantheon_Codification,Religious_Urban_Peak_Paradigm
700,Sao_Decline,Sao_Religious_Decline,Sao_Pantheon_Fragmentation,Sophisticated_Sao_Pantheon,Fragmented_Sao_Religion,Religious_Political_Decline,Religious_Social_Fragmentation,Religious_Economic_Decline,20_50_160_250_500,Sao_religious_decline_coordination,Sao_Religious_Fragmentation,Religious_Urban_Decline_Paradigm
1000,Kanem_Foundation,Traditional_Kanem_Religion,Kanem_Religious_Systematization,Tribal_Spirits,Kanem_Traditional_Religion,Royal_Religious_Authority,Royal_Social_Hierarchy,Pastoral_Religious_Economy,20_50_160_250_500,Kanem_traditional_systematization,Kanem_Religious_Codification,Royal_Traditional_Paradigm
1085,Kanem_Islamic_Contact,Islamic_Introduction,Islamic_Missionary_Arrival,Kanem_Traditional_Religion,Islamic_Traditional_Syncretism,Islamic_Political_Influence,Islamic_Social_Change,Islamic_Economic_Integration,20_50_160_250_500,Islamic_introduction_coordination,Islamic_Text_Introduction,Islamic_Contact_Paradigm
1200,Kanem_Islamic_Conversion,Islamic_State_Conversion,Royal_Islamic_Conversion,Islamic_Traditional_Syncretism,Kanem_Islam,Islamic_State_Authority,Islamic_Social_Transformation,Islamic_Economic_System,20_50_160_250_500,Islamic_conversion_coordination,Islamic_State_Codification,Islamic_State_Paradigm
1400,Kanem_Bornu_Empire,Islamic_Imperial_Religion,Islamic_Imperial_Systematization,Kanem_Islam,Bornu_Imperial_Islam,Imperial_Islamic_Authority,Imperial_Islamic_Hierarchy,Imperial_Islamic_Economy,20_50_160_250_500,Islamic_imperial_coordination,Islamic_Imperial_Codification,Islamic_Imperial_Paradigm
1600,Bornu_Islamic_Consolidation,Islamic_Orthodox_Consolidation,Islamic_Orthodox_Systematization,Bornu_Imperial_Islam,Bornu_Orthodox_Islam,Orthodox_Islamic_Authority,Orthodox_Islamic_Society,Orthodox_Islamic_Economy,20_50_160_250_500,Islamic_orthodox_coordination,Islamic_Orthodox_Codification,Islamic_Orthodox_Paradigm
1800,Bornu_Islamic_Reform,Islamic_Reform_Movement,Islamic_Reform_Systematization,Bornu_Orthodox_Islam,Bornu_Reform_Islam,Reform_Islamic_Authority,Reform_Islamic_Society,Reform_Islamic_Economy,20_50_160_250_500,Islamic_reform_coordination,Islamic_Reform_Texts,Islamic_Reform_Paradigm
1900,Bornu_Colonial_Islam,Colonial_Islamic_Integration,Colonial_Islamic_Adaptation,Bornu_Reform_Islam,Colonial_Islam,Colonial_Islamic_Authority,Colonial_Islamic_Society,Colonial_Islamic_Economy,20_50_160_250_500,Colonial_islamic_coordination,Colonial_Islamic_Adaptation,Colonial_Islamic_Paradigm
