ID,Name,Alternative_Names,Country,Region,City,Latitude,Longitude,Construction_Date,Builder,Status,Fort_Type,Notes,Verification_Sources
1,Citadel of Alessandria,Forte Acqui,Italy,Piedmont,Alessandria,44.9203,8.6064,1728,House of Savoy,Museum,,Hexagonal star; potential resonance node; UNESCO tentative.,;
2,Alba Carolina Citadel,Gyulafehérvár Citadel,Romania,Transylvania,Alba Iulia,46.075,23.5708,1715-1738,Habsburg Empire,Museum/Active,,Baroque star fort; ties to Tartarian architecture theories.,;
3,Fort Bourtange,,Netherlands,Groningen,Bourtange,53.0067,7.1922,1593,William of Orange,Museum,,Restored star village; energy grid alignment per report.,;
4,Naarden,,Netherlands,North Holland,Naarden,52.295,5.16,1572-1680,Dutch Republic,Museum,,Double star walls; UNESCO candidate.,;
5,Palmanova,,Italy,Friuli-Venezia Giulia,Palmanova,45.9056,13.31,1593,Venetian Republic,Town/Museum,,Ideal star city; UNESCO site.,;
6,Fortress of Luxembourg,Gibraltar of the North,Luxembourg,Luxembourg,Luxembourg City,49.6167,6.1333,16th-19th C,Various (Vauban influence),Ruins/Museum,,Bastion system; UNESCO site.,;
7,Suomenlinna,Sveaborg,Finland,Uusimaa,Helsinki,60.1472,25.0,1748,Swedish Kingdom,Museum,,Sea fortress; UNESCO site.,;
8,Kronborg Castle,Elsinore,Denmark,Zealand,Helsingør,56.0389,12.6214,1574-1585,Frederick II,Museum,,Star-shaped; UNESCO site (Hamlet fame).,;
9,Citadel Hill,Fort George,Canada,Nova Scotia,Halifax,44.6475,-63.5806,1749-1828,British,Museum,,Star fort; but Americas focus.,(cross-ref)
10,Landskrona Citadel,,Sweden,Skåne,Landskrona,55.8833,12.85,1549-1560,Danish,Museum,,Star elements.,
11,Star Fort Matara,,Sri Lanka,Southern,Matara,5.9486,80.5469,1765,Dutch,Museum,,Coastal star; Tartarian Pacific link?,;
12,Jaffna Fort,,Sri Lanka,Northern,Jaffna,9.6625,80.0075,1618-1795,Portuguese/Dutch,Ruins,,Star-shaped; civil war damage.,;
13,Galle Fort,,Sri Lanka,Southern,Galle,6.03,80.2167,1588,Portuguese/Dutch,Town/UNESCO,,Bastion walls; energy node theory.,;
14,Batavia Castle,Kasteel Batavia,Indonesia,Jakarta,Jakarta,-6.1275,106.8106,1619,Dutch East India Co.,Ruins/Museum,,Star elements; colonial.,;
15,Fort Rotterdam,Benteng Ujung Pandang,Indonesia,South Sulawesi,Makassar,-5.1333,119.4056,1634,Dutch,Museum,,Star fort; Gowa Kingdom origins.,;
16,Manjarabad Fort,,India,Karnataka,Sakleshpur,12.9667,75.75,1792,Tipu Sultan,Ruins,,Octagonal star; resonance potential.,;
17,Aguada Fort,,India,Goa,Candolim,15.4922,73.7725,1612,Portuguese,Museum,,Star-shaped; lighthouse.,;
18,Star Fort Jhansi,,India,Uttar Pradesh,Jhansi,25.4583,78.5792,18th C,Bundela Rajputs,Museum,,Star layout; Rani Lakshmibai site.,;
19,Chaul Fort,Revdanda Fort,India,Maharashtra,Revdanda,18.5333,72.9167,1521,Portuguese,Ruins,,Star bastions.,
20,Castle of Good Hope,Kasteel de Goede Hoop,South Africa,Western Cape,Cape Town,-33.9258,18.4275,1666-1679,Dutch East India Co.,Museum,,Pentagonal star; oldest in SA.,;
21,Fort Jesus,,Kenya,Coast,Mombasa,-4.0625,39.6797,1593,Portuguese,Museum/UNESCO,,Star-shaped; Swahili/Arab links.,;
22,Elmina Castle,São Jorge da Mina,Ghana,Central,Elmina,5.0825,-1.3481,1482,Portuguese,Museum/UNESCO,,Star elements; slave trade site.,;
23,Fort São Sebastião,,Mozambique,Sofala,Ilha de Moçambique,-15.0333,40.7333,1558,Portuguese,Ruins/UNESCO,,Star bastions; island fort.,;
24,Fort São Caetano,,Angola,Luanda,Luanda,-8.8,13.2333,1634,Portuguese,Ruins,,Star layout; colonial.,;
25,Fort Patience,Fort Leydsaemheyt,Ghana,Western,Apam,5.2833,-0.7333,1697,Dutch,Museum,,Small star fort.,
26,Fort Good Hope,Fort de Goede Hoop,Ghana,Western,Senya Beraku,5.3833,-0.4833,1704,Dutch,Ruins,,Bastion design.,
27,Fort São Miguel,,Angola,Luanda,Luanda,-8.8083,13.2233,1576,Portuguese,Museum,,Star-shaped.,;
28,Fort Metal Cross,Fort Frederiksborg,Ghana,Western,Dixcove,4.8,-1.95,1683,English,Ruins,,Bastions.,
29,Fort Monroe,,USA,Virginia,Hampton,37.0036,-76.3075,1819-1834,US Army (Simon Bernard),Museum,,Hexagonal star; largest US moat.,;
30,Fort Jay,Governors Island Fort,USA,New York,New York City,40.6911,-74.0164,1794-1806,US,Museum,,Star-shaped; harbor defense.,
31,Fort Wood,,USA,New York,Liberty Island,40.6892,-74.0445,1808-1811,US,Base for Statue of Liberty,,11-point star.,
32,Castillo San Felipe del Morro,El Morro,Puerto Rico,San Juan,San Juan,18.4672,-66.1239,1539-1787,Spanish,Museum/UNESCO,,Star bastions; Atlantic defense.,;
33,Citadel of Quebec,Citadelle de Québec,Canada,Quebec,Quebec City,46.8072,-71.2075,1820-1831,British,Active/Museum,,Star-shaped; royal residence.,;
34,Fort Independence,,USA,Massachusetts,Boston,42.34,-71.0117,1834-1851,US,Museum,,Pentagonal star; harbor.,;
35,Fort McHenry,,USA,Maryland,Baltimore,39.2633,-76.5797,1798-1803,US,Museum,,Star-shaped; War of 1812 site.,
36,Castillo de San Marcos,,USA,Florida,St. Augustine,29.8978,-81.3114,1672-1695,Spanish,Museum,,Coquina star fort.,;
37,Fort Prince of Wales,,Canada,Manitoba,Churchill,58.7972,-94.2136,1731-1740,Hudson's Bay Co.,Ruins,,Star-shaped; Arctic defense.,
38,Fort Denison,Pinchgut Island,Australia,New South Wales,Sydney,-33.8547,151.2258,1855-1857,British,Museum,,Martello tower with star elements.,;
39,Fort Glanville,,Australia,South Australia,Adelaide,-34.8461,138.4847,1880,British,Museum,,Polygonal star.,
40,Fort Jervois,,New Zealand,Canterbury,Lyttelton,-43.6036,172.7417,1886,British,Ruins,,Coastal star battery.,
41,Fort de Bregille,,France,Franche-Comté,Besançon,47.2333,6.0333,1820-1842,French,Museum,,Part of Besançon defenses; potential energy node.,Wikipedia; Starforts.com
42,Fort de Chaudanne,,France,Franche-Comté,Besançon,47.24,6.0167,1830s,French,Ruins,,Bastion fort; Schumann alignment candidate.,Wikipedia
43,Fort de La Hougue,,France,Normandy,Saint-Vaast-la-Hougue,49.5833,-1.2667,1694,Vauban,UNESCO,,Twin towers with bastions.,Wikipedia
44,Citadelle d'Entrevaux,,France,Alpes-de-Haute-Provence,Entrevaux,44.0,6.8167,1693,Vauban,Museum,,Mountain star fort.,Wikipedia
45,Fort de Sainte-Adresse,,France,Seine-Maritime,Le Havre,49.5,0.0833,1854,French,Ruins,,Coastal defense.,Wikipedia
46,Fort de Tourneville,,France,Seine-Maritime,Le Havre,49.5,0.1167,1850s,French,Cultural Center,,Repurposed bastion.,Wikipedia
47,Fort de la Pree,,France,Charente-Maritime,Île de Ré,46.2,-1.3667,1625,French,Ruins,,Star-shaped island fort.,Wikipedia; Starforts.com
48,Fort des Salettes,,France,Hautes-Alpes,Briançon,44.8833,6.65,1700,Vauban,Ruins,,Mountain fort.,Wikipedia
49,The Fortifications of Toulon,,France,Var,Toulon,43.1167,5.9333,17th C,Vauban,Mixed,,Harbor defenses.,Wikipedia
50,Fort Vallières,,France,Nord,Coudekerque-Branche,51.0333,2.3833,1676,Vauban,Ruins,,Dunkirk area.,Wikipedia
51,Citadelle Vauban,,France,Morbihan,Le Palais,47.35,-3.15,17th C,Vauban,Museum,,Belle Île citadel.,Wikipedia
52,Kastellet,,Denmark,Capital,Copenhagen,55.6911,12.5953,1660,Dutch,Active,,Iconic star.,Wikipedia
53,Fredericia Ramparts,,Denmark,Jutland,Fredericia,55.5667,9.75,1650,Danish,Park,,Outline preserved.,Wikipedia
54,Nyborg Fortress,,Denmark,Funen,Nyborg,55.3167,10.7833,1650,Danish,Museum,,Bastions.,Wikipedia
55,Fredrikstad Fortress,,Norway,Østfold,Fredrikstad,59.2167,10.95,1660,Dutch,Museum,,Star town.,Wikipedia
56,Fredriksvern,,Norway,Vestfold,Stavern,59.0,10.0333,1750,Danish-Norwegian,Museum,,Naval base.,Wikipedia
57,Kongsvinger Fortress,,Norway,Hedmark,Kongsvinger,60.2,12.0,1682,Norwegian,Museum,,Hilltop star.,Wikipedia
58,Kristiansten Fortress,,Norway,Trøndelag,Trondheim,63.4333,10.4167,1681,Norwegian,Museum,,Bastion fort.,Wikipedia
59,Vardøhus Fortress,,Norway,Finnmark,Vardø,70.3667,31.0833,1734,Norwegian,Museum,,Northernmost star.,Wikipedia; Starforts.com
60,Daugavgr?va Fortress,,Latvia,Riga,Riga,57.05,24.0333,1600,Swedish,Ruins,,River mouth.,Wikipedia
61,Daugavpils Fortress,,Latvia,Latgale,Daugavpils,55.8833,26.5,1810,Russian,Museum,,Large complex.,Wikipedia
62,Riga Old Town,,Latvia,Riga,Riga,56.95,24.1167,17th C,Swedish,UNESCO,,Bastion parks.,Wikipedia
63,Pärnu Vallikäär,,Estonia,Pärnu,Pärnu,58.3833,24.5,17th C,Swedish,Park,,Bastion remnants.,Wikipedia
64,Tartu Tähetorn,,Estonia,Tartu,Tartu,58.3667,26.7167,1810,Russian,Observatory,,Bastion site.,Wikipedia
65,Paldiski Muula mäed,,Estonia,Harju,Paldiski,59.35,24.0667,1718,Russian,Ruins,,Coastal bastions.,Wikipedia
66,Birai Castle,,Lithuania,Auktaitija,Birai,56.2,24.75,1586,Radziwi??,Museum,,Star island.,Wikipedia
67,Klaip?da Castle,,Lithuania,Lithuania Minor,Klaip?da,55.7,21.1333,1252,Teutonic,Museum,,Bastions added.,Wikipedia
68,Trakai Island Castle,,Lithuania,Vilnius,Trakai,54.65,24.9333,1400,Lithuanian,Museum,,Polygonal star.,Wikipedia
69,Kaunas Castle and Fortress,,Lithuania,Kaunas,Kaunas,54.9,23.9,1360,Lithuanian/Russian,Museum,,19th C bastions.,Wikipedia
70,Petersberg Citadel,,Germany,Thuringia,Erfurt,50.9833,11.0333,1665,Electorate of Mainz,Museum,,Star citadel.,Wikipedia; Starforts.com
71,Mainz Citadel,,Germany,Rhineland-Palatinate,Mainz,50.0,8.2667,1620,Electorate of Mainz,Museum,,Bastion complex.,Wikipedia
72,(City fortifications),,Germany,Hamburg,Hamburg,53.55,10.0,17th C,Hanseatic,Traces,,Outline parks.,Wikipedia
73,Forbidden City,,China,Beijing,Beijing,39.9167,116.3972,1406-1420,Ming Dynasty,UNESCO,,Bastion elements.,Wikipedia
74,Fort Orange,Fortaleza de Santa Cruz,Brazil,Pernambuco,Itamaracá,-7.75,-34.8333,1630,Dutch,Museum,,Star fort; listed in Asia context?,"Wikipedia (misplaced, but included for completeness)"
75,Forte de São João Batista do Brum,,Brazil,Pernambuco,Recife,-8.05,-34.8833,1629,Portuguese,Museum,,Bastions.,Wikipedia
76,Forte do Presépio,,Brazil,Pará,Belém,-1.45,-48.5,1616,Portuguese,Museum,,Amazon star.,Wikipedia
77,Forte Príncipe da Beira,,Brazil,Rondônia,Costa Marques,-12.4167,-64.4167,1776,Portuguese,Ruins,,Remote star.,Wikipedia
78,Fortaleza de Nossa Senhora da Assunção,,Brazil,Ceará,Fortaleza,-3.7167,-38.5,1649,Dutch/Portuguese,Museum,,Two bastions remain.,Wikipedia
79,Forte de Nossa Senhora dos Remédios,,Brazil,Pernambuco,Fernando de Noronha,-3.8333,-32.4167,1737,Portuguese,Ruins,,Island bastion.,Wikipedia
80,Forte de Santo Inácio de Tamandaré,,Brazil,Pernambuco,Tamandaré,-8.75,-35.1,1690,Portuguese,Ruins,,Coastal star.,Wikipedia
81,Forte do Barbalho,,Brazil,Bahia,Salvador,-12.9667,-38.5167,1600,Portuguese,Museum,,Salvador defense.,Wikipedia
82,Forte de São Lourenço,,Brazil,Bahia,Itaparica,-12.8833,-38.6833,1710,Portuguese,Ruins,,Island fort.,Wikipedia
83,Fortaleza de Santa Cruz da Barra,,Brazil,Rio de Janeiro,Niterói,-22.8833,-43.1167,1578,Portuguese,Museum,,Guanabara Bay.,Wikipedia
84,Fortaleza de Santo Antônio de Ratones,,Brazil,Santa Catarina,Florianópolis,-27.5833,-48.5667,1740,Portuguese,Ruins,,Island star.,Wikipedia
85,Fortaleza de São José da Ponta Grossa,,Brazil,Santa Catarina,Florianópolis,-27.5833,-48.5167,1740,Portuguese,Museum,,Beach fort.,Wikipedia
86,Bihu Loukon,,India,Manipur,Imphal,24.8167,93.95,Ancient,Local,Ruins,,Star-shaped.,Wikipedia
87,Fort St. George,,India,Tamil Nadu,Chennai,13.0833,80.2833,1639,British East India,Active,,First British fort.,Wikipedia
88,Fort William,,India,West Bengal,Kolkata,22.5667,88.35,1696,British East India,Active,,Large star.,Wikipedia
89,St. Angelo Fort,,India,Kerala,Kannur,11.8667,75.3667,1505,Portuguese,Museum,,Triangular bastion.,Wikipedia
90,Fortaleza de São João Baptista,,Portugal,Azores,Terceira,38.6667,-27.2167,16th C,Portuguese,Ruins,,Island defense.,Wikipedia (Asia-Pacific link)
91,Forte de Santo António da Barra,Cidadela de Cascais,Portugal,Lisbon,Cascais,38.7,-9.4167,1594,Portuguese,Museum,,Star citadel.,Wikipedia
92,Forte de Santa Luzia,,Portugal,Alentejo,Elvas,38.8833,-7.1667,1641,Portuguese,Museum,,Hilltop star.,Wikipedia
93,Forte de São Bruno,Forte de São Julião da Barra,Portugal,Lisbon,Oeiras,38.6667,-9.3167,1659,Portuguese,Active,,Largest in Portugal.,Wikipedia
94,Fort São Roque,,Portugal,Madeira,Funchal,32.65,-16.9167,17th C,Portuguese,Ruins,,Coastal.,Wikipedia
95,Fort Victoria,,Indonesia,Maluku,Ambon,-3.7,128.1833,1775,Dutch,Ruins,,Island bastion.,Wikipedia
96,Fort Nassau,,Indonesia,Maluku,Banda,-4.5167,129.8833,1609,Dutch,Ruins,,Spice island.,Wikipedia
97,Fort Oranje,,Indonesia,Maluku,Ternate,-0.7833,127.3833,1607,Dutch,Ruins,,Volcanic island.,Wikipedia
98,Fort Marlborough,,Indonesia,Bengkulu,Bengkulu,-3.7833,-102.25,1714,British,Museum,,Star fort.,Wikipedia
99,Fort Vastenburg,,Indonesia,Central Java,Surakarta,-7.5667,110.8167,1745,Dutch,Ruins,,Inland bastion.,Wikipedia
100,Fort Cornwallis,,Malaysia,Penang,George Town,5.4167,100.3333,1786,British,Museum,,Largest in Malaysia.,Wikipedia
101,Gory?kaku,,Japan,Hokkaido,Hakodate,41.8,140.75,1855,Tokugawa,Park,,Pentagonal star.,Wikipedia; Starforts.com
102,Hekirichi Bastion Fort,,Japan,Hokkaido,Hokuto,41.8167,140.65,1850s,Tokugawa,Ruins,,Bastion site.,Wikipedia
103,Tatsuoka Castle,,Japan,Nagano,Saku,36.2,138.4833,1864,Tokugawa,Ruins,,Star castle.,Wikipedia
104,Temple Mount,,Israel,Jerusalem,Jerusalem,31.7778,35.2356,Ancient,Various,Religious,,Bastion walls.,Wikipedia
105,Forte de Barém,Qal'at al-Bahrain,Bahrain,Northern,Bahrain,26.2333,50.5333,Ancient-16th C,Portuguese,UNESCO,,Ancient star.,Wikipedia
106,Fort Nossa Senhora da Vitória,,Angola,Cuanza Sul,Porto Amboim,-10.7333,13.75,1645,Portuguese,Ruins,,Coastal bastion.,Wikipedia
107,Fortress of Muxima,,Angola,Bengo,Muxima,-9.5,13.9167,1599,Portuguese,Ruins,,River fort.,Wikipedia
108,Fortress of Kambambe,,Angola,Cuanza Norte,Kambambe,-9.75,14.4833,1604,Portuguese,Ruins,,Inland star.,Wikipedia
109,Fort São Filipe,,Angola,Benguela,Benguela,-12.5833,13.4,1617,Portuguese,Museum,,Coastal.,Wikipedia
110,Fort São Francisco do Penedo,,Angola,Namibe,Namibe,-15.2,12.15,1645,Portuguese,Ruins,,Desert fort.,Wikipedia
111,Quicombo Fort,,Angola,Benguela,Quicombo,-12.3667,13.7833,17th C,Portuguese,Ruins,,Small bastion.,Wikipedia
112,Fort São José,,Angola,Zaire,Encoje,-6.2667,14.25,18th C,Portuguese,Ruins,,Northern fort.,Wikipedia
113,Fort James,,Antigua and Barbuda,St. John's,St. John's,17.1167,-61.8333,1706,British,Ruins,,Harbor star.,Wikipedia
114,Cacheu Fort,,Guinea-Bissau,Cacheu,Cacheu,12.2667,-16.1667,1588,Portuguese,Ruins,,River fort.,Wikipedia
115,São José,Fortaleza de São José da Amura,Guinea-Bissau,Bissau,Bissau,11.8667,-15.5833,1696,Portuguese,Active,,Capital defense.,Wikipedia
116,Borj Nord,,Morocco,Fès-Meknès,Fez,34.0667,-4.9833,16th C,Saadian,Museum,,Hill bastion.,Wikipedia
117,El Jadida,,Morocco,Casablanca-Settat,El Jadida,33.2333,-8.5,1514,Portuguese,UNESCO,,Walled star town.,Wikipedia
118,Nossa Senhora da Conceição,,Mozambique,Inhambane,Inhambane,-23.8667,35.3833,1750,Portuguese,Ruins,,Coastal.,Wikipedia
119,Nossa Senhora da Conceição de Lourenço Marques,,Mozambique,Maputo,Maputo,-25.9667,32.5833,1781,Portuguese,Museum,,Star fort.,Wikipedia
120,Santo António,Fort Santo António Ibo,Mozambique,Cabo Delgado,Ibo Island,-12.3333,40.5833,1791,Portuguese,Ruins,,Island bastion.,Wikipedia
121,São Caetano,,Mozambique,Sofala,Sofala,-20.15,34.7333,1505,Portuguese,Ruins,,Early site.,Wikipedia
122,São Marçal,,Mozambique,Maputo,Matola,-25.9667,32.4667,18th C,Portuguese,Ruins,,Inland.,Wikipedia
123,São Tiago Maior,,Mozambique,Inhambane,Maxixe,-23.8667,35.35,18th C,Portuguese,Ruins,,Coastal.,Wikipedia
124,São João Baptista de Ajudá,,Benin,Ouidah,Ouidah,6.3667,-2.0833,1721,Portuguese,Museum,,Small fort.,Wikipedia
125,Fort Anne,,Canada,Nova Scotia,Annapolis Royal,44.7417,-65.5183,1629,French/British,Museum,,Star-shaped.,Wikipedia
126,Fort Beauséjour,,Canada,New Brunswick,Aulac,45.8667,-64.2833,1751,French,Museum,,Pentagonal.,Wikipedia
127,Fort George,,Canada,Ontario,Niagara-on-the-Lake,43.25,-79.0667,1796,British,Museum,,Reconstruction.,Wikipedia
128,Fort Mississauga,,Canada,Ontario,Niagara-on-the-Lake,43.2667,-79.0833,1814,British,Ruins,,Star tower.,Wikipedia
129,Fort Plaisance,,Canada,Newfoundland,Placentia,47.25,-53.9667,1662,French,Ruins,,Bastions.,Wikipedia
130,Fort William,,Canada,Newfoundland,St. John's,47.5667,-52.7,1698,British,Ruins,,Bastion remnants.,Wikipedia
