Date_BCE_CE,Civilization,Political_System_Type,Governance_Structure,Power_Source,Succession_Method,Administrative_System,Military_Organization,Legal_System,Taxation_System,Diplomatic_Relations,Monarchy_Socialism_Stage,Cycle_Alignment,Transition_Mechanism
-3000,Proto_Bantu_Cameroon,Tribal_Chieftains,Clan_Leadership,Kinship_Authority,Elder_Succession,Clan_Administration,Warrior_Groups,Customary_Law,Tribute_Exchange,Clan_Alliances,Stage_1_Clan_Leadership,20_50_160_250_500,Kinship_Social_Organization
-2000,Early_Bantu_Expansion,Migrating_Clans,Migration_Leadership,Migration_Authority,Migration_Succession,Migration_Administration,Migration_Warriors,Migration_Law,Migration_Taxation,Migration_Relations,Stage_2_Migration_Leadership,20_50_160_250_500,Migration_Political_Organization
-1500,Bantu_Forest_Adaptation,Forest_Chieftains,Forest_Leadership,Forest_Authority,Forest_Succession,Forest_Administration,Forest_Warriors,Forest_Law,Forest_Taxation,Forest_Relations,Stage_3_Forest_Leadership,20_50_160_250_500,Forest_Political_Adaptation
-1000,Bantu_River_Settlements,River_Chieftains,River_Leadership,River_Authority,River_Succession,River_Administration,River_Warriors,River_Law,River_Taxation,River_Relations,Stage_4_River_Leadership,20_50_160_250_500,River_Political_Organization
-500,Bantu_Savanna_Expansion,Savanna_Chieftains,Savanna_Leadership,Savanna_Authority,Savanna_Succession,Savanna_Administration,Savanna_Warriors,Savanna_Law,Savanna_Taxation,Savanna_Relations,Stage_5_Savanna_Leadership,20_50_160_250_500,Savanna_Political_Expansion
100,Sao_Civilization,City_States,Urban_Leadership,Urban_Authority,Urban_Succession,Urban_Administration,Urban_Army,Urban_Law,Urban_Taxation,Urban_Diplomacy,Stage_6_Urban_Leadership,20_50_160_250_500,Urban_Political_Development
400,Sao_Peak_Period,Confederated_Cities,Confederated_Leadership,Confederated_Authority,Confederated_Succession,Confederated_Administration,Confederated_Army,Confederated_Law,Confederated_Taxation,Confederated_Diplomacy,Stage_7_Confederated_Leadership,20_50_160_250_500,Confederated_Political_Peak
700,Sao_Decline,Fragmented_Cities,Fragmented_Leadership,Fragmented_Authority,Fragmented_Succession,Fragmented_Administration,Fragmented_Army,Fragmented_Law,Fragmented_Taxation,Fragmented_Relations,Stage_8_Fragmented_Leadership,20_50_160_250_500,Political_Urban_Fragmentation
1000,Kanem_Foundation,Divine_Monarchy,Royal_Leadership,Divine_Authority,Divine_Succession,Royal_Administration,Royal_Army,Royal_Law,Royal_Taxation,Royal_Diplomacy,Stage_9_Divine_Monarchy,20_50_160_250_500,Divine_Political_Foundation
1200,Kanem_Islamic_Conversion,Islamic_Monarchy,Islamic_Leadership,Islamic_Authority,Islamic_Succession,Islamic_Administration,Islamic_Army,Islamic_Law,Islamic_Taxation,Islamic_Diplomacy,Stage_10_Islamic_Monarchy,20_50_160_250_500,Islamic_Political_Conversion
1400,Kanem_Bornu_Empire,Imperial_Monarchy,Imperial_Leadership,Imperial_Authority,Imperial_Succession,Imperial_Administration,Imperial_Army,Imperial_Law,Imperial_Taxation,Imperial_Diplomacy,Stage_11_Imperial_Monarchy,20_50_160_250_500,Imperial_Political_Expansion
1600,Bornu_Consolidation,Consolidated_Empire,Consolidated_Leadership,Consolidated_Authority,Consolidated_Succession,Consolidated_Administration,Consolidated_Army,Consolidated_Law,Consolidated_Taxation,Consolidated_Diplomacy,Stage_12_Consolidated_Empire,20_50_160_250_500,Imperial_Political_Consolidation
1800,Bornu_Decline,Declining_Empire,Declining_Leadership,Declining_Authority,Declining_Succession,Declining_Administration,Declining_Army,Declining_Law,Declining_Taxation,Declining_Relations,Stage_13_Declining_Empire,20_50_160_250_500,Imperial_Political_Decline
1900,Bornu_Colonial,Colonial_Administration,Colonial_Leadership,Colonial_Authority,Colonial_Appointment,Colonial_Administration,Colonial_Forces,Colonial_Law,Colonial_Taxation,Colonial_Relations,Stage_14_Colonial_Administration,20_50_160_250_500,Colonial_Political_Integration
1300,Kongo_Kingdom_Foundation,Divine_Monarchy,Royal_Leadership,Divine_Authority,Divine_Succession,Royal_Administration,Royal_Army,Royal_Law,Royal_Taxation,Royal_Diplomacy,Stage_15_Divine_Monarchy,20_50_160_250_500,Divine_Political_Foundation
1400,Kongo_Portuguese_Contact,Christian_Monarchy,Christian_Leadership,Christian_Authority,Christian_Succession,Christian_Administration,Christian_Army,Christian_Law,Christian_Taxation,Christian_Diplomacy,Stage_16_Christian_Monarchy,20_50_160_250_500,Christian_Political_Integration
1500,Kongo_Christian_Peak,Catholic_Monarchy,Catholic_Leadership,Catholic_Authority,Catholic_Succession,Catholic_Administration,Catholic_Army,Catholic_Law,Catholic_Taxation,Catholic_Diplomacy,Stage_17_Catholic_Monarchy,20_50_160_250_500,Catholic_Political_Peak
1600,Kongo_Slave_Trade,Slave_Monarchy,Slave_Leadership,Slave_Authority,Slave_Succession,Slave_Administration,Slave_Army,Slave_Law,Slave_Taxation,Slave_Relations,Stage_18_Slave_Monarchy,20_50_160_250_500,Slave_Trade_Political_Adaptation
1700,Kongo_Fragmentation,Fragmented_Monarchy,Fragmented_Leadership,Fragmented_Authority,Fragmented_Succession,Fragmented_Administration,Fragmented_Army,Fragmented_Law,Fragmented_Taxation,Fragmented_Relations,Stage_19_Fragmented_Monarchy,20_50_160_250_500,Political_Royal_Fragmentation
1885,Congo_Free_State,Colonial_Administration,Colonial_Leadership,Colonial_Authority,Colonial_Appointment,Colonial_Administration,Colonial_Army,Colonial_Law,Colonial_Taxation,Colonial_Relations,Stage_20_Colonial_Administration,20_50_160_250_500,Colonial_Political_Establishment
1960,Democratic_Republic_Congo,Independent_Republic,Republican_Leadership,Republican_Authority,Democratic_Elections,Republican_Administration,National_Army,Republican_Law,Republican_Taxation,Republican_Diplomacy,Stage_21_Independent_Republic,20_50_160_250_500,Republican_Political_Independence
1400,Luba_Empire_Foundation,Divine_Monarchy,Royal_Leadership,Divine_Authority,Divine_Succession,Royal_Administration,Royal_Army,Royal_Law,Royal_Taxation,Royal_Diplomacy,Stage_22_Divine_Monarchy,20_50_160_250_500,Divine_Political_Foundation
1600,Luba_Empire_Peak,Imperial_Monarchy,Imperial_Leadership,Imperial_Authority,Imperial_Succession,Imperial_Administration,Imperial_Army,Imperial_Law,Imperial_Taxation,Imperial_Diplomacy,Stage_23_Imperial_Monarchy,20_50_160_250_500,Imperial_Political_Peak
1800,Luba_Empire_Decline,Declining_Monarchy,Declining_Leadership,Declining_Authority,Declining_Succession,Declining_Administration,Declining_Army,Declining_Law,Declining_Taxation,Declining_Relations,Stage_24_Declining_Monarchy,20_50_160_250_500,Imperial_Political_Decline
1500,Lunda_Empire_Foundation,Divine_Monarchy,Royal_Leadership,Divine_Authority,Divine_Succession,Royal_Administration,Royal_Army,Royal_Law,Royal_Taxation,Royal_Diplomacy,Stage_25_Divine_Monarchy,20_50_160_250_500,Divine_Political_Foundation
1700,Lunda_Empire_Peak,Imperial_Monarchy,Imperial_Leadership,Imperial_Authority,Imperial_Succession,Imperial_Administration,Imperial_Army,Imperial_Law,Imperial_Taxation,Imperial_Diplomacy,Stage_26_Imperial_Monarchy,20_50_160_250_500,Imperial_Political_Peak
1850,Lunda_Empire_Decline,Declining_Monarchy,Declining_Leadership,Declining_Authority,Declining_Succession,Declining_Administration,Declining_Army,Declining_Law,Declining_Taxation,Declining_Relations,Stage_27_Declining_Monarchy,20_50_160_250_500,Imperial_Political_Decline
1600,Ndongo_Kingdom,Warrior_Monarchy,Warrior_Leadership,Warrior_Authority,Warrior_Succession,Warrior_Administration,Warrior_Army,Warrior_Law,Warrior_Taxation,Warrior_Relations,Stage_28_Warrior_Monarchy,20_50_160_250_500,Warrior_Political_Foundation
