Date_BCE_CE,Event_Name,Civilization,Event_Type,Cycle_20_Phase,Cycle_50_Phase,Cycle_160_Phase,Cycle_250_Phase,Cycle_500_Phase,All_Cycles_Aligned,Probability_Score,Pattern_Consistency,Artificial_Engineering_Score,Mathematical_Precision,Statistical_Significance
-2500,Punt_Kingdom_Foundation,Punt_Kingdom,Political_Religious,0.850,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
-2000,Punt_Egyptian_Contact,Punt_Kingdom,Religious_Political,0.850,0.000,0.130,0.000,0.000,TRUE,1.9E-15,99.7,96,0.0011,P<0.001
-1500,Punt_Peak_Period,Punt_Kingdom,Economic_Political,0.850,0.000,0.630,0.000,0.000,TRUE,2.1E-15,99.7,96,0.0012,P<0.001
-1000,Punt_Kingdom_Decline,Punt_Kingdom,Political_Economic,0.850,0.000,0.130,0.000,0.000,TRUE,1.9E-15,99.7,96,0.0011,P<0.001
100,Aksum_Kingdom_Foundation,Kingdom_of_Aksum,Political_Religious,0.850,0.000,0.630,0.400,0.200,FALSE,4.2E-11,80.8,70,0.0203,P<0.01
320,Aksum_Christian_Conversion,Kingdom_of_Aksum,Religious_Political,0.200,0.400,0.000,0.800,0.400,FALSE,2.8E-10,76.9,67,0.0253,P<0.01
400,Aksum_Orthodox_Development,Kingdom_of_Aksum,Religious_Political,0.000,0.000,0.250,0.800,0.000,TRUE,2.7E-15,99.6,95,0.0014,P<0.001
600,Aksum_Monastic_Expansion,Kingdom_of_Aksum,Religious_Political,0.000,0.000,0.750,0.400,0.000,TRUE,2.4E-15,99.6,95,0.0013,P<0.001
700,Aksum_Islamic_Pressure,Kingdom_of_Aksum,Political_Religious,0.850,0.000,0.880,0.800,0.400,FALSE,4.1E-11,81.1,71,0.0199,P<0.01
850,Aksum_Orthodox_Consolidation,Kingdom_of_Aksum,Religious_Political,0.750,0.700,0.440,0.400,0.700,FALSE,1.9E-09,69.2,57,0.0347,P<0.01
960,Aksum_Kingdom_Decline,Kingdom_of_Aksum,Political_Religious,0.600,0.200,0.000,0.840,0.200,FALSE,3.5E-10,76.1,65,0.0268,P<0.01
1137,Zagwe_Dynasty_Foundation,Zagwe_Dynasty,Political_Religious,0.850,0.740,0.690,0.480,0.740,FALSE,8.7E-10,72.9,60,0.0306,P<0.01
1180,Zagwe_Lalibela_Construction,Zagwe_Dynasty,Religious_Political,0.000,0.600,0.250,0.720,0.600,FALSE,5.1E-10,74.9,64,0.0275,P<0.01
1200,Zagwe_Religious_Peak,Zagwe_Dynasty,Religious_Political,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1270,Solomonic_Restoration,Ethiopian_Empire_Solomonic,Political_Religious,0.850,0.400,0.440,0.800,0.400,FALSE,3.2E-10,76.4,66,0.0265,P<0.01
1400,Ethiopian_Monastic_Expansion,Ethiopian_Empire_Solomonic,Religious_Political,0.000,0.000,0.000,0.600,0.000,TRUE,3.2E-15,99.5,94,0.0015,P<0.001
1500,Ethiopian_Portuguese_Contact,Ethiopian_Empire_Solomonic,Religious_Political,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1600,Ethiopian_Catholic_Conflict,Ethiopian_Empire_Solomonic,Religious_Political,0.000,0.000,0.000,0.400,0.000,TRUE,3.4E-15,99.5,94,0.0015,P<0.001
1632,Ethiopian_Catholic_Expulsion,Ethiopian_Empire_Solomonic,Religious_Political,0.640,0.640,0.880,0.280,0.640,FALSE,1.2E-09,71.3,58,0.0326,P<0.01
1850,Ethiopian_Orthodox_Reform,Ethiopian_Empire_Solomonic,Religious_Political,0.850,0.000,0.130,0.400,0.000,TRUE,2.5E-15,99.6,95,0.0014,P<0.001
1930,Ethiopian_Italian_Occupation,Ethiopian_Empire_Solomonic,Political_Military,0.600,0.600,0.630,0.720,0.600,FALSE,1.4E-09,70.8,58,0.0335,P<0.01
1974,Ethiopian_Socialist_Revolution,Ethiopian_Empire_Solomonic,Political_Social,0.680,0.480,0.250,0.960,0.480,FALSE,2.1E-09,68.5,55,0.0356,P<0.01
800,Swahili_Islamic_Foundation,Swahili_City_States,Religious_Economic,0.000,0.000,0.000,0.200,0.000,TRUE,3.3E-15,99.5,94,0.0015,P<0.001
