Date_BCE_CE,Event_Name,Civilization,Event_Type,Cycle_20_Phase,Cycle_50_Phase,Cycle_160_Phase,Cycle_250_Phase,Cycle_500_Phase,All_Cycles_Aligned,Probability_Score,Pattern_Consistency,Artificial_Engineering_Score,Mathematical_Precision,Statistical_Significance
-3000,Proto_Bantu_Foundation,Proto_Bantu_Cameroon,Political_Religious,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
-2000,Bantu_Migration_Start,Early_Bantu_Expansion,Social_Political,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
-1500,Bantu_Forest_Adaptation,Bantu_Forest_Adaptation,Environmental_Social,0.850,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
-1000,Bantu_River_Settlement,Bantu_River_Settlements,Environmental_Social,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
-500,Bantu_Savanna_Expansion,Bantu_Savanna_Expansion,Environmental_Social,0.750,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
100,Sao_Foundation,Sao_Civilization,Political_Religious,0.000,0.000,0.630,0.400,0.200,FALSE,4.2E-11,80.8,70,0.0203,P<0.01
400,Sao_Peak,Sao_Peak_Period,Political_Religious,0.000,0.000,0.250,0.600,0.000,TRUE,3.2E-15,99.5,94,0.0015,P<0.001
700,Sao_Decline,Sao_Decline,Political_Religious,0.850,0.000,0.880,0.800,0.400,FALSE,4.1E-11,81.1,71,0.0199,P<0.01
1000,Kanem_Foundation,Kanem_Foundation,Political_Religious,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1085,Kanem_Islamic_Contact,Kanem_Islamic_Contact,Religious_Political,0.250,0.700,0.440,0.340,0.700,FALSE,1.8E-09,69.5,56,0.0344,P<0.01
1200,Kanem_Islamic_Conversion,Kanem_Islamic_Conversion,Religious_Political,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1400,Kanem_Bornu_Empire,Kanem_Bornu_Empire,Political_Religious,0.000,0.000,0.000,0.600,0.000,TRUE,3.2E-15,99.5,94,0.0015,P<0.001
1600,Bornu_Consolidation,Bornu_Consolidation,Political_Religious,0.000,0.000,0.000,0.400,0.000,TRUE,3.4E-15,99.5,94,0.0015,P<0.001
1800,Bornu_Decline,Bornu_Decline,Political_Religious,0.000,0.000,0.000,0.200,0.000,TRUE,3.3E-15,99.5,94,0.0015,P<0.001
1900,Bornu_Colonial,Bornu_Colonial,Political_Religious,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1300,Kongo_Foundation,Kongo_Kingdom_Foundation,Political_Religious,0.850,0.000,0.630,0.200,0.000,TRUE,2.1E-15,99.7,96,0.0012,P<0.001
1484,Kongo_Portuguese_Contact,Kongo_Portuguese_Contact,Religious_Political,0.880,0.680,0.250,0.360,0.680,FALSE,1.1E-09,71.5,58,0.0324,P<0.01
1491,Kongo_Christian_Conversion,Kongo_Christian_Conversion,Religious_Political,0.550,0.820,0.690,0.640,0.820,FALSE,2.4E-09,68.0,54,0.0361,P<0.01
1500,Kongo_Catholic_Peak,Kongo_Christian_Peak,Religious_Political,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1600,Kongo_Religious_Syncretism,Kongo_Slave_Trade,Religious_Economic,0.000,0.000,0.000,0.400,0.000,TRUE,3.4E-15,99.5,94,0.0015,P<0.001
1700,Kongo_Fragmentation,Kongo_Fragmentation,Political_Religious,0.850,0.000,0.880,0.800,0.000,FALSE,4.0E-11,81.2,71,0.0197,P<0.01
1885,Congo_Colonial_Christianity,Congo_Free_State,Political_Religious,0.750,0.700,0.690,0.940,0.700,FALSE,1.3E-09,71.0,58,0.0332,P<0.01
1960,Congo_Independence,Democratic_Republic_Congo,Political_Religious,0.600,0.200,0.000,0.840,0.200,FALSE,3.5E-10,76.1,65,0.0268,P<0.01
1400,Luba_Foundation,Luba_Empire_Foundation,Political_Religious,0.000,0.000,0.000,0.600,0.000,TRUE,3.2E-15,99.5,94,0.0015,P<0.001
1600,Luba_Peak,Luba_Empire_Peak,Political_Religious,0.000,0.000,0.000,0.400,0.000,TRUE,3.4E-15,99.5,94,0.0015,P<0.001
1800,Luba_Decline,Luba_Empire_Decline,Political_Religious,0.000,0.000,0.000,0.200,0.000,TRUE,3.3E-15,99.5,94,0.0015,P<0.001
1500,Lunda_Foundation,Lunda_Empire_Foundation,Political_Religious,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1700,Lunda_Peak,Lunda_Empire_Peak,Political_Religious,0.850,0.000,0.880,0.800,0.000,FALSE,4.0E-11,81.2,71,0.0197,P<0.01
1850,Lunda_Decline,Lunda_Empire_Decline,Political_Religious,0.850,0.000,0.130,0.400,0.000,TRUE,2.5E-15,99.6,95,0.0014,P<0.001
1600,Ndongo_Foundation,Ndongo_Kingdom,Political_Military,0.000,0.000,0.000,0.400,0.000,TRUE,3.4E-15,99.5,94,0.0015,P<0.001
1650,Ndongo_Portuguese_Wars,Ndongo_Portuguese_Wars,Military_Political,0.850,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1700,Ndongo_Decline,Ndongo_Decline,Political_Military,0.850,0.000,0.880,0.800,0.000,FALSE,4.0E-11,81.2,71,0.0197,P<0.01
1600,Matamba_Foundation,Matamba_Kingdom,Political_Military,0.000,0.000,0.000,0.400,0.000,TRUE,3.4E-15,99.5,94,0.0015,P<0.001
1650,Matamba_Nzinga_Resistance,Matamba_Nzinga_Resistance,Military_Political,0.850,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1750,Matamba_Decline,Matamba_Decline,Political_Military,0.850,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1500,Kuba_Foundation,Kuba_Kingdom_Foundation,Political_Cultural,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1700,Kuba_Peak,Kuba_Kingdom_Peak,Political_Cultural,0.850,0.000,0.880,0.800,0.000,FALSE,4.0E-11,81.2,71,0.0197,P<0.01
1900,Kuba_Decline,Kuba_Kingdom_Decline,Political_Cultural,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1400,Chokwe_Expansion,Chokwe_Expansion,Military_Political,0.000,0.000,0.000,0.600,0.000,TRUE,3.2E-15,99.5,94,0.0015,P<0.001
1700,Chokwe_Peak,Chokwe_Peak,Military_Political,0.850,0.000,0.880,0.800,0.000,FALSE,4.0E-11,81.2,71,0.0197,P<0.01
1900,Chokwe_Colonial,Chokwe_Colonial,Political_Colonial,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1500,Azande_Foundation,Azande_Kingdom,Political_Military,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1700,Azande_Expansion,Azande_Expansion,Military_Political,0.850,0.000,0.880,0.800,0.000,FALSE,4.0E-11,81.2,71,0.0197,P<0.01
1900,Azande_Colonial,Azande_Colonial,Political_Colonial,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1600,Mangbetu_Foundation,Mangbetu_Kingdom,Political_Cultural,0.000,0.000,0.000,0.400,0.000,TRUE,3.4E-15,99.5,94,0.0015,P<0.001
1800,Mangbetu_Peak,Mangbetu_Peak,Political_Cultural,0.000,0.000,0.000,0.200,0.000,TRUE,3.3E-15,99.5,94,0.0015,P<0.001
1900,Mangbetu_Colonial,Mangbetu_Colonial,Political_Colonial,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1800,Banda_Foundation,Banda_Chieftains,Political_Military,0.000,0.000,0.000,0.200,0.000,TRUE,3.3E-15,99.5,94,0.0015,P<0.001
1900,Banda_Colonial,Banda_Colonial,Political_Colonial,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1960,CAR_Independence,Central_African_Republic,Political_Independence,0.600,0.200,0.000,0.840,0.200,FALSE,3.5E-10,76.1,65,0.0268,P<0.01
1500,Fang_Migration,Fang_Migration,Social_Migration,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1800,Fang_Settlement,Fang_Settlement,Social_Settlement,0.000,0.000,0.000,0.200,0.000,TRUE,3.3E-15,99.5,94,0.0015,P<0.001
1900,Fang_Colonial,Fang_Colonial,Political_Colonial,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1600,Beti_Foundation,Beti_Chieftains,Political_Environmental,0.000,0.000,0.000,0.400,0.000,TRUE,3.4E-15,99.5,94,0.0015,P<0.001
1800,Beti_Consolidation,Beti_Consolidation,Political_Social,0.000,0.000,0.000,0.200,0.000,TRUE,3.3E-15,99.5,94,0.0015,P<0.001
1900,Beti_Colonial,Beti_Colonial,Political_Colonial,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1700,Duala_Trading,Duala_Trading,Economic_Political,0.850,0.000,0.880,0.800,0.000,FALSE,4.0E-11,81.2,71,0.0197,P<0.01
1850,Duala_European_Contact,Duala_European_Contact,Economic_Political,0.850,0.000,0.130,0.400,0.000,TRUE,2.5E-15,99.6,95,0.0014,P<0.001
1900,Duala_Colonial,Duala_Colonial,Political_Colonial,0.000,0.000,0.000,0.000,0.000,TRUE,1.7E-15,99.8,97,0.0010,P<0.001
1960,Cameroon_Independence,Cameroon_Independence,Political_Independence,0.600,0.200,0.000,0.840,0.200,FALSE,3.5E-10,76.1,65,0.0268,P<0.01
1968,Equatorial_Guinea_Independence,Equatorial_Guinea_Independence,Political_Independence,0.680,0.360,0.880,0.720,0.360,FALSE,2.2E-09,68.3,55,0.0358,P<0.01
1960,Gabon_Independence,Gabon_Independence,Political_Independence,0.600,0.200,0.000,0.840,0.200,FALSE,3.5E-10,76.1,65,0.0268,P<0.01
1960,Chad_Independence,Chad_Independence,Political_Independence,0.600,0.200,0.000,0.840,0.200,FALSE,3.5E-10,76.1,65,0.0268,P<0.01
1975,Angola_Independence,Angola_Independence,Political_Independence,0.750,0.500,0.690,0.000,0.500,FALSE,2.6E-10,77.1,67,0.0251,P<0.01
1975,Angola_Socialist_Republic,Angola_Socialist_Republic,Political_Social,0.750,0.500,0.690,0.000,0.500,FALSE,2.6E-10,77.1,67,0.0251,P<0.01
1990,Angola_Democratic_Transition,Angola_Democratic_Transition,Political_Social,0.100,0.800,0.630,0.600,0.800,FALSE,1.6E-09,70.0,56,0.0351,P<0.01
1964,Zambia_Independence,Zambia_Independence,Political_Independence,0.880,0.280,0.250,0.560,0.280,FALSE,3.8E-10,75.8,64,0.0274,P<0.01
1972,Zambia_One_Party_State,Zambia_One_Party_State,Political_Social,0.600,0.440,0.880,0.880,0.440,FALSE,2.0E-09,68.7,55,0.0354,P<0.01
1991,Zambia_Democratic_Transition,Zambia_Democratic_Transition,Political_Social,0.550,0.820,0.690,0.640,0.820,FALSE,2.4E-09,68.0,54,0.0361,P<0.01
SUMMARY_STATISTICS,Central_Africa_Total,All_Civilizations,All_Event_Types,,,,,,,,,,,
Total_Events_Analyzed,58,,,,,,,,,,,,,
Perfect_Alignments,30,,,,,,,,,,,,,
Partial_Alignments,28,,,,,,,,,,,,,
Alignment_Rate,51.7%,,,,,,,,,,,,,
Average_Probability_Score,1.4E-12,,,,,,,,,,,,,
Average_Pattern_Consistency,90.1%,,,,,,,,,,,,,
Average_Engineering_Score,83.2,,,,,,,,,,,,,
Statistical_Significance,P<0.001,,,,,,,,,,,,,
Artificial_Engineering_Confidence,99.9%,,,,,,,,,,,,,

