Year,Political_System,Geographic_Region,Population_Affected,Leadership_Structure,Decision_Making_Process,Power_Distribution,Administrative_Organization,Military_Organization,Legal_System,Economic_Control,Social_Hierarchy,External_Relations,Internal_Conflicts,Succession_Mechanisms,Institutional_Development,Territorial_Control,Resource_Management,Conflict_Resolution,Alliance_Systems,Diplomatic_Practices,Taxation_Systems,Public_Works,Educational_Systems,Religious_Integration,Cultural_Policies,Language_Policies,Settlement_Policies,Trade_Regulations,Labor_Organization,Gender_Roles_in_Governance,Age_Grade_Systems,Clan_Integration,Ethnic_Relations,Regional_Autonomy,Central_Authority,Bureaucratic_Development,Record_Keeping_Systems,Communication_Networks,Transportation_Systems,Information_Control,Propaganda_Systems,Resistance_Movements,Opposition_Parties,Civil_Society_Organizations,Interest_Groups,Professional_Associations,Labor_Unions,Student_Organizations,Religious_Organizations,Women_Organizations,Youth_Organizations,Traditional_Authorities,Modern_Institutions,International_Relations,Regional_Integration,Global_Positioning,Economic_Partnerships,Security_Alliances,Cultural_Exchanges,Educational_Cooperation,Technological_Transfer,Environmental_Cooperation,Human_Rights_Compliance,Democratic_Development,Constitutional_Framework,Electoral_Systems,Judicial_Independence,Press_Freedom,Civil_Liberties,Political_Participation,Government_Accountability,Transparency_Measures,Anti_Corruption_Efforts,Public_Service_Delivery,Infrastructure_Development,Social_Welfare_Systems,Healthcare_Systems,Educational_Development,Economic_Development_Policies,Environmental_Policies,Urban_Planning,Rural_Development,Agricultural_Policies,Industrial_Policies,Mining_Policies,Tourism_Development,Cultural_Preservation,Heritage_Protection,Language_Development,Arts_and_Literature_Support,Sports_Development,Scientific_Research,Technological_Innovation,Space_Programs,Nuclear_Programs,Defense_Capabilities,Intelligence_Services,Border_Security,Immigration_Policies,Refugee_Policies,Citizenship_Laws,Identity_Documentation,Population_Registration,Census_Systems,Statistical_Services
-25000,San_Egalitarian_Bands,Southern_Africa_Kalahari_Drakensberg,80000,Elder_Councils_and_Shamans,Consensus_Decision_Making,Egalitarian_Distribution,Band_Level_Organization,Hunting_Band_Cooperation,Customary_Law_Consensus,Gift_Economy_System,Age_and_Gender_Based_Roles,Peaceful_Inter_Band_Relations,Resource_Competition_Disputes,Elder_Succession_by_Consensus,Informal_Institutions,Seasonal_Territory_Use,Communal_Resource_Sharing,Elder_Mediation,Inter_Band_Alliances,Peaceful_Negotiation,No_Formal_Taxation,Communal_Work_Projects,Oral_Knowledge_Transmission,Shamanic_Integration,Cultural_Preservation,Click_Language_Maintenance,Seasonal_Settlement_Patterns,Barter_Exchange_Systems,Cooperative_Labor_Organization,Gender_Complementarity,Age_Respect_Hierarchy,Extended_Family_Integration,Peaceful_Ethnic_Relations,Band_Autonomy,Minimal_Central_Authority,No_Formal_Bureaucracy,Oral_Tradition_Records,Oral_Communication_Networks,Walking_Transportation,Oral_Information_Sharing,Storytelling_Systems,None,None,None,None,None,None,None,Shamanic_Organizations,None,None,Elder_Councils,None,Peaceful_Inter_Band_Relations,Regional_Cooperation,Neutral_Positioning,Barter_Partnerships,Mutual_Defense_Agreements,Cultural_Exchanges,Knowledge_Sharing,Tool_Technology_Sharing,Environmental_Cooperation,Customary_Rights_Respect,Consensus_Democracy,Customary_Law_Framework,Consensus_Electoral_Systems,Elder_Judicial_Authority,Oral_Information_Freedom,Customary_Civil_Liberties,Universal_Participation,Elder_Accountability,Oral_Transparency,Customary_Integrity,Communal_Service_Delivery,Communal_Infrastructure,Communal_Welfare_Systems,Traditional_Healthcare,Oral_Education,Sustainable_Development,Environmental_Stewardship,Seasonal_Settlement_Planning,Communal_Development,Gathering_Practices,None,None,None,Cultural_Preservation,Heritage_Maintenance,Language_Preservation,Oral_Arts_Support,Traditional_Games,Astronomical_Knowledge,Tool_Innovation,None,None,Defensive_Capabilities,None,Territorial_Awareness,None,None,Kinship_Citizenship,Oral_Identity,Kinship_Registration,Oral_Census,Oral_Statistics
300,Khoikhoi_Chieftaincy,Western_Southern_Cape,150000,Hereditary_Chiefs_with_Councils,Chief_Council_Decision_Making,Hierarchical_Clan_Distribution,Chieftaincy_Organization,Warrior_Society_Organization,Customary_Chief_Law,Pastoral_Economy_Control,Clan_Hierarchy_with_Chief_Authority,Inter_Chiefdom_Relations,Inter_Clan_Warfare_and_Succession_Disputes,Hereditary_Succession_with_Council_Approval,Chieftaincy_Institutions,Clan_Territory_Control,Pastoral_Resource_Management,Chief_Mediation,Inter_Chiefdom_Alliances,Diplomatic_Negotiations,Tribute_Systems,Communal_Pastoral_Works,Oral_Praise_Education,Traditional_Religious_Integration,Clan_Cultural_Policies,Khoekhoe_Language_Policies,Seasonal_Grazing_Settlement_Policies,Pastoral_Trade_Regulations,Clan_Labor_Organization,Women_Clan_Roles,Age_Grade_Pastoral_Systems,Clan_Integration_Systems,Peaceful_Ethnic_Relations,Clan_Autonomy,Chief_Central_Authority,Clan_Administrative_Development,Oral_Praise_Records,Oral_Clan_Networks,Pastoral_Transportation,Oral_Clan_Information,Praise_Poetry_Systems,None,None,None,None,None,None,None,Traditional_Religious_Organizations,None,None,Chief_Councils,None,Inter_Chiefdom_Relations,Regional_Pastoral_Cooperation,Neutral_Positioning,Pastoral_Trade_Partnerships,Mutual_Defense_Agreements,Cultural_Exchanges,Knowledge_Sharing,Pastoral_Technology_Sharing,Environmental_Cooperation,Customary_Rights_Respect,Chieftaincy_Democracy,Customary_Law_Framework,Chief_Electoral_Systems,Chief_Judicial_Authority,Oral_Information_Freedom,Customary_Civil_Liberties,Clan_Participation,Chief_Accountability,Oral_Transparency,Customary_Integrity,Clan_Service_Delivery,Pastoral_Infrastructure,Clan_Welfare_Systems,Traditional_Healthcare,Oral_Praise_Education,Pastoral_Development,Environmental_Stewardship,Seasonal_Settlement_Planning,Pastoral_Development,Pastoral_Practices,None,None,None,Cultural_Preservation,Heritage_Maintenance,Language_Preservation,Praise_Arts_Support,Traditional_Games,Astronomical_Knowledge,Pastoral_Innovation,None,None,Warrior_Capabilities,None,Territorial_Defense,None,None,Clan_Citizenship,Oral_Identity,Clan_Registration,Oral_Census,Oral_Statistics
1000,Nguni_Chieftaincy,Eastern_South_Africa,200000,Hereditary_Chiefs_with_Age_Regiments,Chief_Age_Regiment_Decision_Making,Patrilineal_Clan_Distribution,Chieftaincy_with_Age_Grades,Age_Regiment_Military_Organization,Customary_Ancestral_Law,Mixed_Economy_Control,Patrilineal_Hierarchy_with_Chief_Authority,Inter_Chiefdom_Relations,Succession_Disputes_and_Territorial_Conflicts,Patrilineal_Succession_with_Council_Approval,Chieftaincy_Age_Grade_Institutions,Clan_Territory_Control,Mixed_Resource_Management,Chief_Age_Grade_Mediation,Inter_Chiefdom_Alliances,Diplomatic_Negotiations,Tribute_Systems,Communal_Agricultural_Works,Oral_Praise_Education,Ancestral_Religious_Integration,Clan_Cultural_Policies,Proto_Nguni_Language_Policies,Permanent_Settlement_Policies,Mixed_Trade_Regulations,Age_Grade_Labor_Organization,Women_Ancestral_Roles,Age_Grade_Systems,Patrilineal_Clan_Integration,Peaceful_Ethnic_Relations,Clan_Autonomy,Chief_Central_Authority,Age_Grade_Administrative_Development,Oral_Praise_Records,Oral_Clan_Networks,Walking_Transportation,Oral_Clan_Information,Praise_Poetry_Systems,None,None,None,None,None,None,None,Ancestral_Religious_Organizations,None,None,Chief_Age_Grade_Councils,None,Inter_Chiefdom_Relations,Regional_Cooperation,Neutral_Positioning,Mixed_Trade_Partnerships,Mutual_Defense_Agreements,Cultural_Exchanges,Knowledge_Sharing,Agricultural_Technology_Sharing,Environmental_Cooperation,Customary_Rights_Respect,Chieftaincy_Democracy,Customary_Law_Framework,Chief_Electoral_Systems,Chief_Judicial_Authority,Oral_Information_Freedom,Customary_Civil_Liberties,Clan_Participation,Chief_Accountability,Oral_Transparency,Customary_Integrity,Clan_Service_Delivery,Agricultural_Infrastructure,Clan_Welfare_Systems,Traditional_Healthcare,Oral_Praise_Education,Mixed_Development,Environmental_Stewardship,Permanent_Settlement_Planning,Agricultural_Development,Agricultural_Practices,None,None,None,Cultural_Preservation,Heritage_Maintenance,Language_Preservation,Praise_Arts_Support,Traditional_Games,Astronomical_Knowledge,Agricultural_Innovation,None,None,Age_Regiment_Capabilities,None,Territorial_Defense,None,None,Clan_Citizenship,Oral_Identity,Clan_Registration,Oral_Census,Oral_Statistics
1200,Sotho_Tswana_Chieftaincy,Interior_Highveld_Western_Regions,300000,Hereditary_Chiefs_with_Ward_System,Chief_Ward_Decision_Making,Ward_Based_Distribution,Chieftaincy_with_Ward_Organization,Age_Grade_Ward_Military_Organization,Customary_Ancestral_Law,Agricultural_Economy_Control,Ward_Hierarchy_with_Chief_Authority,Inter_Chiefdom_Relations,Inter_Chiefdom_Warfare_and_Succession_Disputes,Hereditary_Succession_with_Ward_Approval,Chieftaincy_Ward_Institutions,Chiefdom_Territory_Control,Agricultural_Resource_Management,Chief_Ward_Mediation,Inter_Chiefdom_Alliances,Diplomatic_Negotiations,Tribute_Systems,Communal_Agricultural_Works,Oral_Agricultural_Education,Ancestral_Religious_Integration,Ward_Cultural_Policies,Sotho_Tswana_Language_Policies,Stone_Walled_Settlement_Policies,Agricultural_Trade_Regulations,Ward_Labor_Organization,Women_Agricultural_Roles,Age_Grade_Ward_Systems,Ward_Integration_Systems,Peaceful_Ethnic_Relations,Ward_Autonomy,Chief_Central_Authority,Ward_Administrative_Development,Oral_Tradition_Records,Oral_Ward_Networks,Walking_Transportation,Oral_Ward_Information,Praise_Poetry_Systems,None,None,None,None,None,None,None,Ancestral_Religious_Organizations,None,None,Chief_Ward_Councils,None,Inter_Chiefdom_Relations,Regional_Agricultural_Cooperation,Neutral_Positioning,Agricultural_Trade_Partnerships,Mutual_Defense_Agreements,Cultural_Exchanges,Knowledge_Sharing,Agricultural_Technology_Sharing,Environmental_Cooperation,Customary_Rights_Respect,Chieftaincy_Democracy,Customary_Law_Framework,Chief_Electoral_Systems,Chief_Judicial_Authority,Oral_Information_Freedom,Customary_Civil_Liberties,Ward_Participation,Chief_Accountability,Oral_Transparency,Customary_Integrity,Ward_Service_Delivery,Stone_Agricultural_Infrastructure,Ward_Welfare_Systems,Traditional_Healthcare,Oral_Agricultural_Education,Agricultural_Development,Environmental_Stewardship,Stone_Settlement_Planning,Agricultural_Development,Agricultural_Practices,None,None,None,Cultural_Preservation,Heritage_Maintenance,Language_Preservation,Praise_Arts_Support,Traditional_Games,Astronomical_Knowledge,Agricultural_Innovation,None,None,Age_Grade_Capabilities,None,Territorial_Defense,None,None,Ward_Citizenship,Oral_Identity,Ward_Registration,Oral_Census,Oral_Statistics
1400,Thembu_Pondo_Paramount_Chieftaincy,Eastern_Cape_Transkei,180000,Paramount_Chiefs_with_Regional_Chiefs,Paramount_Chief_Regional_Decision_Making,Hierarchical_Regional_Distribution,Paramount_Chieftaincy_Organization,Age_Regiment_Military_Organization,Customary_Ancestral_Law,Mixed_Economy_Control,Hierarchical_Regional_Authority,Inter_Kingdom_Relations,Succession_Disputes_and_Territorial_Conflicts,Patrilineal_Succession_with_Regional_Approval,Paramount_Chieftaincy_Institutions,Regional_Territory_Control,Mixed_Resource_Management,Paramount_Chief_Mediation,Inter_Kingdom_Alliances,Diplomatic_Negotiations,Tribute_Systems,Communal_Works,Oral_Praise_Education,Ancestral_Religious_Integration,Regional_Cultural_Policies,IsiXhosa_Language_Policies,Permanent_Settlement_Policies,Coastal_Trade_Regulations,Age_Grade_Labor_Organization,Women_Ancestral_Roles,Age_Grade_Systems,Regional_Clan_Integration,Peaceful_Ethnic_Relations,Regional_Autonomy,Paramount_Chief_Central_Authority,Regional_Administrative_Development,Oral_Praise_Records,Oral_Regional_Networks,Walking_Transportation,Oral_Regional_Information,Praise_Poetry_Systems,None,None,None,None,None,None,None,Ancestral_Religious_Organizations,None,None,Paramount_Chief_Councils,None,Inter_Kingdom_Relations,Regional_Cooperation,Neutral_Positioning,Coastal_Trade_Partnerships,Mutual_Defense_Agreements,Cultural_Exchanges,Knowledge_Sharing,Technology_Sharing,Environmental_Cooperation,Customary_Rights_Respect,Paramount_Democracy,Customary_Law_Framework,Paramount_Electoral_Systems,Paramount_Judicial_Authority,Oral_Information_Freedom,Customary_Civil_Liberties,Regional_Participation,Paramount_Accountability,Oral_Transparency,Customary_Integrity,Regional_Service_Delivery,Infrastructure,Regional_Welfare_Systems,Traditional_Healthcare,Oral_Praise_Education,Development,Environmental_Stewardship,Settlement_Planning,Development,Practices,None,None,None,Cultural_Preservation,Heritage_Maintenance,Language_Preservation,Arts_Support,Traditional_Games,Astronomical_Knowledge,Innovation,None,None,Military_Capabilities,None,Territorial_Defense,None,None,Regional_Citizenship,Oral_Identity,Regional_Registration,Oral_Census,Oral_Statistics
1500,Xhosa_Multiple_Kingdoms,Eastern_Cape,250000,Multiple_Paramount_Chiefs_with_Regional_Authority,Multiple_Paramount_Decision_Making,Complex_Regional_Distribution,Multiple_Kingdom_Organization,Sophisticated_Age_Regiment_Military,Customary_Ancestral_Law,Mixed_Economy_Control,Complex_Hierarchical_Authority,Complex_Inter_Kingdom_Relations,Nine_Frontier_Wars_and_Succession_Disputes,Complex_Patrilineal_Succession,Multiple_Kingdom_Institutions,Multiple_Territory_Control,Complex_Resource_Management,Multiple_Kingdom_Mediation,Complex_Alliance_Systems,Complex_Diplomatic_Negotiations,Complex_Tribute_Systems,Complex_Communal_Works,Oral_Praise_Education,Ancestral_Religious_Integration,Complex_Cultural_Policies,IsiXhosa_Language_Policies,Complex_Settlement_Policies,Complex_Trade_Regulations,Complex_Labor_Organization,Women_Complex_Roles,Complex_Age_Grade_Systems,Complex_Clan_Integration,Complex_Ethnic_Relations,Complex_Regional_Autonomy,Multiple_Central_Authority,Complex_Administrative_Development,Oral_Praise_Records,Complex_Communication_Networks,Walking_Transportation,Complex_Information_Systems,Complex_Praise_Systems,None,None,None,None,None,None,None,Complex_Religious_Organizations,None,None,Multiple_Councils,None,Complex_Inter_Kingdom_Relations,Complex_Regional_Cooperation,Complex_Positioning,Complex_Trade_Partnerships,Complex_Defense_Agreements,Complex_Cultural_Exchanges,Complex_Knowledge_Sharing,Complex_Technology_Sharing,Complex_Environmental_Cooperation,Complex_Rights_Respect,Complex_Democracy,Complex_Law_Framework,Complex_Electoral_Systems,Complex_Judicial_Authority,Complex_Information_Freedom,Complex_Civil_Liberties,Complex_Participation,Complex_Accountability,Complex_Transparency,Complex_Integrity,Complex_Service_Delivery,Complex_Infrastructure,Complex_Welfare_Systems,Complex_Healthcare,Complex_Education,Complex_Development,Complex_Environmental_Stewardship,Complex_Settlement_Planning,Complex_Development,Complex_Practices,None,None,None,Complex_Cultural_Preservation,Complex_Heritage_Maintenance,Complex_Language_Preservation,Complex_Arts_Support,Complex_Games,Complex_Knowledge,Complex_Innovation,None,None,Complex_Military_Capabilities,None,Complex_Defense,None,None,Complex_Citizenship,Complex_Identity,Complex_Registration,Complex_Census,Complex_Statistics
1650,Dutch_Colonial_Administration,Western_Cape,150000,Dutch_Colonial_Governor_and_Officials,Colonial_Administrative_Decision_Making,Colonial_Hierarchical_Distribution,Colonial_Administrative_Organization,Dutch_Colonial_Military,Dutch_Colonial_Law,Colonial_Economy_Control,Colonial_Racial_Hierarchy,Dutch_Colonial_Relations,Colonial_Resistance_and_Conflicts,Colonial_Appointment_Succession,Colonial_Institutions,Colonial_Territory_Control,Colonial_Resource_Management,Colonial_Administrative_Resolution,Colonial_Alliance_Systems,Colonial_Diplomatic_Practices,Colonial_Taxation_Systems,Colonial_Public_Works,Colonial_Educational_Systems,Dutch_Reformed_Integration,Colonial_Cultural_Policies,Dutch_Language_Policies,Colonial_Settlement_Policies,Colonial_Trade_Regulations,Colonial_Labor_Organization,Colonial_Gender_Roles,Colonial_Age_Systems,Colonial_Ethnic_Integration,Colonial_Racial_Relations,Limited_Regional_Autonomy,Colonial_Central_Authority,Colonial_Bureaucratic_Development,Written_Colonial_Records,Colonial_Communication_Networks,Colonial_Transportation,Colonial_Information_Control,Colonial_Propaganda_Systems,Khoikhoi_Resistance,None,None,None,None,None,None,Dutch_Reformed_Organizations,None,None,Colonial_Councils,Colonial_Institutions,Dutch_Colonial_Relations,Colonial_Regional_Integration,Colonial_Positioning,Colonial_Economic_Partnerships,Colonial_Security_Alliances,Colonial_Cultural_Exchanges,Colonial_Educational_Cooperation,Colonial_Technological_Transfer,Colonial_Environmental_Control,Colonial_Rights_Control,Colonial_Development,Colonial_Framework,Colonial_Systems,Colonial_Independence,Colonial_Control,Colonial_Liberties,Colonial_Participation,Colonial_Accountability,Colonial_Transparency,Colonial_Integrity,Colonial_Service_Delivery,Colonial_Infrastructure_Development,Colonial_Welfare_Systems,Colonial_Healthcare_Systems,Colonial_Educational_Development,Colonial_Development_Policies,Colonial_Environmental_Policies,Colonial_Urban_Planning,Colonial_Rural_Development,Colonial_Agricultural_Policies,Colonial_Industrial_Policies,Colonial_Mining_Policies,Colonial_Tourism_Development,Colonial_Cultural_Control,Colonial_Heritage_Control,Colonial_Language_Development,Colonial_Arts_Control,Colonial_Sports_Development,Colonial_Research,Colonial_Innovation,None,None,Colonial_Defense_Capabilities,Colonial_Intelligence_Services,Colonial_Border_Security,Colonial_Immigration_Policies,Colonial_Refugee_Policies,Colonial_Citizenship_Laws,Colonial_Identity_Documentation,Colonial_Population_Registration,Colonial_Census_Systems,Colonial_Statistical_Services
1795,British_Colonial_Administration,Western_Eastern_Cape,500000,British_Colonial_Governor_and_Officials,British_Administrative_Decision_Making,British_Hierarchical_Distribution,British_Administrative_Organization,British_Colonial_Military,British_Colonial_Law,British_Colonial_Economy_Control,British_Colonial_Racial_Hierarchy,British_Colonial_Relations,Colonial_Resistance_and_Frontier_Wars,British_Appointment_Succession,British_Colonial_Institutions,British_Colonial_Territory_Control,British_Colonial_Resource_Management,British_Administrative_Resolution,British_Colonial_Alliance_Systems,British_Colonial_Diplomatic_Practices,British_Colonial_Taxation_Systems,British_Colonial_Public_Works,British_Colonial_Educational_Systems,British_Protestant_Integration,British_Colonial_Cultural_Policies,English_Language_Policies,British_Colonial_Settlement_Policies,British_Colonial_Trade_Regulations,British_Colonial_Labor_Organization,British_Colonial_Gender_Roles,British_Colonial_Age_Systems,British_Colonial_Ethnic_Integration,British_Colonial_Racial_Relations,Limited_Regional_Autonomy,British_Colonial_Central_Authority,British_Colonial_Bureaucratic_Development,Written_British_Colonial_Records,British_Colonial_Communication_Networks,British_Colonial_Transportation,British_Colonial_Information_Control,British_Colonial_Propaganda_Systems,Xhosa_Resistance,None,None,None,None,None,None,British_Protestant_Organizations,None,None,British_Colonial_Councils,British_Colonial_Institutions,British_Colonial_Relations,British_Colonial_Regional_Integration,British_Colonial_Positioning,British_Colonial_Economic_Partnerships,British_Colonial_Security_Alliances,British_Colonial_Cultural_Exchanges,British_Colonial_Educational_Cooperation,British_Colonial_Technological_Transfer,British_Colonial_Environmental_Control,British_Colonial_Rights_Control,British_Colonial_Development,British_Colonial_Framework,British_Colonial_Systems,British_Colonial_Independence,British_Colonial_Control,British_Colonial_Liberties,British_Colonial_Participation,British_Colonial_Accountability,British_Colonial_Transparency,British_Colonial_Integrity,British_Colonial_Service_Delivery,British_Colonial_Infrastructure_Development,British_Colonial_Welfare_Systems,British_Colonial_Healthcare_Systems,British_Colonial_Educational_Development,British_Colonial_Development_Policies,British_Colonial_Environmental_Policies,British_Colonial_Urban_Planning,British_Colonial_Rural_Development,British_Colonial_Agricultural_Policies,British_Colonial_Industrial_Policies,British_Colonial_Mining_Policies,British_Colonial_Tourism_Development,British_Colonial_Cultural_Control,British_Colonial_Heritage_Control,British_Colonial_Language_Development,British_Colonial_Arts_Control,British_Colonial_Sports_Development,British_Colonial_Research,British_Colonial_Innovation,None,None,British_Colonial_Defense_Capabilities,British_Colonial_Intelligence_Services,British_Colonial_Border_Security,British_Colonial_Immigration_Policies,British_Colonial_Refugee_Policies,British_Colonial_Citizenship_Laws,British_Colonial_Identity_Documentation,British_Colonial_Population_Registration,British_Colonial_Census_Systems,British_Colonial_Statistical_Services
1816,Zulu_Military_Kingdom,KwaZulu_Natal,500000,Absolute_King_with_Military_Commanders,Royal_Military_Decision_Making,Centralized_Military_Distribution,Military_State_Organization,Revolutionary_Standing_Army,Royal_Military_Law,Military_Economy_Control,Military_Hierarchy_with_Royal_Authority,Military_Expansion_Relations,Internal_Succession_Wars_and_Military_Campaigns,Royal_Military_Succession,Military_State_Institutions,Military_Territory_Control,Military_Resource_Management,Royal_Military_Resolution,Military_Alliance_Systems,Military_Diplomatic_Practices,Military_Tribute_Systems,Military_Public_Works,Military_Educational_Systems,Military_Religious_Integration,Military_Cultural_Policies,IsiZulu_Language_Policies,Military_Settlement_Policies,Military_Trade_Regulations,Military_Labor_Organization,Military_Gender_Roles,Military_Age_Systems,Military_Clan_Integration,Military_Ethnic_Relations,Limited_Regional_Autonomy,Royal_Military_Central_Authority,Military_Bureaucratic_Development,Oral_Military_Records,Military_Communication_Networks,Military_Transportation,Military_Information_Control,Military_Propaganda_Systems,Traditional_Resistance,None,None,None,None,None,None,Military_Religious_Organizations,None,None,Royal_Military_Councils,Military_Institutions,Military_Relations,Military_Regional_Integration,Military_Positioning,Military_Economic_Partnerships,Military_Security_Alliances,Military_Cultural_Exchanges,Military_Educational_Cooperation,Military_Technological_Transfer,Military_Environmental_Control,Military_Rights_Control,Military_Development,Military_Framework,Military_Systems,Military_Independence,Military_Control,Military_Liberties,Military_Participation,Military_Accountability,Military_Transparency,Military_Integrity,Military_Service_Delivery,Military_Infrastructure_Development,Military_Welfare_Systems,Military_Healthcare_Systems,Military_Educational_Development,Military_Development_Policies,Military_Environmental_Policies,Military_Urban_Planning,Military_Rural_Development,Military_Agricultural_Policies,Military_Industrial_Policies,Military_Mining_Policies,Military_Tourism_Development,Military_Cultural_Control,Military_Heritage_Control,Military_Language_Development,Military_Arts_Control,Military_Sports_Development,Military_Research,Military_Innovation,None,None,Revolutionary_Military_Capabilities,Military_Intelligence_Services,Military_Border_Security,Military_Immigration_Policies,Military_Refugee_Policies,Military_Citizenship_Laws,Military_Identity_Documentation,Military_Population_Registration,Military_Census_Systems,Military_Statistical_Services
