Civilization_Name,Start_Year,End_Year,Peak_Year,Geographic_Region,Population_Peak,Political_System,Economic_Base,Religious_System,Cultural_Achievements,Decline_Factors,Successor_Civilization,Primary_Sources,Archaeological_Evidence,Linguistic_Evidence,Genetic_Evidence,Trade_Networks,Military_Organization,Social_Structure,Technological_Innovations,Environmental_Adaptations,External_Influences,Internal_Conflicts,Leadership_Structure,Settlement_Patterns,Agricultural_Practices,Pastoral_Practices,Craft_Specializations,Artistic_Traditions,Oral_Traditions,Written_Records,Colonial_Impact,Modern_Descendants
San Hunter_Gatherer_Societies,-25000,1900,-5000,Southern_Africa_Kalahari_and_Drakensberg,80000,Egalitarian_bands,Hunter_gatherer_subsistence,Animistic_shamanism,Rock_art_and_oral_traditions,Colonial_displacement_and_land_loss,Bantu_pastoralists_and_farmers,Archaeological_sites_and_rock_art,Extensive_rock_art_sites_throughout_region,Click_languages_Tuu_and_Kx_a,Ancient_genetic_lineages,Regional_exchange_networks,Hunting_bands_with_flexible_leadership,Age_and_gender_based_divisions,Sophisticated_tracking_and_hunting_tools,Mountain_and_desert_survival_techniques,Minimal_until_Bantu_expansion,Resource_competition_between_bands,Elder_councils_and_shamans,Seasonal_camps_and_rock_shelters,Gathering_of_wild_plants_and_tubers,None_purely_hunter_gatherer,Tool_making_and_hide_preparation,Rock_paintings_and_engravings,Extensive_oral_history_and_mythology,None_oral_culture,Severe_displacement_and_marginalization,Modern_San_communities_in_Botswana_and_Northern_Cape
Khoikhoi_Pastoralist_Chiefdoms,300,1700,1000,Western_and_Southern_Cape,150000,Chieftaincy_with_clan_structure,Pastoral_economy_with_cattle_and_sheep,Traditional_Khoekhoe_beliefs,Oral_poetry_and_praise_songs,Dutch_colonial_conquest_and_disease,Dutch_Cape_Colony,Oral_traditions_and_early_colonial_records,Settlement_sites_and_burial_grounds,Khoekhoe_language_family,Khoisan_genetic_markers,Extensive_trade_with_interior_and_coast,Warrior_societies_and_raiding_parties,Clan_based_hierarchy_with_chiefs,Iron_working_and_leather_crafts,Coastal_and_inland_transhumance,Dutch_colonialism_and_disease_epidemics,Inter_clan_warfare_and_succession_disputes,Hereditary_chiefs_with_council_of_elders,Seasonal_settlements_following_grazing,Limited_cultivation_of_sorghum,Cattle_and_small_stock_herding,Metalworking_and_pottery,Geometric_pottery_designs,Rich_oral_literature_and_genealogies,None_oral_tradition,Complete_political_subjugation_and_cultural_destruction,Coloured_communities_and_some_Nama_groups
Nguni_Early_Chiefdoms,1000,1400,1200,Eastern_South_Africa,200000,Chieftaincy_with_age_regiments,Mixed_farming_and_pastoralism,Ancestral_worship_and_divination,Iron_working_and_cattle_culture,Population_pressure_and_environmental_stress,Nguni_kingdoms,Oral_traditions_and_archaeological_evidence,Settlement_sites_and_iron_working_remains,Proto_Nguni_languages,Bantu_genetic_markers,Trade_networks_to_coast_and_interior,Age_grade_military_system,Patrilineal_clan_system,Advanced_iron_working_and_agriculture,Highland_and_coastal_adaptation,Limited_external_contact,Succession_disputes_and_territorial_conflicts,Hereditary_chiefs_with_age_grade_councils,Permanent_settlements_with_cattle_enclosures,Sorghum_and_millet_cultivation,Integrated_cattle_and_agriculture,Iron_working_and_pottery,Praise_poetry_and_dance,Clan_genealogies_and_praise_traditions,None_oral_tradition,Transformation_into_larger_kingdoms,Modern_Nguni_speaking_peoples
Sotho_Tswana_Chiefdoms,1200,1600,1400,Interior_Highveld_and_Western_Regions,300000,Chieftaincy_with_ward_system,Agricultural_economy_with_cattle,Ancestral_worship_and_rainmaking,Terraced_agriculture_and_stone_architecture,Drought_and_population_pressure,Sotho_Tswana_kingdoms,Oral_traditions_and_stone_ruins,Stone_walled_settlements_and_terraces,Sotho_Tswana_language_group,Bantu_genetic_markers,Extensive_trade_networks,Age_grade_and_ward_military_organization,Ward_based_social_organization,Stone_architecture_and_terraced_agriculture,Highland_and_semi_arid_adaptation,Limited_external_contact,Inter_chiefdom_warfare_and_succession_disputes,Hereditary_chiefs_with_ward_headmen,Stone_walled_settlements_and_agricultural_terraces,Advanced_terraced_agriculture,Cattle_and_small_stock_management,Stone_working_and_iron_smelting,Geometric_pottery_and_praise_poetry,Rich_oral_traditions_and_genealogies,None_oral_tradition,Evolution_into_larger_kingdoms,Modern_Sotho_Tswana_speaking_peoples
Thembu_Kingdom,1400,1894,1700,Eastern_Cape_Transkei,80000,Paramount_chieftaincy,Mixed_farming_and_pastoralism,Ancestral_worship_and_divination,Praise_poetry_and_oral_traditions,British_colonial_conquest,British_Cape_Colony,Oral_traditions_and_colonial_records,Settlement_sites_and_burial_grounds,IsiXhosa_language,Bantu_genetic_markers,Trade_with_coast_and_interior,Age_grade_military_system,Patrilineal_clan_system_with_paramount_chief,Iron_working_and_agricultural_tools,Coastal_highland_adaptation,Xhosa_expansion_and_British_colonialism,Succession_disputes_and_territorial_conflicts,Paramount_chief_with_regional_chiefs,Permanent_settlements_with_cattle_kraals,Maize_sorghum_and_millet_cultivation,Cattle_and_goat_herding,Iron_working_and_beadwork,Praise_poetry_and_traditional_dance,Clan_genealogies_and_historical_narratives,None_oral_tradition,British_colonial_administration,Modern_Thembu_communities_in_Eastern_Cape
Pondo_Kingdom,1400,1894,1750,Eastern_Cape_Coast,100000,Paramount_chieftaincy,Mixed_farming_and_trade,Ancestral_worship_and_divination,Praise_poetry_and_coastal_trade,British_colonial_conquest,British_Cape_Colony,Oral_traditions_and_colonial_records,Settlement_sites_and_trading_posts,IsiXhosa_language,Bantu_genetic_markers,Extensive_coastal_and_interior_trade,Age_grade_military_system,Patrilineal_clan_system_with_paramount_chief,Iron_working_and_coastal_adaptation,Coastal_adaptation_and_trade_specialization,Portuguese_and_British_contact,Succession_disputes_and_trade_conflicts,Paramount_chief_with_coastal_and_inland_chiefs,Coastal_settlements_and_inland_agricultural_areas,Maize_cultivation_and_coastal_resources,Cattle_herding_and_coastal_fishing,Iron_working_and_shell_crafts,Praise_poetry_and_coastal_traditions,Rich_oral_traditions_and_trade_stories,None_oral_tradition,British_colonial_administration,Modern_Pondo_communities_in_Eastern_Cape
Xhosa_Kingdoms,1500,1894,1750,Eastern_Cape,250000,Paramount_chieftaincy_with_multiple_kingdoms,Mixed_farming_and_pastoralism,Ancestral_worship_and_divination,Praise_poetry_and_military_traditions,British_colonial_conquest_and_frontier_wars,British_Cape_Colony,Oral_traditions_and_extensive_colonial_records,Settlement_sites_and_battlefield_remains,IsiXhosa_language,Bantu_genetic_markers,Trade_networks_to_coast_and_interior,Sophisticated_age_grade_military_system,Complex_patrilineal_clan_system,Advanced_iron_working_and_military_technology,Highland_and_coastal_adaptation,Extensive_contact_with_Dutch_and_British_colonists,Nine_frontier_wars_and_succession_disputes,Multiple_paramount_chiefs_with_regional_authority,Permanent_settlements_with_defensive_positions,Advanced_maize_and_sorghum_cultivation,Sophisticated_cattle_management,Iron_working_and_military_crafts,Rich_praise_poetry_and_military_traditions,Extensive_oral_histories_and_genealogies,Some_missionary_records_from_1820s,Nine_frontier_wars_and_gradual_conquest,Modern_Xhosa_communities_in_Eastern_Cape
Zulu_Kingdom,1816,1879,1840,KwaZulu_Natal,500000,Absolute_monarchy_with_military_state,Military_based_economy_with_cattle,Ancestral_worship_and_royal_divination,Military_innovations_and_praise_poetry,British_colonial_conquest_at_Isandlwana_and_Rorkes_Drift,British_Natal_Colony,Oral_traditions_and_extensive_colonial_records,Settlement_sites_and_battlefield_remains,IsiZulu_language,Bantu_genetic_markers,Extensive_trade_and_tribute_networks,Revolutionary_military_system_with_standing_army,Centralized_military_hierarchy,Revolutionary_military_innovations_assegai_and_tactics,Savanna_and_coastal_adaptation,Extensive_contact_with_British_and_Boer_settlers,Internal_succession_wars_and_British_invasion,Absolute_king_with_military_commanders,Military_kraals_and_royal_residences,Tribute_based_agriculture,Cattle_based_wealth_and_tribute_system,Military_weapon_making_and_crafts,Rich_praise_poetry_and_military_traditions,Extensive_royal_genealogies_and_military_histories,Missionary_and_colonial_records_from_1820s,Anglo_Zulu_War_and_colonial_conquest,Modern_Zulu_communities_in_KwaZulu_Natal
Ndebele_Kingdom_South,1821,1868,1840,Transvaal_Highveld,60000,Military_monarchy,Military_raiding_and_tribute,Ancestral_worship_and_royal_divination,Military_traditions_and_praise_poetry,Boer_trekker_conflicts_and_migration_north,Boer_republics_and_migration_to_Zimbabwe,Oral_traditions_and_Boer_records,Settlement_sites_and_conflict_locations,IsiNdebele_language,Bantu_genetic_markers,Trade_and_raiding_networks,Zulu_style_military_system,Military_hierarchy_with_royal_authority,Zulu_military_innovations,Highveld_adaptation,Boer_trekker_expansion_and_conflicts,Internal_succession_disputes_and_external_pressure,King_with_military_commanders,Military_settlements_and_royal_kraals,Tribute_agriculture,Cattle_raiding_and_tribute,Military_crafts_and_weapons,Praise_poetry_and_military_traditions,Royal_genealogies_and_military_histories,Some_missionary_records,Boer_conflicts_and_migration_north,Modern_Ndebele_communities_in_South_Africa_and_Zimbabwe
Swazi_Kingdom,1750,2025,1850,Swaziland_and_Eastern_Transvaal,80000,Dual_monarchy_with_king_and_queen_mother,Mixed_farming_and_tribute,Ancestral_worship_and_royal_ceremonies,Royal_ceremonies_and_praise_traditions,British_and_Boer_pressure_maintained_independence,Continuing_monarchy,Oral_traditions_and_colonial_records,Settlement_sites_and_royal_residences,SiSwati_language,Bantu_genetic_markers,Regional_trade_networks,Age_grade_military_system,Dual_royal_hierarchy_with_clan_system,Traditional_crafts_and_agriculture,Mountain_and_lowveld_adaptation,British_and_Boer_colonial_pressure,Succession_disputes_and_external_pressure,Dual_monarchy_king_and_queen_mother,Royal_residences_and_clan_settlements,Traditional_agriculture_and_tribute,Cattle_and_tribute_system,Traditional_crafts_and_beadwork,Rich_royal_ceremonies_and_praise_traditions,Royal_genealogies_and_ceremonial_traditions,Some_colonial_records,Limited_colonial_impact_maintained_independence,Modern_Kingdom_of_Eswatini
