year,event,region,subregion,event_type,cycle_period,phase,reset_window,rgb_r,rgb_g,rgb_b,cmyk_c,cmyk_m,cmyk_y,cmyk_k,religious_influence,political_impact,economic_impact,cultural_impact,source_reference
-753,Founding of Rome,Europe,Italy,Political,500,0.234,false,180,75,200,0.1,0.625,0.0,0.216,0.2,0.9,0.3,0.8,Livy - Ab Urbe Condita
-509,Roman Republic Established,Europe,Italy,Political,500,0.722,false,50,200,100,0.75,0.0,0.5,0.216,0.1,0.95,0.4,0.7,Polybius - Histories
-44,Assassination of Julius Caesar,Europe,Italy,Political,500,0.162,true,220,50,80,0.0,0.773,0.636,0.137,0.3,0.98,0.6,0.9,Plutarch - Lives
476,Fall of Western Roman Empire,Europe,Italy,Political,500,0.202,true,200,60,90,0.0,0.7,0.55,0.216,0.4,0.99,0.8,0.95,Procopius - Wars
800,Coronation of Charlemagne,Europe,France,Political,500,0.850,true,80,180,120,0.556,0.0,0.333,0.294,0.6,0.9,0.5,0.8,Einhard - Vita Karoli Magni
1066,Norman Conquest of England,Europe,England,Political,160,0.169,true,190,70,110,0.0,0.632,0.421,0.255,0.5,0.95,0.7,0.85,Anglo-Saxon Chronicle
1215,Magna Carta Signed,Europe,England,Political,160,0.100,true,210,80,60,0.0,0.619,0.714,0.176,0.3,0.8,0.4,0.7,Matthew Paris - Chronica Majora
1347,Black Death Begins,Europe,Multiple,Catastrophic,250,0.172,true,150,40,30,0.4,0.733,0.8,0.412,0.7,0.6,0.9,0.95,Giovanni Boccaccio - Decameron
1453,Fall of Constantinople,Europe,Byzantine,Political,500,0.906,true,120,200,180,0.4,0.0,0.1,0.216,0.8,0.99,0.8,0.9,Laonikos Chalkokondyles - Histories
1492,Columbus Discovers Americas,Europe,Spain,Economic,250,0.976,true,200,150,50,0.0,0.25,0.75,0.216,0.6,0.7,0.95,0.8,Christopher Columbus - Journal
1517,Protestant Reformation Begins,Europe,Germany,Religious,500,0.034,true,180,120,200,0.1,0.4,0.0,0.294,0.95,0.8,0.6,0.99,Martin Luther - 95 Theses
1572,St. Bartholomew's Day Massacre,Europe,France,Religious,50,0.440,false,160,50,70,0.375,0.688,0.563,0.373,0.9,0.85,0.4,0.8,Pierre de l'Estoile - Journal
1588,Spanish Armada Defeated,Europe,England,Political,160,0.200,true,190,180,100,0.0,0.053,0.474,0.255,0.4,0.9,0.8,0.7,William Camden - Annales
1618,Thirty Years War Begins,Europe,Germany,Political,160,0.388,false,140,90,160,0.125,0.438,0.0,0.373,0.8,0.95,0.7,0.85,Friedrich Schiller - History of the Thirty Years War
1648,Peace of Westphalia,Europe,Germany,Political,160,0.575,false,170,140,120,0.0,0.176,0.294,0.333,0.6,0.8,0.6,0.75,Samuel Pufendorf - De Rebus Gestis
1688,Glorious Revolution,Europe,England,Political,160,0.825,true,200,170,90,0.0,0.15,0.55,0.216,0.3,0.85,0.5,0.8,Gilbert Burnet - History of His Own Time
1789,French Revolution Begins,Europe,France,Political,160,0.456,false,220,100,80,0.0,0.545,0.636,0.137,0.4,0.99,0.8,0.95,Edmund Burke - Reflections on the Revolution
1804,Napoleon Crowned Emperor,Europe,France,Political,160,0.550,false,180,120,140,0.0,0.333,0.222,0.294,0.2,0.95,0.7,0.8,Las Cases - Memorial de Sainte-Helene
1815,Battle of Waterloo,Europe,Belgium,Political,160,0.619,false,160,140,100,0.0,0.125,0.375,0.373,0.1,0.9,0.8,0.7,Duke of Wellington - Dispatches
1848,Revolutions of 1848,Europe,Multiple,Political,50,0.960,true,200,80,120,0.0,0.6,0.4,0.216,0.3,0.85,0.6,0.9,Alexis de Tocqueville - Recollections
1871,German Unification,Europe,Germany,Political,160,0.081,true,190,160,110,0.0,0.158,0.421,0.255,0.2,0.9,0.8,0.85,Otto von Bismarck - Memoirs
1914,World War I Begins,Europe,Multiple,Political,50,0.280,false,150,60,80,0.25,0.6,0.467,0.412,0.1,0.99,0.95,0.9,Barbara Tuchman - The Guns of August
1917,Russian Revolution,Europe,Russia,Political,160,0.269,false,180,90,60,0.0,0.5,0.667,0.294,0.3,0.99,0.9,0.95,Leon Trotsky - History of the Russian Revolution
1929,Great Depression Begins,Europe,Multiple,Economic,250,0.148,true,120,80,100,0.4,0.6,0.2,0.529,0.1,0.7,0.99,0.8,John Maynard Keynes - General Theory
1939,World War II Begins,Europe,Multiple,Political,50,0.780,true,140,70,90,0.375,0.75,0.563,0.451,0.2,0.99,0.95,0.9,Winston Churchill - The Second World War
1945,End of World War II,Europe,Multiple,Political,50,0.900,true,170,150,130,0.0,0.118,0.235,0.333,0.3,0.95,0.9,0.85,Dwight Eisenhower - Crusade in Europe
1957,Treaty of Rome (EU),Europe,Multiple,Political,160,0.700,false,190,170,140,0.0,0.105,0.263,0.255,0.1,0.8,0.85,0.9,Jean Monnet - Memoirs
1989,Fall of Berlin Wall,Europe,Germany,Political,50,0.780,true,200,180,160,0.0,0.1,0.2,0.216,0.2,0.9,0.8,0.95,Timothy Garton Ash - The Magic Lantern
1991,Soviet Union Collapses,Europe,Russia,Political,160,0.456,false,180,140,120,0.0,0.222,0.333,0.294,0.3,0.95,0.85,0.9,Mikhail Gorbachev - Memoirs
2008,Financial Crisis,Europe,Multiple,Economic,250,0.316,false,160,100,80,0.0,0.375,0.5,0.373,0.1,0.6,0.95,0.7,Ben Bernanke - The Courage to Act
2016,Brexit Referendum,Europe,England,Political,50,0.320,false,170,130,110,0.0,0.235,0.353,0.333,0.2,0.8,0.7,0.8,David Cameron - For the Record
2020,COVID-19 Pandemic,Europe,Multiple,Catastrophic,250,0.380,false,140,90,70,0.125,0.563,0.75,0.451,0.4,0.8,0.9,0.85,WHO - COVID-19 Situation Reports
