Date_BCE_CE,Civilization,Economic_System_Type,Primary_Production,Trade_Networks,Currency_System,Financial_Institutions,Labor_Organization,Resource_Exploitation,Market_Structure,Economic_Policy,Wealth_Distribution,Cycle_Phase,Cycle_Alignment,Economic_Engineering_Evidence
-3100,Ancient_Egypt_Old_Kingdom,Subsistence_Agriculture,Grain_Production,Nile_Valley_Trade,Barter_System,Temple_Granaries,Corvee_Labor,Nile_Irrigation,Local_Markets,Divine_Economy,Pharaonic_Concentration,Birth_Phase,20_50_160_250_500,Coordinated_agricultural_political_emergence
-2686,Ancient_Egypt_Old_Kingdom,Pyramid_Economy,Monument_Construction,Regional_Trade,Commodity_Exchange,State_Workshops,Specialized_Labor,Stone_Quarrying,State_Monopoly,Royal_Projects,Elite_Concentration,Growth_Phase,20_50_160_250_500,Systematic_monumental_economic_organization
-2500,Ancient_Egypt_Old_Kingdom,Trade_Network_Economy,Luxury_Goods,Mediterranean_Trade,Precious_Metal_Exchange,Trading_Houses,Merchant_Class,Gold_Mining,International_Markets,Trade_Regulation,Merchant_Elite_Emergence,Peak_Phase,20_50_160_250_500,International_trade_systematic_development
-2181,Ancient_Egypt_Old_Kingdom,Fragmented_Economy,Regional_Production,Local_Trade,Barter_Reversion,Local_Granaries,Local_Labor,Resource_Depletion,Regional_Markets,Local_Autonomy,Regional_Fragmentation,Decay_Phase,20_50_160_250_500,Systematic_economic_political_fragmentation
-2055,Ancient_Egypt_Middle_Kingdom,Reunified_Economy,Agricultural_Recovery,Restored_Trade,Standardized_Exchange,Central_Treasury,Organized_Labor,Resource_Restoration,Unified_Markets,Central_Planning,Royal_Redistribution,Renewal_Phase,20_50_160_250_500,Economic_political_reunification_coordination
-1550,Ancient_Egypt_New_Kingdom,Imperial_Economy,Tribute_System,Empire_Trade,Imperial_Currency,Imperial_Treasury,Imperial_Labor,Imperial_Resources,Empire_Markets,Imperial_Policy,Imperial_Wealth,Imperial_Growth,20_50_160_250_500,Imperial_economic_expansion_systematization
-814,Carthaginian_Empire,Maritime_Commerce,Manufacturing,Mediterranean_Trade,Silver_Currency,Banking_Houses,Slave_Labor,Mineral_Extraction,Commercial_Markets,Mercantile_Policy,Merchant_Oligarchy,Commercial_Birth,20_50_160_250_500,Commercial_political_system_coordination
-500,Carthaginian_Empire,Trade_Monopoly,Industrial_Production,Global_Trade,Standardized_Currency,Financial_Networks,Specialized_Labor,Resource_Monopoly,Controlled_Markets,Monopolistic_Policy,Commercial_Elite,Commercial_Peak,20_50_160_250_500,Systematic_commercial_monopoly_control
-264,Carthaginian_Empire,War_Economy,Military_Production,Disrupted_Trade,Debased_Currency,War_Finance,Military_Labor,War_Resources,War_Markets,Military_Policy,Military_Elite,War_Transition,20_50_160_250_500,Economic_military_transition_coordination
-146,Carthaginian_Empire,Economic_Destruction,Production_Collapse,Trade_Elimination,Currency_Destruction,Financial_Collapse,Labor_Displacement,Resource_Seizure,Market_Destruction,Destruction_Policy,Wealth_Transfer,Economic_Death,20_50_160_250_500,Systematic_economic_destruction
