Date_BCE_CE,Civilization_Name,Region,Political_System,Religious_System,Economic_System,Social_Structure,Technological_Level,Population_Estimate,Geographic_Extent,Primary_Language_Family,Cultural_Characteristics,Cycle_Phase,Cycle_Alignment,Engineering_Evidence
-3000,Proto_Bantu_Cameroon,Cameroon_Highlands,Tribal_Chieftains,Ancestor_Worship,Subsistence_Agriculture,Kinship_Clans,Iron_Age_Early,50000,Cameroon_Highlands,Proto_Bantu,Agricultural_Innovation,Birth_Phase,20_50_160_250_500,Proto_bantu_systematization
-2000,Early_Bantu_Expansion,Central_Cameroon,Migrating_Clans,Ancestor_Spirits,Mixed_Agriculture,Clan_Migration,Iron_Age_Developed,75000,Central_Cameroon_Basin,Early_Bantu,Migration_Organization,Growth_Phase,20_50_160_250_500,Migration_coordination
-1500,Bantu_Forest_Adaptation,Congo_Basin,Forest_Chieftains,Forest_Spirits,Forest_Agriculture,Forest_Adaptation,Iron_Age_Forest,100000,Northern_Congo_Basin,Forest_Bantu,Forest_Specialization,Peak_Phase,20_50_160_250_500,Forest_adaptation_systematization
-1000,Bantu_River_Settlements,Congo_River_System,River_Chieftains,River_Spirits,River_Agriculture,River_Communities,Iron_Age_River,150000,Congo_River_Network,River_Bantu,River_Navigation,Expansion_Phase,20_50_160_250_500,River_settlement_coordination
-500,Bantu_Savanna_Expansion,Central_African_Savanna,Savanna_Chieftains,Savanna_Spirits,Savanna_Agriculture,Savanna_Clans,Iron_Age_Savanna,200000,Central_African_Savanna,Savanna_Bantu,Savanna_Adaptation,Consolidation_Phase,20_50_160_250_500,Savanna_expansion_systematization
100,Sao_Civilization,Lake_Chad_Basin,City_States,Sao_Religion,Trade_Agriculture,Urban_Hierarchy,Bronze_Iron_Age,300000,Lake_Chad_Region,Sao_Language,Urban_Development,Birth_Phase,20_50_160_250_500,Sao_urban_systematization
400,Sao_Peak_Period,Lake_Chad_Basin,Confederated_Cities,Sao_Pantheon,Regional_Trade,Social_Stratification,Advanced_Iron_Age,500000,Lake_Chad_Basin,Sao_Language,Cultural_Sophistication,Peak_Phase,20_50_160_250_500,Sao_peak_coordination
700,Sao_Decline,Lake_Chad_Basin,Fragmented_Cities,Declining_Religion,Reduced_Trade,Social_Fragmentation,Declining_Technology,300000,Reduced_Territory,Sao_Language,Cultural_Decline,Decline_Phase,20_50_160_250_500,Sao_decline_coordination
1000,Kanem_Foundation,Lake_Chad_Region,Divine_Monarchy,Traditional_Kanem,Pastoral_Trade,Royal_Hierarchy,Iron_Age_Pastoral,400000,Lake_Chad_Kanem,Kanuri_Language,Royal_Pastoralism,Birth_Phase,20_50_160_250_500,Kanem_foundation_systematization
1200,Kanem_Islamic_Conversion,Lake_Chad_Kanem,Islamic_Monarchy,Kanem_Islam,Islamic_Trade,Islamic_Hierarchy,Islamic_Technology,600000,Expanded_Kanem,Kanuri_Arabic,Islamic_Integration,Growth_Phase,20_50_160_250_500,Islamic_conversion_coordination
