Cycle_ID,Year,Period,Event_Name,Cycle_Type,Region,Civilization,Impact_Level,Duration_Years,Source_Reliability,Primary_Angle_Events,Earth_Tilt_Events,Total_Critical_Events,Nearest_GC_Distance,Within_GC_Influence,Enhanced_Score,Perfect_Alignment,Jupiter_Position,Saturn_Position,Mars_Position,Venus_Position,Mercury_Position
1,-586,1,Mesopotamia_Political_Religious_586_BCE,Political_Religious,Mesopotamia,Neo_Babylonian,Significant,10,Medium,1,0,1,4.3400000000001455,False,125,False,344.2158516020281,122.03389830508604,168.51063829782652,11.612903225701302,0.0
2,-573,1,Levant_Economic_Trade_573_BCE,Economic_Trade,Levant,Levant_Civilization,Significant,19,High,0,0,2,8.659999999999854,False,50,False,18.819561551426887,280.6779661016917,137.87234042549971,0.0,60.0
3,-560,1,Anatolia_Military_Conquest_560_BCE,Military_Conquest,Anatolia,Anatolia_Civilization,Major,3,High,2,0,3,1.7999999999997272,True,375,True,53.4232715008402,79.32203389830829,107.23404255317291,348.3870967742987,119.99999999953434
4,-548,1,Egypt_Cultural_Religious_548_BCE,Cultural_Religious,Egypt,Late_Period_Egypt,Major,2,Medium,0,0,0,6.059999999999945,False,0,False,57.67284991568886,225.762711864405,245.10638297873084,116.12903225794435,119.99999999953434
5,-535,1,Greece_Dynastic_Change_535_BCE,Dynastic_Change,Greece,Hellenistic_Greece,Major,3,High,0,0,0,6.940000000000055,False,0,False,92.27655986508762,24.406779661017936,214.46808510634582,104.51612903224304,180.0
6,-523,1,Rome_Religious_Reform_523_BCE,Religious_Reform,Rome,Roman_Republic,Significant,5,High,0,0,1,0.9200000000000728,True,125,False,96.52613827992172,170.84745762711827,352.34042553190375,232.25806451612152,180.0
7,-510,1,Persia_Political_Religious_510_BCE,Political_Religious,Persia,Persia_Civilization,Significant,4,Medium,0,0,2,7.7800000000002,False,50,False,131.1298482293496,329.4915254237312,321.70212765951874,220.6451612901874,240.0
8,-497,1,Byzantine_Economic_Trade_497_BCE,Economic_Trade,Byzantine,Byzantine_Civilization,Major,8,Medium,0,0,1,5.2199999999998,False,25,False,165.73355817874835,128.1355932203369,291.06382978719193,209.0322580644861,299.99999999953434
9,-485,1,Islamic_Caliphate_Military_Conquest_485_BCE,Military_Conquest,Islamic_Caliphate,Islamic_Caliphate_Civilization,Significant,4,High,1,1,3,2.6399999999998727,True,350,True,169.98313659358246,274.57627118644086,68.93617021269165,336.77419354836456,299.99999999953434
10,-472,1,Crusader_States_Cultural_Religious_472_BCE,Cultural_Religious,Crusader_States,Crusader_States_Civilization,Significant,16,Medium,0,0,1,9.5,False,25,False,204.58684654299577,73.22033898305017,38.297872340423055,325.16129032266326,0.0
11,-460,1,Mesopotamia_Dynastic_Change_460_BCE,Dynastic_Change,Mesopotamia,Persian_Empire,Moderate,3,High,0,0,0,2.5,True,100,False,208.83642495784443,219.66101694915415,176.17021276592277,92.90322580630891,0.0
12,-447,1,Levant_Religious_Reform_447_BCE,Religious_Reform,Levant,Levant_Civilization,Major,23,Medium,0,0,0,4.360000000000127,False,0,False,243.4401349072432,18.305084745759814,145.53191489359597,81.29032258060761,60.0
13,-435,1,Anatolia_Political_Religious_435_BCE,Political_Religious,Anatolia,Anatolia_Civilization,Significant,23,High,0,0,1,7.639999999999873,False,25,False,247.68971332209185,164.7457627118638,283.4042553190957,209.0322580644861,60.0
14,-422,1,Egypt_Economic_Trade_422_BCE,Economic_Trade,Egypt,Late_Period_Egypt,Significant,14,Medium,0,0,1,0.7799999999997453,True,125,False,282.29342327150516,323.3898305084731,252.7659574468271,197.41935483878478,119.99999999953434
