Date_BCE_CE,Civilization,Political_System_Type,Governance_Structure,Power_Source,Succession_Method,Administrative_System,Military_Organization,Legal_System,Taxation_System,Diplomatic_Relations,Monarchy_Socialism_Stage,Cycle_Alignment,Transition_Mechanism
-3100,Ancient_Egypt_Old_Kingdom,Divine_Monarchy,Pharaonic_Absolutism,Divine_Mandate,Hereditary_Divine,Nome_Administration,Royal_Army,Divine_Law,Tribute_System,Tributary_Relations,Stage_1_Divine_Monarchy,20_50_160_250_500,Religious_Legitimation
-2686,Ancient_Egypt_Old_Kingdom,Centralized_Monarchy,Bureaucratic_State,Administrative_Efficiency,Royal_Appointment,Provincial_Governors,Standing_Army,Royal_Decrees,State_Taxation,Trade_Agreements,Stage_2_Administrative_Monarchy,20_50_160_250_500,Bureaucratic_Systematization
-2181,Ancient_Egypt_Old_Kingdom,Feudal_Fragmentation,Regional_Autonomy,Local_Power_Bases,Local_Succession,Decentralized_Nomes,Local_Militias,Regional_Laws,Local_Tribute,Regional_Alliances,Stage_3_Feudal_Fragmentation,20_50_160_250_500,Administrative_Collapse
-2055,Ancient_Egypt_Middle_Kingdom,Restored_Monarchy,Reunified_State,Military_Conquest,Theban_Victory,Central_Administration,Royal_Military,Unified_Law,Central_Taxation,Imperial_Diplomacy,Stage_4_Restored_Centralization,20_50_160_250_500,Military_Reunification
-1550,Ancient_Egypt_New_Kingdom,Imperial_Monarchy,Empire_Administration,Military_Expansion,Conquest_Legitimacy,Imperial_Bureaucracy,Professional_Army,Imperial_Law,Tribute_Empire,International_Treaties,Stage_5_Imperial_Expansion,20_50_160_250_500,Military_Imperial_Expansion
-1077,Ancient_Egypt_Late_Period,Priestly_Theocracy,Religious_State,Priestly_Authority,Religious_Succession,Temple_Administration,Temple_Guards,Religious_Law,Temple_Taxation,Religious_Diplomacy,Stage_6_Theocratic_Transition,20_50_160_250_500,Religious_Power_Transfer
-332,Ptolemaic_Egypt,Hellenistic_Monarchy,Greek_Administration,Macedonian_Conquest,Dynastic_Succession,Greek_Bureaucracy,Macedonian_Phalanx,Greek_Law,Hellenistic_Taxation,Mediterranean_Diplomacy,Stage_7_Foreign_Monarchy,20_50_160_250_500,Foreign_Conquest_Integration
-30,Roman_Egypt,Imperial_Province,Roman_Administration,Imperial_Appointment,Roman_Succession,Provincial_Government,Roman_Legions,Roman_Law,Imperial_Taxation,Imperial_Diplomacy,Stage_8_Imperial_Province,20_50_160_250_500,Imperial_Integration
313,Christian_Roman_Egypt,Christian_Empire,Religious_Empire,Christian_Legitimacy,Divine_Appointment,Christian_Bureaucracy,Christian_Army,Canon_Law,Church_Taxation,Christian_Diplomacy,Stage_9_Religious_Empire,20_50_160_250_500,Religious_Imperial_Synthesis
429,Vandal_Kingdom,Germanic_Monarchy,Tribal_Kingdom,Conquest_Right,Tribal_Succession,Germanic_Administration,Warrior_Bands,Germanic_Law,Tribute_Extraction,Tribal_Alliances,Stage_10_Tribal_Monarchy,20_50_160_250_500,Tribal_Conquest
534,Byzantine_North_Africa,Imperial_Exarchate,Military_Administration,Imperial_Reconquest,Imperial_Appointment,Military_Government,Imperial_Army,Byzantine_Law,Imperial_Taxation,Imperial_Diplomacy,Stage_11_Military_Administration,20_50_160_250_500,Military_Reconquest
698,Umayyad_North_Africa,Islamic_Caliphate,Religious_Empire,Islamic_Conquest,Caliphal_Appointment,Islamic_Administration,Islamic_Army,Sharia_Law,Islamic_Taxation,Islamic_Diplomacy,Stage_12_Religious_Caliphate,20_50_160_250_500,Religious_Conquest
750,Abbasid_North_Africa,Caliphate_Province,Provincial_Administration,Caliphal_Authority,Abbasid_Appointment,Provincial_Government,Provincial_Army,Islamic_Law,Caliphal_Taxation,Caliphal_Diplomacy,Stage_13_Provincial_Caliphate,20_50_160_250_500,Dynastic_Transition
909,Fatimid_Caliphate,Shia_Caliphate,Sectarian_Empire,Ismaili_Doctrine,Imam_Succession,Shia_Administration,Fatimid_Army,Shia_Law,Caliphal_Taxation,Shia_Diplomacy,Stage_14_Sectarian_Caliphate,20_50_160_250_500,Sectarian_Revolution
