ID,Name,Country,Latitude,Longitude,Region,cyan,magenta,yellow,black,earthResonance,activeLayer,layerFrequency,layerDepth,tectonicZone,tectonicAmplification,isDeepSubduction,pWaveVelocity
1,Citadel of Alessandria,Italy,44.9203,8.6064,Europe,0.6953,0.6077,0.8009,0.5556,0.4806,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
2,Alba Carolina Citadel,Romania,46.075,23.5708,Europe,0.7168,0.6037,0.7991,0.5556,0.4865,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
3,Fort Bourtange,Netherlands,53.0067,7.1922,Europe,0.6953,0.5004,0.7592,0.4073,0.4492,upper_crust,20.8,10,,1.0,False,6.3857
4,Naarden,Netherlands,52.295,5.16,Europe,0.6953,0.5035,0.7612,0.4073,0.4501,upper_crust,20.8,10,,1.0,False,6.3857
5,Palmanova,Italy,45.9056,13.31,Europe,0.7136,0.6037,0.7988,0.5556,0.4854,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
6,Fortress of Luxembourg,Luxembourg,49.6167,6.1333,Europe,0.6953,0.6135,0.7755,0.5556,0.4784,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
7,Suomenlinna,Finland,60.1472,25.0,Europe,0.6953,0.4912,0.7261,0.4073,0.4429,upper_crust,20.8,10,,1.0,False,6.3857
8,Kronborg Castle,Denmark,56.0389,12.6214,Europe,0.6953,0.4924,0.7467,0.4073,0.446,upper_crust,20.8,10,,1.0,False,6.3857
9,Citadel Hill,Canada,44.6475,-63.5806,Americas,0.6953,0.6098,0.8063,0.4073,0.4777,upper_crust,20.8,10,,1.0,False,6.3857
10,Landskrona Citadel,Sweden,55.8833,12.85,Europe,0.6953,0.492,0.7476,0.4073,0.4461,upper_crust,20.8,10,,1.0,False,6.3857
11,Star Fort Matara,Sri Lanka,5.9486,80.5469,Asia,0.6953,0.4912,0.9,0.4073,0.4688,upper_crust,20.8,10,,1.0,False,6.3857
12,Jaffna Fort,Sri Lanka,9.6625,80.0075,Asia,0.6953,0.4912,0.8977,0.4073,0.4684,upper_crust,20.8,10,,1.0,False,6.3857
13,Galle Fort,Sri Lanka,6.03,80.2167,Asia,0.6953,0.4912,0.8989,0.4073,0.4686,upper_crust,20.8,10,,1.0,False,6.3857
14,Batavia Castle,Indonesia,-6.1275,106.8106,Asia,0.7221,0.6262,1.0,0.5597,0.5227,upper_crust,20.8,10,RING_OF_FIRE,1.8,True,6.3857
15,Fort Rotterdam,Indonesia,-5.1333,119.4056,Asia,0.7211,0.6262,1.0,0.6806,0.5264,upper_crust,20.8,10,RING_OF_FIRE,1.8,True,6.3857
16,Manjarabad Fort,India,12.9667,75.75,Asia,0.6953,0.4912,0.8813,0.4073,0.4658,upper_crust,20.8,10,,1.0,False,6.3857
17,Aguada Fort,India,15.4922,73.7725,Asia,0.6953,0.4912,0.8721,0.4073,0.4644,upper_crust,20.8,10,,1.0,False,6.3857
18,Star Fort Jhansi,India,25.4583,78.5792,Asia,0.6953,0.6112,0.8678,0.5973,0.4923,upper_crust,20.8,10,HIMALAYAN,1.6,False,6.3857
19,Chaul Fort,India,18.5333,72.9167,Asia,0.6953,0.4912,0.865,0.4073,0.4633,upper_crust,20.8,10,,1.0,False,6.3857
20,Castle of Good Hope,South Africa,-33.9258,18.4275,Africa,0.6953,0.4912,0.8595,0.4073,0.4624,upper_crust,20.8,10,,1.0,False,6.3857
21,Fort Jesus,Kenya,-4.0625,39.6797,Africa,0.6953,0.5962,0.9326,0.514,0.4965,upper_crust,20.8,10,EAST_AFRICAN_RIFT,1.4,False,6.3857
22,Elmina Castle,Ghana,5.0825,-1.3481,Africa,0.6953,0.4912,0.9262,0.4073,0.473,upper_crust,20.8,10,,1.0,False,6.3857
23,Fort São Sebastião,Mozambique,-15.0333,40.7333,Africa,0.7221,0.5962,0.909,0.514,0.5013,upper_crust,20.8,10,EAST_AFRICAN_RIFT,1.4,False,6.3857
24,Fort São Caetano,Angola,-8.8,13.2333,Africa,0.6953,0.4912,0.961,0.4073,0.4788,upper_crust,20.8,10,,1.0,False,6.3857
25,Fort Patience,Ghana,5.2833,-0.7333,Africa,0.6953,0.4912,0.928,0.4073,0.4733,upper_crust,20.8,10,,1.0,False,6.3857
26,Fort Good Hope,Ghana,5.3833,-0.4833,Africa,0.6953,0.4912,0.9287,0.4073,0.4734,upper_crust,20.8,10,,1.0,False,6.3857
27,Fort São Miguel,Angola,-8.8083,13.2233,Africa,0.6953,0.4912,0.9609,0.4073,0.4788,upper_crust,20.8,10,,1.0,False,6.3857
28,Fort Metal Cross,Ghana,4.8,-1.95,Africa,0.6953,0.4912,0.9245,0.4073,0.4727,upper_crust,20.8,10,,1.0,False,6.3857
29,Fort Monroe,USA,37.0036,-76.3075,Americas,0.6953,0.6233,0.8337,0.4073,0.4845,upper_crust,20.8,10,,1.0,False,6.3857
30,Fort Jay,USA,40.6911,-74.0164,Americas,0.6953,0.6229,0.8191,0.4073,0.4823,upper_crust,20.8,10,,1.0,False,6.3857
31,Fort Wood,USA,40.6892,-74.0445,Americas,0.6953,0.6229,0.8191,0.4073,0.4823,upper_crust,20.8,10,,1.0,False,6.3857
32,Castillo San Felipe del Morro,Puerto Rico,18.4672,-66.1239,Americas,0.7158,0.5925,0.9265,0.285,0.4961,upper_crust,20.8,10,,1.0,False,6.3857
33,Citadel of Quebec,Canada,46.8072,-71.2075,Americas,0.6953,0.6229,0.7916,0.4073,0.4785,upper_crust,20.8,10,,1.0,False,6.3857
34,Fort Independence,USA,42.34,-71.0117,Americas,0.6953,0.6196,0.8139,0.4073,0.4809,upper_crust,20.8,10,,1.0,False,6.3857
35,Fort McHenry,USA,39.2633,-76.5797,Americas,0.6953,0.6255,0.8229,0.4073,0.4834,upper_crust,20.8,10,,1.0,False,6.3857
36,Castillo de San Marcos,USA,29.8978,-81.3114,Americas,0.6953,0.6241,0.8565,0.4073,0.488,upper_crust,20.8,10,,1.0,False,6.3857
37,Fort Prince of Wales,Canada,58.7972,-94.2136,Americas,0.6953,0.801,0.7056,0.6806,0.5184,upper_crust,20.8,10,RING_OF_FIRE,1.8,False,6.3857
38,Fort Denison,Australia,-33.8547,151.2258,Oceania,0.6953,0.6262,0.7748,0.6806,0.4855,upper_crust,20.8,10,RING_OF_FIRE,1.8,False,6.3857
39,Fort Glanville,Australia,-34.8461,138.4847,Oceania,0.6953,0.6262,0.7962,0.6806,0.4884,upper_crust,20.8,10,RING_OF_FIRE,1.8,False,6.3857
40,Fort Jervois,New Zealand,-43.6036,172.7417,Oceania,0.7157,0.6262,0.6885,0.6806,0.4812,upper_crust,20.8,10,RING_OF_FIRE,1.8,False,6.3857
41,Fort de Bregille,France,47.2333,6.0333,Europe,0.6953,0.6128,0.7873,0.5556,0.4798,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
42,Fort de Chaudanne,France,47.24,6.0167,Europe,0.6953,0.6128,0.7872,0.5556,0.4798,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
43,Fort de La Hougue,France,49.5833,-1.2667,Europe,0.6953,0.6255,0.7679,0.5556,0.48,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
44,Citadelle d'Entrevaux,France,44.0,6.8167,Europe,0.6953,0.6103,0.8039,0.5556,0.4816,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
45,Fort de Sainte-Adresse,France,49.5,0.0833,Europe,0.6953,0.6233,0.77,0.5556,0.4798,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
46,Fort de Tourneville,France,49.5,0.1167,Europe,0.6953,0.6233,0.77,0.5556,0.4798,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
47,Fort de la Pree,France,46.2,-1.3667,Europe,0.6953,0.6244,0.7841,0.5556,0.4819,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
48,Fort des Salettes,France,44.8833,6.65,Europe,0.6953,0.6109,0.7994,0.5556,0.4811,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
49,The Fortifications of Toulon,France,43.1167,5.9333,Europe,0.6953,0.6113,0.8074,0.5556,0.4823,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
50,Fort Vallières,France,51.0333,2.3833,Europe,0.6953,0.5076,0.7649,0.4073,0.4514,upper_crust,20.8,10,,1.0,False,6.3857
51,Citadelle Vauban,France,47.35,-3.15,Europe,0.6953,0.6277,0.7762,0.5556,0.4816,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
52,Kastellet,Denmark,55.6911,12.5953,Europe,0.6953,0.4924,0.7485,0.4073,0.4463,upper_crust,20.8,10,,1.0,False,6.3857
53,Fredericia Ramparts,Denmark,55.5667,9.75,Europe,0.6953,0.497,0.7478,0.4073,0.447,upper_crust,20.8,10,,1.0,False,6.3857
54,Nyborg Fortress,Denmark,55.3167,10.7833,Europe,0.6953,0.4952,0.7496,0.4073,0.4469,upper_crust,20.8,10,,1.0,False,6.3857
55,Fredrikstad Fortress,Norway,59.2167,10.95,Europe,0.6953,0.496,0.7295,0.4073,0.4443,upper_crust,20.8,10,,1.0,False,6.3857
56,Fredriksvern,Norway,59.0,10.0333,Europe,0.6953,0.4975,0.7302,0.4073,0.4447,upper_crust,20.8,10,,1.0,False,6.3857
57,Kongsvinger Fortress,Norway,60.2,12.0,Europe,0.6953,0.4946,0.7248,0.4073,0.4434,upper_crust,20.8,10,,1.0,False,6.3857
58,Kristiansten Fortress,Norway,63.4333,10.4167,Europe,0.6953,0.4979,0.7073,0.4073,0.4417,upper_crust,20.8,10,,1.0,False,6.3857
59,Vardøhus Fortress,Norway,70.3667,31.0833,Europe,0.6953,0.4912,0.6706,0.4073,0.4356,upper_crust,20.8,10,,1.0,False,6.3857
60,Daugavgr?va Fortress,Latvia,57.05,24.0333,Europe,0.6953,0.4912,0.7425,0.4073,0.4452,upper_crust,20.8,10,,1.0,False,6.3857
61,Daugavpils Fortress,Latvia,55.8833,26.5,Europe,0.6953,0.4912,0.7478,0.4073,0.4459,upper_crust,20.8,10,,1.0,False,6.3857
62,Riga Old Town,Latvia,56.95,24.1167,Europe,0.6953,0.4912,0.743,0.4073,0.4453,upper_crust,20.8,10,,1.0,False,6.3857
63,Pärnu Vallikäär,Estonia,58.3833,24.5,Europe,0.6953,0.4912,0.7354,0.4073,0.4442,upper_crust,20.8,10,,1.0,False,6.3857
64,Tartu Tähetorn,Estonia,58.3667,26.7167,Europe,0.6953,0.4912,0.7349,0.4073,0.4441,upper_crust,20.8,10,,1.0,False,6.3857
65,Paldiski Muula mäed,Estonia,59.35,24.0667,Europe,0.6953,0.4912,0.7305,0.4073,0.4435,upper_crust,20.8,10,,1.0,False,6.3857
66,Birai Castle,Lithuania,56.2,24.75,Europe,0.6953,0.4912,0.7467,0.4073,0.4458,upper_crust,20.8,10,,1.0,False,6.3857
67,Klaip?da Castle,Lithuania,55.7,21.1333,Europe,0.6953,0.4912,0.7499,0.4073,0.4462,upper_crust,20.8,10,,1.0,False,6.3857
68,Trakai Island Castle,Lithuania,54.65,24.9333,Europe,0.6953,0.4912,0.7547,0.4073,0.4469,upper_crust,20.8,10,,1.0,False,6.3857
69,Kaunas Castle and Fortress,Lithuania,54.9,23.9,Europe,0.6953,0.4912,0.7537,0.4073,0.4468,upper_crust,20.8,10,,1.0,False,6.3857
70,Petersberg Citadel,Germany,50.9833,11.0333,Europe,0.6953,0.4935,0.772,0.4073,0.4498,upper_crust,20.8,10,,1.0,False,6.3857
71,Mainz Citadel,Germany,50.0,8.2667,Europe,0.6953,0.6102,0.7752,0.5556,0.4776,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
72,(City fortifications),Germany,53.55,10.0,Europe,0.6953,0.496,0.7583,0.4073,0.4483,upper_crust,20.8,10,,1.0,False,6.3857
73,Forbidden City,China,39.9167,116.3972,Asia,0.6953,0.6262,0.8602,0.6806,0.4973,upper_crust,20.8,10,RING_OF_FIRE,1.8,False,6.3857
74,Fort Orange,Brazil,-7.75,-34.8333,Americas,0.6953,0.6222,0.9107,0.4723,0.4973,upper_crust,20.8,10,MID_ATLANTIC_RIDGE,1.3,False,6.3857
75,Forte de São João Batista do Brum,Brazil,-8.05,-34.8833,Americas,0.6953,0.6219,0.9105,0.4723,0.4972,upper_crust,20.8,10,MID_ATLANTIC_RIDGE,1.3,False,6.3857
76,Forte do Presépio,Brazil,-1.45,-48.5,Americas,0.6953,0.5492,0.9613,0.4073,0.4892,upper_crust,20.8,10,,1.0,False,6.3857
77,Forte Príncipe da Beira,Brazil,-12.4167,-64.4167,Americas,0.6953,0.5572,0.952,0.4073,0.4892,upper_crust,20.8,10,,1.0,False,6.3857
78,Fortaleza de Nossa Senhora da Assunção,Brazil,-3.7167,-38.5,Americas,0.6953,0.6311,0.9269,0.4723,0.5016,upper_crust,20.8,10,MID_ATLANTIC_RIDGE,1.3,False,6.3857
79,Forte de Nossa Senhora dos Remédios,Brazil,-3.8333,-32.4167,Americas,0.6953,0.6226,0.9068,0.4723,0.4968,upper_crust,20.8,10,MID_ATLANTIC_RIDGE,1.3,False,6.3857
80,Forte de Santo Inácio de Tamandaré,Brazil,-8.75,-35.1,Americas,0.6953,0.6215,0.9101,0.4723,0.497,upper_crust,20.8,10,MID_ATLANTIC_RIDGE,1.3,False,6.3857
81,Forte do Barbalho,Brazil,-12.9667,-38.5167,Americas,0.6953,0.6218,0.9121,0.4723,0.4974,upper_crust,20.8,10,MID_ATLANTIC_RIDGE,1.3,False,6.3857
82,Forte de São Lourenço,Brazil,-12.8833,-38.6833,Americas,0.6953,0.6221,0.9128,0.4723,0.4976,upper_crust,20.8,10,MID_ATLANTIC_RIDGE,1.3,False,6.3857
83,Fortaleza de Santa Cruz da Barra,Brazil,-22.8833,-43.1167,Americas,0.6953,0.5194,0.8923,0.4073,0.4726,upper_crust,20.8,10,,1.0,False,6.3857
84,Fortaleza de Santo Antônio de Ratones,Brazil,-27.5833,-48.5667,Americas,0.6953,0.5207,0.882,0.4073,0.4712,upper_crust,20.8,10,,1.0,False,6.3857
85,Fortaleza de São José da Ponta Grossa,Brazil,-27.5833,-48.5167,Americas,0.6953,0.5206,0.8819,0.4073,0.4712,upper_crust,20.8,10,,1.0,False,6.3857
86,Bihu Loukon,India,24.8167,93.95,Asia,0.7232,0.6262,0.9117,0.5673,0.5097,upper_crust,20.8,10,RING_OF_FIRE,1.8,False,6.3857
87,Fort St. George,India,13.0833,80.2833,Asia,0.6953,0.4912,0.8962,0.4073,0.4682,upper_crust,20.8,10,,1.0,False,6.3857
88,Fort William,India,22.5667,88.35,Asia,0.6953,0.4912,0.9039,0.4073,0.4694,upper_crust,20.8,10,,1.0,False,6.3857
89,St. Angelo Fort,India,11.8667,75.3667,Asia,0.6953,0.4912,0.881,0.4073,0.4658,upper_crust,20.8,10,,1.0,False,6.3857
90,Fortaleza de São João Baptista,Portugal,38.6667,-27.2167,Europe,0.7296,0.6471,0.798,0.3562,0.4947,upper_crust,20.8,10,MID_ATLANTIC_RIDGE,1.3,False,6.3857
91,Forte de Santo António da Barra,Portugal,38.7,-9.4167,Europe,0.7061,0.634,0.8047,0.5556,0.4902,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
92,Forte de Santa Luzia,Portugal,38.8833,-7.1667,Europe,0.7082,0.6305,0.8081,0.5556,0.4906,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
93,Forte de São Bruno,Portugal,38.6667,-9.3167,Europe,0.7061,0.6338,0.805,0.5556,0.4902,upper_crust,20.8,10,MEDITERRANEAN_ALPINE,1.5,False,6.3857
94,Fort São Roque,Portugal,32.65,-16.9167,Europe,0.6953,0.6276,0.8118,0.4723,0.4839,upper_crust,20.8,10,MID_ATLANTIC_RIDGE,1.3,False,6.3857
95,Fort Victoria,Indonesia,-3.7,128.1833,Asia,0.7187,0.6262,1.0,0.5591,0.5217,upper_crust,20.8,10,RING_OF_FIRE,1.8,True,6.3857
