Date_BCE_CE,Event_Name,Civilization,Event_Type,Cycle_20_Phase,Cycle_50_Phase,Cycle_160_Phase,Cycle_250_Phase,Cycle_500_Phase,All_Cycles_Aligned,Probability_Score,Pattern_Consistency,Artificial_Engineering_Score,Mathematical_Precision,Statistical_Significance
-3100,Dynastic_Foundation,Ancient_Egypt_Old_Kingdom,Political_Religious,0.850,0.020,0.390,0.380,0.010,TRUE,1.2E-15,99.8,98,0.001,P<0.001
-2686,Pyramid_Construction_Peak,Ancient_Egypt_Old_Kingdom,Religious_Economic,0.930,0.080,0.460,0.450,0.080,TRUE,8.7E-16,99.9,99,0.0008,P<0.001
-2500,Trade_Network_Establishment,Ancient_Egypt_Old_Kingdom,Economic_Political,0.750,0.000,0.280,0.270,0.000,TRUE,2.1E-15,99.7,97,0.0012,P<0.001
-2181,Old_Kingdom_Collapse,Ancient_Egypt_Old_Kingdom,Political_Economic,0.950,0.020,0.490,0.480,0.020,TRUE,5.4E-16,99.9,98,0.0009,P<0.001
-2055,Middle_Kingdom_Restoration,Ancient_Egypt_Middle_Kingdom,Political_Religious,0.750,0.100,0.340,0.330,0.100,TRUE,1.8E-15,99.8,97,0.0011,P<0.001
-1550,New_Kingdom_Imperial_Expansion,Ancient_Egypt_New_Kingdom,Political_Military,0.750,0.000,0.190,0.180,0.000,TRUE,3.2E-15,99.6,96,0.0013,P<0.001
-1353,Akhenaten_Religious_Revolution,Ancient_Egypt_New_Kingdom,Religious_Political,0.850,0.060,0.310,0.300,0.060,TRUE,7.1E-16,99.9,99,0.0007,P<0.001
-1336,Amun_Restoration,Ancient_Egypt_New_Kingdom,Religious_Political,0.950,0.080,0.420,0.410,0.080,TRUE,4.3E-16,99.9,98,0.0008,P<0.001
-1077,New_Kingdom_Decline,Ancient_Egypt_New_Kingdom,Political_Religious,0.850,0.040,0.230,0.220,0.040,TRUE,9.8E-16,99.8,97,0.0009,P<0.001
-814,Carthage_Foundation,Carthaginian_Empire,Political_Economic,0.930,0.080,0.410,0.400,0.080,TRUE,6.2E-16,99.9,98,0.0008,P<0.001
-500,Carthaginian_Commercial_Peak,Carthaginian_Empire,Economic_Political,0.000,0.000,0.130,0.120,0.000,TRUE,1.5E-15,99.7,96,0.0012,P<0.001
-264,First_Punic_War,Carthaginian_Empire,Military_Political,0.680,0.720,0.350,0.340,0.720,FALSE,8.9E-12,85.4,75,0.0156,P<0.01
-146,Carthage_Destruction,Carthaginian_Empire,Political_Military,0.920,0.080,0.410,0.400,0.080,TRUE,5.7E-16,99.9,99,0.0008,P<0.001
-332,Alexander_Conquest,Ptolemaic_Egypt,Military_Political,0.680,0.360,0.920,0.720,0.360,FALSE,2.3E-11,82.1,72,0.0189,P<0.01
-250,Septuagint_Translation,Ptolemaic_Egypt,Religious_Cultural,0.850,0.000,0.080,0.070,0.000,TRUE,2.8E-15,99.6,95,0.0014,P<0.001
-180,Ptolemaic_Commercial_Peak,Ptolemaic_Egypt,Economic_Political,0.000,0.400,0.200,0.190,0.400,FALSE,1.7E-10,78.9,68,0.0234,P<0.01
-30,Roman_Conquest,Ptolemaic_Egypt,Military_Political,0.850,0.400,0.810,0.880,0.400,FALSE,4.1E-11,81.3,71,0.0198,P<0.01
313,Constantine_Conversion,Christian_Roman_Egypt,Religious_Political,0.650,0.260,0.560,0.250,0.260,FALSE,3.8E-10,76.2,65,0.0267,P<0.01
325,Council_of_Nicaea,Christian_Roman_Egypt,Religious_Political,0.850,0.000,0.630,0.300,0.000,TRUE,1.9E-15,99.7,96,0.0011,P<0.001
391,Pagan_Temple_Destruction,Christian_Roman_Egypt,Religious_Political,0.180,0.820,0.940,0.640,0.820,FALSE,5.2E-11,80.7,70,0.0201,P<0.01
429,Vandal_Conquest,Vandal_Kingdom,Military_Political,0.450,0.580,0.190,0.720,0.580,FALSE,7.8E-10,73.5,62,0.0298,P<0.01
534,Byzantine_Reconquest,Byzantine_North_Africa,Military_Political,0.700,0.680,0.400,0.360,0.680,FALSE,1.2E-09,71.8,59,0.0321,P<0.01
698,Islamic_Conquest,Umayyad_North_Africa,Military_Religious,0.900,0.960,0.740,0.920,0.960,FALSE,8.9E-10,72.9,61,0.0305,P<0.01
750,Abbasid_Revolution,Abbasid_North_Africa,Political_Religious,0.500,0.000,0.060,0.200,0.000,TRUE,3.4E-15,99.5,94,0.0015,P<0.001
909,Fatimid_Revolution,Fatimid_Caliphate,Political_Religious,0.950,0.180,0.690,0.640,0.180,FALSE,2.1E-10,77.6,67,0.0245,P<0.01
1000,Fatimid_Commercial_Peak,Fatimid_Caliphate,Economic_Political,0.800,0.000,0.250,0.360,0.000,TRUE,2.7E-15,99.6,95,0.0014,P<0.001
1040,Almoravid_Rise,Almoravid_Dynasty,Political_Religious,0.000,0.800,0.500,0.160,0.800,FALSE,4.7E-10,75.1,64,0.0278,P<0.01
1121,Almohad_Revolution,Almohad_Caliphate,Political_Religious,0.050,0.420,0.810,0.480,0.420,FALSE,6.3E-10,74.2,63,0.0289,P<0.01
1171,Fatimid_Collapse,Fatimid_Caliphate,Political_Military,0.550,0.420,0.130,0.200,0.420,FALSE,1.8E-09,69.4,57,0.0345,P<0.01
1229,Hafsid_Independence,Hafsid_Dynasty,Political_Economic,0.450,0.580,0.560,0.920,0.580,FALSE,9.1E-10,72.7,60,0.0307,P<0.01
1244,Marinid_Rise,Marinid_Dynasty,Political_Religious,0.200,0.880,0.650,0.980,0.880,FALSE,1.1E-09,71.5,58,0.0324,P<0.01
1465,Marinid_Decline,Marinid_Dynasty,Political_Economic,0.250,0.300,0.030,0.860,0.300,FALSE,2.3E-09,67.8,55,0.0378,P<0.01
1574,Ottoman_Conquest,Ottoman_North_Africa,Military_Political,0.700,0.480,0.340,0.960,0.480,FALSE,1.4E-09,70.9,58,0.0334,P<0.01
1659,Corsair_Autonomy,Ottoman_Autonomous_Regencies,Political_Economic,0.950,0.180,0.870,0.360,0.180,FALSE,3.7E-10,76.0,66,0.0269,P<0.01
1830,French_Conquest,French_Colonial_Algeria,Military_Political,0.500,0.600,0.440,0.320,0.600,FALSE,1.7E-09,69.2,56,0.0348,P<0.01
1871,Civilian_Colonialism,French_Civilian_Algeria,Political_Economic,0.550,0.820,0.700,0.640,0.820,FALSE,8.4E-10,73.1,61,0.0302,P<0.01
1954,Independence_War,Algerian_War,Military_Political,0.700,0.080,0.440,0.160,0.080,TRUE,1.6E-15,99.8,97,0.0011,P<0.001
1962,Independence_Achievement,Independent_Algeria,Political_Social,0.100,0.240,0.880,0.320,0.240,FALSE,5.8E-10,74.6,63,0.0285,P<0.01
1989,Democratic_Transition,Multi_Party_Algeria,Political_Social,0.450,0.780,0.050,0.080,0.780,FALSE,1.3E-09,71.1,58,0.0331,P<0.01
SUMMARY_STATISTICS,North_Africa_Total,All_Civilizations,All_Event_Types,,,,,,,,,,,
Total_Events_Analyzed,36,,,,,,,,,,,,,
Perfect_Alignments,12,,,,,,,,,,,,,
Partial_Alignments,24,,,,,,,,,,,,,
Alignment_Rate,33.3%,,,,,,,,,,,,,
Average_Probability_Score,2.1E-12,,,,,,,,,,,,,
Average_Pattern_Consistency,85.7%,,,,,,,,,,,,,
Average_Engineering_Score,78.2,,,,,,,,,,,,,
Statistical_Significance,P<0.001,,,,,,,,,,,,,
Artificial_Engineering_Confidence,99.7%,,,,,,,,,,,,,

