Date_BCE_CE,Civilization,Political_System_Type,Governance_Structure,Power_Source,Succession_Method,Administrative_System,Military_Organization,Legal_System,Taxation_System,Diplomatic_Relations,Monarchy_Socialism_Stage,Cycle_Alignment,Transition_Mechanism
-1900,Tichitt_Culture,Neolithic_Villages,Clan_Leadership,Kinship_Authority,Elder_Succession,Clan_Administration,Warrior_Groups,Customary_Law,Tribute_Exchange,Clan_Alliances,Stage_1_Clan_Leadership,20_50_160_250_500,Kinship_Social_Organization
-1500,Tichitt_Culture,Urban_Centers,Priestly_Leadership,Religious_Authority,Ritual_Succession,Religious_Administration,Warrior_Priests,Religious_Law,Religious_Tribute,Religious_Alliances,Stage_2_Religious_Leadership,20_50_160_250_500,Religious_Urban_Transition
-1000,Tichitt_Culture,Pastoral_Nomadism,Nomadic_Chieftains,Pastoral_Authority,Tribal_Succession,Nomadic_Administration,Nomadic_Warriors,Tribal_Law,Livestock_Tribute,Nomadic_Alliances,Stage_3_Nomadic_Leadership,20_50_160_250_500,Pastoral_Social_Transition
300,Ghana_Empire,Soninke_Chieftains,Tribal_Confederation,Kinship_Authority,Hereditary_Succession,Tribal_Administration,Tribal_Warriors,Customary_Law,Tribute_System,Tribal_Alliances,Stage_4_Tribal_Confederation,20_50_160_250_500,Tribal_Political_Organization
700,Ghana_Empire,Divine_Kingship,Sacred_Monarchy,Divine_Authority,Sacred_Succession,Royal_Administration,Royal_Army,Divine_Law,Royal_Taxation,Royal_Diplomacy,Stage_5_Divine_Monarchy,20_50_160_250_500,Religious_Political_Legitimation
1000,Ghana_Empire,Islamic_Influenced_Monarchy,Syncretic_Monarchy,Religious_Political_Authority,Islamic_Influenced_Succession,Islamic_Administration,Islamic_Army,Syncretic_Law,Islamic_Taxation,Islamic_Diplomacy,Stage_6_Religious_Monarchy,20_50_160_250_500,Religious_Political_Integration
1076,Ghana_Empire,Almoravid_Vassalage,Tributary_State,External_Authority,External_Appointment,Tributary_Administration,Tributary_Forces,Islamic_Law,Tributary_Taxation,Tributary_Relations,Stage_7_Tributary_State,20_50_160_250_500,Military_Political_Subjugation
1235,Mali_Empire,Mandinka_Confederation,Imperial_Confederation,Conquest_Authority,Imperial_Succession,Imperial_Administration,Imperial_Army,Imperial_Law,Imperial_Taxation,Imperial_Diplomacy,Stage_8_Imperial_Confederation,20_50_160_250_500,Imperial_Political_Expansion
1324,Mali_Empire,Islamic_Empire,Religious_Empire,Islamic_Authority,Islamic_Succession,Islamic_Administration,Islamic_Army,Islamic_Law,Islamic_Taxation,Islamic_Diplomacy,Stage_9_Religious_Empire,20_50_160_250_500,Religious_Imperial_Legitimation
1500,Mali_Empire,Declining_Empire,Fragmented_Empire,Weakened_Authority,Contested_Succession,Fragmented_Administration,Weakened_Army,Fragmented_Law,Reduced_Taxation,Weakened_Diplomacy,Stage_10_Imperial_Decline,20_50_160_250_500,Imperial_Political_Fragmentation
1464,Songhai_Empire,Sonni_Dynasty,Military_Monarchy,Military_Authority,Military_Succession,Military_Administration,Professional_Army,Military_Law,Military_Taxation,Military_Diplomacy,Stage_11_Military_Monarchy,20_50_160_250_500,Military_Political_Conquest
1493,Songhai_Empire,Askia_Caliphate,Theocratic_Empire,Religious_Authority,Religious_Succession,Theocratic_Administration,Religious_Army,Religious_Law,Religious_Taxation,Religious_Diplomacy,Stage_12_Theocratic_Empire,20_50_160_250_500,Religious_Political_Revolution
