ID,Name,Latitude,Longitude,Country
1,Citadel of Alessandria,44.9203,8.6064,Italy
2,Alba Carolina Citadel,46.075,23.5708,Romania
3,Fort Bourtange,53.0067,7.1922,Netherlands
4,Naarden,52.295,5.16,Netherlands
5,Palmanova,45.9056,13.31,Italy
6,Fortress of Luxembourg,49.6167,6.1333,Luxembourg
7,Suomenlinna,60.1472,25.0,Finland
8,Kronborg Castle,56.0389,12.6214,Denmark
9,Citadel Hill,44.6475,-63.5806,Canada
10,Landskrona Citadel,55.8833,12.85,Sweden
11,Star Fort Matara,5.9486,80.5469,Sri Lanka
12,Jaffna Fort,9.6625,80.0075,Sri Lanka
13,Galle Fort,6.03,80.2167,Sri Lanka
14,Batavia Castle,-6.1275,106.8106,Indonesia
15,Fort Rotterdam,-5.1333,119.4056,Indonesia
16,Manjarabad Fort,12.9667,75.75,India
17,Aguada Fort,15.4922,73.7725,India
18,Star Fort Jhansi,25.4583,78.5792,India
19,Chaul Fort,18.5333,72.9167,India
20,Castle of Good Hope,-33.9258,18.4275,South Africa
21,Fort Jesus,-4.0625,39.6797,Kenya
22,Elmina Castle,5.0825,-1.3481,Ghana
23,Fort São Sebastião,-15.0333,40.7333,Mozambique
24,Fort São Caetano,-8.8,13.2333,Angola
25,Fort Patience,5.2833,-0.7333,Ghana
26,Fort Good Hope,5.3833,-0.4833,Ghana
27,Fort São Miguel,-8.8083,13.2233,Angola
28,Fort Metal Cross,4.8,-1.95,Ghana
29,Fort Monroe,37.0036,-76.3075,USA
30,Fort Jay,40.6911,-74.0164,USA
31,Fort Wood,40.6892,-74.0445,USA
32,Castillo San Felipe del Morro,18.4672,-66.1239,Puerto Rico
33,Citadel of Quebec,46.8072,-71.2075,Canada
34,Fort Independence,42.34,-71.0117,USA
35,Fort McHenry,39.2633,-76.5797,USA
36,Castillo de San Marcos,29.8978,-81.3114,USA
37,Fort Prince of Wales,58.7972,-94.2136,Canada
38,Fort Denison,-33.8547,151.2258,Australia
39,Fort Glanville,-34.8461,138.4847,Australia
40,Fort Jervois,-43.6036,172.7417,New Zealand
41,Fort de Bregille,47.2333,6.0333,France
42,Fort de Chaudanne,47.24,6.0167,France
43,Fort de La Hougue,49.5833,-1.2667,France
44,Citadelle d'Entrevaux,44.0,6.8167,France
45,Fort de Sainte-Adresse,49.5,0.0833,France
46,Fort de Tourneville,49.5,0.1167,France
47,Fort de la Pree,46.2,-1.3667,France
48,Fort des Salettes,44.8833,6.65,France
49,The Fortifications of Toulon,43.1167,5.9333,France
50,Fort Vallières,51.0333,2.3833,France
51,Citadelle Vauban,47.35,-3.15,France
52,Kastellet,55.6911,12.5953,Denmark
53,Fredericia Ramparts,55.5667,9.75,Denmark
54,Nyborg Fortress,55.3167,10.7833,Denmark
55,Fredrikstad Fortress,59.2167,10.95,Norway
56,Fredriksvern,59.0,10.0333,Norway
57,Kongsvinger Fortress,60.2,12.0,Norway
58,Kristiansten Fortress,63.4333,10.4167,Norway
