Date_BCE_CE,Civilization,Economic_System_Type,Primary_Production,Trade_Networks,Currency_System,Financial_Institutions,Labor_Organization,Resource_Exploitation,Market_Structure,Economic_Policy,Wealth_Distribution,Cycle_Phase,Cycle_Alignment,Economic_Engineering_Evidence
-1900,Tichitt_Culture,Neolithic_Agriculture,Crop_Cultivation,Local_Trade,Barter_System,Clan_Granaries,Kinship_Labor,Land_Cultivation,Local_Markets,Subsistence_Policy,Clan_Distribution,Birth_Phase,20_50_160_250_500,Agricultural_social_coordination
-1500,Tichitt_Culture,Pastoral_Economy,Cattle_Herding,Regional_Trade,Livestock_Exchange,Pastoral_Wealth,Pastoral_Labor,Pasture_Management,Regional_Markets,Pastoral_Policy,Pastoral_Elite,Growth_Phase,20_50_160_250_500,Pastoral_economic_systematization
-1000,Tichitt_Culture,Nomadic_Economy,Mobile_Herding,Trade_Routes,Commodity_Exchange,Mobile_Wealth,Nomadic_Labor,Resource_Mobility,Trade_Markets,Nomadic_Policy,Nomadic_Distribution,Transition_Phase,20_50_160_250_500,Nomadic_economic_adaptation
300,Ghana_Empire,Agricultural_Base,Grain_Production,Local_Trade,Barter_System,Village_Granaries,Agricultural_Labor,Land_Exploitation,Local_Markets,Agricultural_Policy,Village_Distribution,Birth_Phase,20_50_160_250_500,Agricultural_political_coordination
700,Ghana_Empire,Gold_Trade,Gold_Mining,Trans_Saharan_Trade,Gold_Currency,Trade_Houses,Mining_Labor,Gold_Exploitation,Trade_Markets,Trade_Policy,Royal_Elite,Growth_Phase,20_50_160_250_500,Gold_trade_systematization
1000,Ghana_Empire,Commercial_Peak,Gold_Salt_Trade,International_Trade,Standardized_Currency,Commercial_Banks,Commercial_Labor,Resource_Monopoly,International_Markets,Commercial_Policy,Commercial_Elite,Peak_Phase,20_50_160_250_500,Commercial_peak_coordination
1076,Ghana_Empire,Tribute_Economy,Tributary_Production,Controlled_Trade,Tribute_Currency,Tributary_Finance,Tributary_Labor,Controlled_Resources,Controlled_Markets,Tributary_Policy,Tributary_Elite,Decline_Phase,20_50_160_250_500,Tributary_economic_control
1235,Mali_Empire,Imperial_Economy,Agricultural_Manufacturing,Empire_Trade,Imperial_Currency,Imperial_Treasury,Imperial_Labor,Imperial_Resources,Empire_Markets,Imperial_Policy,Imperial_Elite,Birth_Phase,20_50_160_250_500,Imperial_economic_expansion
1324,Mali_Empire,Gold_Empire,Gold_Production,Global_Trade,Gold_Standard,International_Banking,Specialized_Labor,Gold_Monopoly,Global_Markets,Gold_Policy,Gold_Elite,Growth_Phase,20_50_160_250_500,Gold_empire_systematization
1400,Mali_Empire,Trade_Network_Peak,Luxury_Production,International_Commerce,Standardized_Currency,Commercial_Networks,Commercial_Labor,Resource_Control,Commercial_Markets,Commercial_Policy,Commercial_Elite,Peak_Phase,20_50_160_250_500,Trade_network_peak_coordination
