Date_BCE_CE,Civilization,Economic_System_Type,Primary_Production,Trade_Networks,Currency_System,Financial_Institutions,Labor_Organization,Resource_Exploitation,Market_Structure,Economic_Policy,Wealth_Distribution,Cycle_Phase,Cycle_Alignment,Economic_Engineering_Evidence
-3000,Proto_Bantu_Cameroon,Subsistence_Agriculture,Agricultural_Production,Local_Trade,Barter_System,Clan_Wealth,Kinship_Labor,Agricultural_Resources,Local_Markets,Agricultural_Policy,Clan_Distribution,Birth_Phase,20_50_160_250_500,Agricultural_systematization
-2000,Early_Bantu_Expansion,Migration_Economy,Migration_Production,Migration_Trade,Migration_Currency,Migration_Finance,Migration_Labor,Migration_Resources,Migration_Markets,Migration_Policy,Migration_Distribution,Growth_Phase,20_50_160_250_500,Migration_economic_coordination
-1500,Bantu_Forest_Adaptation,Forest_Economy,Forest_Production,Forest_Trade,Forest_Currency,Forest_Finance,Forest_Labor,Forest_Resources,Forest_Markets,Forest_Policy,Forest_Distribution,Peak_Phase,20_50_160_250_500,Forest_economic_adaptation
-1000,Bantu_River_Settlements,River_Economy,River_Production,River_Trade,River_Currency,River_Finance,River_Labor,River_Resources,River_Markets,River_Policy,River_Distribution,Expansion_Phase,20_50_160_250_500,River_economic_systematization
-500,Bantu_Savanna_Expansion,Savanna_Economy,Savanna_Production,Savanna_Trade,Savanna_Currency,Savanna_Finance,Savanna_Labor,Savanna_Resources,Savanna_Markets,Savanna_Policy,Savanna_Distribution,Consolidation_Phase,20_50_160_250_500,Savanna_economic_expansion
100,Sao_Civilization,Urban_Economy,Urban_Production,Regional_Trade,Urban_Currency,Urban_Finance,Urban_Labor,Urban_Resources,Urban_Markets,Urban_Policy,Urban_Distribution,Birth_Phase,20_50_160_250_500,Urban_economic_systematization
400,Sao_Peak_Period,Regional_Trade_Economy,Regional_Production,Regional_Commerce,Regional_Currency,Regional_Finance,Regional_Labor,Regional_Resources,Regional_Markets,Regional_Policy,Regional_Distribution,Peak_Phase,20_50_160_250_500,Regional_trade_peak_coordination
700,Sao_Decline,Declining_Economy,Declining_Production,Declining_Trade,Declining_Currency,Declining_Finance,Declining_Labor,Declining_Resources,Declining_Markets,Declining_Policy,Declining_Distribution,Decline_Phase,20_50_160_250_500,Economic_decline_coordination
1000,Kanem_Foundation,Pastoral_Economy,Pastoral_Production,Pastoral_Trade,Pastoral_Currency,Pastoral_Finance,Pastoral_Labor,Pastoral_Resources,Pastoral_Markets,Pastoral_Policy,Pastoral_Distribution,Birth_Phase,20_50_160_250_500,Pastoral_economic_systematization
1200,Kanem_Islamic_Conversion,Islamic_Economy,Islamic_Production,Islamic_Trade,Islamic_Currency,Islamic_Finance,Islamic_Labor,Islamic_Resources,Islamic_Markets,Islamic_Policy,Islamic_Distribution,Growth_Phase,20_50_160_250_500,Islamic_economic_systematization
1400,Kanem_Bornu_Empire,Trans_Saharan_Economy,Trans_Saharan_Production,Trans_Saharan_Trade,Trans_Saharan_Currency,Trans_Saharan_Finance,Trans_Saharan_Labor,Trans_Saharan_Resources,Trans_Saharan_Markets,Trans_Saharan_Policy,Trans_Saharan_Distribution,Peak_Phase,20_50_160_250_500,Trans_saharan_peak_coordination
1600,Bornu_Consolidation,Consolidated_Economy,Consolidated_Production,Consolidated_Trade,Consolidated_Currency,Consolidated_Finance,Consolidated_Labor,Consolidated_Resources,Consolidated_Markets,Consolidated_Policy,Consolidated_Distribution,Consolidation_Phase,20_50_160_250_500,Economic_consolidation_coordination
1800,Bornu_Decline,Declining_Economy,Declining_Production,Declining_Trade,Declining_Currency,Declining_Finance,Declining_Labor,Declining_Resources,Declining_Markets,Declining_Policy,Declining_Distribution,Decline_Phase,20_50_160_250_500,Economic_decline_coordination
1900,Bornu_Colonial,Colonial_Economy,Colonial_Production,Colonial_Trade,Colonial_Currency,Colonial_Finance,Colonial_Labor,Colonial_Resources,Colonial_Markets,Colonial_Policy,Colonial_Distribution,Transition_Phase,20_50_160_250_500,Colonial_economic_transition_coordination
1300,Kongo_Kingdom_Foundation,Agricultural_Economy,Agricultural_Production,Regional_Trade,Agricultural_Currency,Agricultural_Finance,Agricultural_Labor,Agricultural_Resources,Regional_Markets,Agricultural_Policy,Agricultural_Distribution,Birth_Phase,20_50_160_250_500,Agricultural_economic_systematization
1400,Kongo_Portuguese_Contact,Atlantic_Trade_Economy,Atlantic_Production,Atlantic_Trade,Atlantic_Currency,Atlantic_Finance,Atlantic_Labor,Atlantic_Resources,Atlantic_Markets,Atlantic_Policy,Atlantic_Distribution,Growth_Phase,20_50_160_250_500,Atlantic_trade_systematization
1500,Kongo_Christian_Peak,Christian_Economy,Christian_Production,Christian_Trade,Christian_Currency,Christian_Finance,Christian_Labor,Christian_Resources,Christian_Markets,Christian_Policy,Christian_Distribution,Peak_Phase,20_50_160_250_500,Christian_economy_peak_coordination
1600,Kongo_Slave_Trade,Slave_Economy,Slave_Production,Slave_Trade,Slave_Currency,Slave_Finance,Slave_Labor,Human_Resources,Slave_Markets,Slave_Policy,Slave_Distribution,Decline_Phase,20_50_160_250_500,Slave_economy_coordination
1700,Kongo_Fragmentation,Fragmented_Economy,Fragmented_Production,Fragmented_Trade,Fragmented_Currency,Fragmented_Finance,Fragmented_Labor,Fragmented_Resources,Fragmented_Markets,Fragmented_Policy,Fragmented_Distribution,Collapse_Phase,20_50_160_250_500,Economic_fragmentation_coordination
1885,Congo_Free_State,Extraction_Economy,Extraction_Production,Extraction_Trade,Extraction_Currency,Extraction_Finance,Forced_Labor,Natural_Resources,Extraction_Markets,Extraction_Policy,Extraction_Distribution,Birth_Phase,20_50_160_250_500,Extraction_economic_systematization
1960,Democratic_Republic_Congo,Post_Colonial_Economy,Post_Colonial_Production,Post_Colonial_Trade,Post_Colonial_Currency,Post_Colonial_Finance,Post_Colonial_Labor,Post_Colonial_Resources,Post_Colonial_Markets,Post_Colonial_Policy,Post_Colonial_Distribution,Independence_Phase,20_50_160_250_500,Post_colonial_economic_coordination
1400,Luba_Empire_Foundation,Mining_Economy,Mining_Production,Mining_Trade,Mining_Currency,Mining_Finance,Mining_Labor,Mining_Resources,Mining_Markets,Mining_Policy,Mining_Distribution,Birth_Phase,20_50_160_250_500,Mining_economic_systematization
1600,Luba_Empire_Peak,Regional_Mining_Economy,Regional_Mining_Production,Regional_Mining_Trade,Regional_Mining_Currency,Regional_Mining_Finance,Regional_Mining_Labor,Regional_Mining_Resources,Regional_Mining_Markets,Regional_Mining_Policy,Regional_Mining_Distribution,Peak_Phase,20_50_160_250_500,Regional_mining_peak_coordination
1800,Luba_Empire_Decline,Declining_Mining_Economy,Declining_Mining_Production,Declining_Mining_Trade,Declining_Mining_Currency,Declining_Mining_Finance,Declining_Mining_Labor,Declining_Mining_Resources,Declining_Mining_Markets,Declining_Mining_Policy,Declining_Mining_Distribution,Decline_Phase,20_50_160_250_500,Mining_decline_coordination
1500,Lunda_Empire_Foundation,Trade_Economy,Trade_Production,Regional_Trade,Trade_Currency,Trade_Finance,Trade_Labor,Trade_Resources,Trade_Markets,Trade_Policy,Trade_Distribution,Birth_Phase,20_50_160_250_500,Trade_economic_systematization
1700,Lunda_Empire_Peak,Regional_Trade_Economy,Regional_Trade_Production,Regional_Trade_Commerce,Regional_Trade_Currency,Regional_Trade_Finance,Regional_Trade_Labor,Regional_Trade_Resources,Regional_Trade_Markets,Regional_Trade_Policy,Regional_Trade_Distribution,Peak_Phase,20_50_160_250_500,Regional_trade_peak_coordination
1850,Lunda_Empire_Decline,Declining_Trade_Economy,Declining_Trade_Production,Declining_Trade_Commerce,Declining_Trade_Currency,Declining_Trade_Finance,Declining_Trade_Labor,Declining_Trade_Resources,Declining_Trade_Markets,Declining_Trade_Policy,Declining_Trade_Distribution,Decline_Phase,20_50_160_250_500,Trade_decline_coordination
1600,Ndongo_Kingdom,Warrior_Economy,Warrior_Production,Warrior_Trade,Warrior_Currency,Warrior_Finance,Warrior_Labor,Warrior_Resources,Warrior_Markets,Warrior_Policy,Warrior_Distribution,Birth_Phase,20_50_160_250_500,Warrior_economic_systematization
1650,Ndongo_Portuguese_Wars,War_Economy,War_Production,War_Trade,War_Currency,War_Finance,War_Labor,War_Resources,War_Markets,War_Policy,War_Distribution,Conflict_Phase,20_50_160_250_500,War_economy_coordination
1700,Ndongo_Decline,Declining_Warrior_Economy,Declining_Warrior_Production,Declining_Warrior_Trade,Declining_Warrior_Currency,Declining_Warrior_Finance,Declining_Warrior_Labor,Declining_Warrior_Resources,Declining_Warrior_Markets,Declining_Warrior_Policy,Declining_Warrior_Distribution,Decline_Phase,20_50_160_250_500,Warrior_economic_decline_coordination
1600,Matamba_Kingdom,Warrior_Trade_Economy,Warrior_Trade_Production,Warrior_Trade_Commerce,Warrior_Trade_Currency,Warrior_Trade_Finance,Warrior_Trade_Labor,Warrior_Trade_Resources,Warrior_Trade_Markets,Warrior_Trade_Policy,Warrior_Trade_Distribution,Birth_Phase,20_50_160_250_500,Warrior_trade_systematization
1650,Matamba_Nzinga_Resistance,Resistance_Economy,Resistance_Production,Resistance_Trade,Resistance_Currency,Resistance_Finance,Resistance_Labor,Resistance_Resources,Resistance_Markets,Resistance_Policy,Resistance_Distribution,Peak_Phase,20_50_160_250_500,Resistance_economy_coordination
1750,Matamba_Decline,Declining_Resistance_Economy,Declining_Resistance_Production,Declining_Resistance_Trade,Declining_Resistance_Currency,Declining_Resistance_Finance,Declining_Resistance_Labor,Declining_Resistance_Resources,Declining_Resistance_Markets,Declining_Resistance_Policy,Declining_Resistance_Distribution,Decline_Phase,20_50_160_250_500,Resistance_economic_decline_coordination
1500,Kuba_Kingdom_Foundation,Artistic_Economy,Artistic_Production,Artistic_Trade,Artistic_Currency,Artistic_Finance,Artistic_Labor,Artistic_Resources,Artistic_Markets,Artistic_Policy,Artistic_Distribution,Birth_Phase,20_50_160_250_500,Artistic_economic_systematization
1700,Kuba_Kingdom_Peak,Artistic_Trade_Economy,Artistic_Trade_Production,Artistic_Trade_Commerce,Artistic_Trade_Currency,Artistic_Trade_Finance,Artistic_Trade_Labor,Artistic_Trade_Resources,Artistic_Trade_Markets,Artistic_Trade_Policy,Artistic_Trade_Distribution,Peak_Phase,20_50_160_250_500,Artistic_trade_peak_coordination
1900,Kuba_Kingdom_Decline,Declining_Artistic_Economy,Declining_Artistic_Production,Declining_Artistic_Trade,Declining_Artistic_Currency,Declining_Artistic_Finance,Declining_Artistic_Labor,Declining_Artistic_Resources,Declining_Artistic_Markets,Declining_Artistic_Policy,Declining_Artistic_Distribution,Decline_Phase,20_50_160_250_500,Artistic_economic_decline_coordination
1400,Chokwe_Expansion,Warrior_Trade_Economy,Warrior_Trade_Production,Warrior_Trade_Commerce,Warrior_Trade_Currency,Warrior_Trade_Finance,Warrior_Trade_Labor,Warrior_Trade_Resources,Warrior_Trade_Markets,Warrior_Trade_Policy,Warrior_Trade_Distribution,Birth_Phase,20_50_160_250_500,Warrior_trade_expansion_systematization
1700,Chokwe_Peak,Regional_Warrior_Economy,Regional_Warrior_Production,Regional_Warrior_Trade,Regional_Warrior_Currency,Regional_Warrior_Finance,Regional_Warrior_Labor,Regional_Warrior_Resources,Regional_Warrior_Markets,Regional_Warrior_Policy,Regional_Warrior_Distribution,Peak_Phase,20_50_160_250_500,Regional_warrior_peak_coordination
1900,Chokwe_Colonial,Colonial_Economy,Colonial_Production,Colonial_Trade,Colonial_Currency,Colonial_Finance,Colonial_Labor,Colonial_Resources,Colonial_Markets,Colonial_Policy,Colonial_Distribution,Transition_Phase,20_50_160_250_500,Colonial_economic_transition_coordination
