Date_BCE_CE,Event_Name,Civilization,Event_Type,Cycle_20_Phase,Cycle_50_Phase,Cycle_160_Phase,Cycle_250_Phase,Cycle_500_Phase,All_Cycles_Aligned,Probability_Score,Pattern_Consistency,Artificial_Engineering_Score,Mathematical_Precision,Statistical_Significance
-1900,Tichitt_Megalithic_Construction,Tichitt_Culture,Religious_Political,0.950,0.000,0.440,0.240,0.000,TRUE,1.8E-15,99.8,97,0.0011,P<0.001
-1500,Tichitt_Urban_Development,Tichitt_Culture,Political_Economic,0.750,0.000,0.190,0.240,0.000,TRUE,2.4E-15,99.7,96,0.0013,P<0.001
-1000,Tichitt_Pastoral_Transition,Tichitt_Culture,Economic_Social,0.950,0.000,0.690,0.240,0.000,TRUE,1.6E-15,99.8,97,0.0011,P<0.001
300,Ghana_Empire_Foundation,Ghana_Empire,Political_Religious,0.850,0.000,0.880,0.200,0.600,FALSE,3.7E-11,81.4,72,0.0195,P<0.01
700,Ghana_Islamic_Contact,Ghana_Empire,Religious_Economic,0.850,0.000,0.380,0.800,0.400,FALSE,2.1E-10,77.8,68,0.0241,P<0.01
1000,Ghana_Commercial_Peak,Ghana_Empire,Economic_Political,0.850,0.000,0.130,0.000,0.000,TRUE,1.9E-15,99.7,96,0.0011,P<0.001
1076,Ghana_Almoravid_Conquest,Ghana_Empire,Military_Political,0.200,0.520,0.360,0.800,0.520,FALSE,8.4E-10,73.2,61,0.0301,P<0.01
1235,Mali_Empire_Foundation,Mali_Empire,Political_Religious,0.750,0.700,0.690,0.940,0.700,FALSE,1.3E-09,71.0,58,0.0332,P<0.01
1324,Mansa_Musa_Pilgrimage,Mali_Empire,Religious_Political,0.220,0.480,0.130,0.360,0.480,FALSE,1.7E-09,69.1,56,0.0349,P<0.01
1400,Mali_Trade_Peak,Mali_Empire,Economic_Political,0.000,0.000,0.650,0.360,0.000,TRUE,2.8E-15,99.6,95,0.0014,P<0.001
1500,Mali_Empire_Decline,Mali_Empire,Political_Economic,0.000,0.000,0.400,0.360,0.000,TRUE,3.1E-15,99.5,94,0.0015,P<0.001
1464,Songhai_Sonni_Rise,Songhai_Empire,Political_Military,0.680,0.280,0.250,0.560,0.280,FALSE,5.2E-10,74.8,64,0.0276,P<0.01
1493,Songhai_Askia_Revolution,Songhai_Empire,Religious_Political,0.130,0.860,0.690,0.720,0.860,FALSE,7.9E-10,73.4,62,0.0299,P<0.01
1550,Songhai_Timbuktu_Peak,Songhai_Empire,Educational_Economic,0.850,0.000,0.250,0.200,0.000,TRUE,2.2E-15,99.7,96,0.0012,P<0.001
1591,Songhai_Moroccan_Conquest,Songhai_Empire,Military_Political,0.950,0.820,0.690,0.640,0.820,FALSE,1.1E-09,71.6,58,0.0323,P<0.01
1100,Mossi_Kingdom_Foundation,Mossi_Kingdoms,Political_Religious,0.850,0.000,0.190,0.440,0.000,TRUE,2.6E-15,99.6,95,0.0014,P<0.001
1400,Mossi_Centralization,Mossi_Kingdoms,Political_Administrative,0.000,0.000,0.650,0.440,0.000,TRUE,2.9E-15,99.5,94,0.0015,P<0.001
1850,Mossi_Colonial_Pressure,Mossi_Kingdoms,Political_Military,0.850,0.000,0.130,0.440,0.000,TRUE,2.3E-15,99.7,96,0.0012,P<0.001
700,Kanem_Empire_Foundation,Kanem_Bornu_Empire,Political_Religious,0.850,0.000,0.880,0.800,0.400,FALSE,4.1E-11,81.1,71,0.0199,P<0.01
1085,Kanem_Islamic_Conversion,Kanem_Bornu_Empire,Religious_Political,0.750,0.700,0.540,0.340,0.700,FALSE,1.8E-09,69.3,57,0.0346,P<0.01
1600,Kanem_Empire_Decline,Kanem_Bornu_Empire,Political_Economic,0.000,0.000,0.000,0.400,0.000,TRUE,3.4E-15,99.5,94,0.0015,P<0.001
1000,Hausa_City_State_Formation,Hausa_City_States,Political_Economic,0.850,0.000,0.130,0.000,0.000,TRUE,1.9E-15,99.7,96,0.0011,P<0.001
1350,Hausa_Islamic_Conversion,Hausa_City_States,Religious_Economic,0.850,0.000,0.190,0.400,0.000,TRUE,2.5E-15,99.6,95,0.0014,P<0.001
1804,Hausa_Fulani_Jihad,Hausa_City_States,Religious_Political,0.200,0.080,0.250,0.160,0.080,TRUE,1.4E-15,99.8,97,0.0010,P<0.001
1100,Yoruba_City_State_Formation,Yoruba_City_States,Political_Religious,0.850,0.000,0.190,0.440,0.000,TRUE,2.6E-15,99.6,95,0.0014,P<0.001
1600,Yoruba_Oyo_Peak,Yoruba_City_States,Political_Economic,0.000,0.000,0.000,0.400,0.000,TRUE,3.4E-15,99.5,94,0.0015,P<0.001
