Date_BCE_CE,Civilization,Political_System_Type,Governance_Structure,Power_Source,Succession_Method,Administrative_System,Military_Organization,Legal_System,Taxation_System,Diplomatic_Relations,Monarchy_Socialism_Stage,Cycle_Alignment,Transition_Mechanism
-2500,Punt_Kingdom,Tribal_Chieftains,Clan_Leadership,Kinship_Authority,Elder_Succession,Clan_Administration,Warrior_Groups,Customary_Law,Tribute_Exchange,Clan_Alliances,Stage_1_Clan_Leadership,20_50_160_250_500,Kinship_Social_Organization
-2000,Punt_Kingdom,Divine_Monarchy,Sacred_Monarchy,Divine_Authority,Sacred_Succession,Royal_Administration,Royal_Army,Divine_Law,Royal_Taxation,Royal_Diplomacy,Stage_2_Divine_Monarchy,20_50_160_250_500,Religious_Political_Legitimation
-1500,Punt_Kingdom,Egyptian_Vassalage,Tributary_State,External_Authority,External_Appointment,Tributary_Administration,Tributary_Forces,Egyptian_Law,Tributary_Taxation,Tributary_Relations,Stage_3_Tributary_State,20_50_160_250_500,External_Political_Subjugation
-1000,Punt_Kingdom,Traditional_Revival,Traditional_Monarchy,Traditional_Authority,Traditional_Succession,Traditional_Administration,Traditional_Army,Traditional_Law,Traditional_Taxation,Traditional_Diplomacy,Stage_4_Traditional_Revival,20_50_160_250_500,Traditional_Political_Restoration
100,Kingdom_of_Aksum,Aksumite_Monarchy,Tribal_Monarchy,Tribal_Authority,Tribal_Succession,Tribal_Administration,Tribal_Army,Tribal_Law,Tribal_Taxation,Tribal_Diplomacy,Stage_5_Tribal_Monarchy,20_50_160_250_500,Tribal_Political_Organization
320,Kingdom_of_Aksum,Christian_Empire,Religious_Empire,Religious_Authority,Religious_Succession,Religious_Administration,Religious_Army,Religious_Law,Religious_Taxation,Religious_Diplomacy,Stage_6_Religious_Empire,20_50_160_250_500,Religious_Political_Conversion
700,Kingdom_of_Aksum,Isolated_Empire,Defensive_Empire,Defensive_Authority,Defensive_Succession,Defensive_Administration,Defensive_Army,Defensive_Law,Defensive_Taxation,Defensive_Diplomacy,Stage_7_Defensive_Empire,20_50_160_250_500,Defensive_Political_Isolation
960,Kingdom_of_Aksum,Declining_Empire,Fragmented_Empire,Fragmented_Authority,Contested_Succession,Fragmented_Administration,Fragmented_Army,Fragmented_Law,Fragmented_Taxation,Fragmented_Relations,Stage_8_Imperial_Decline,20_50_160_250_500,Imperial_Political_Fragmentation
1137,Zagwe_Dynasty,Zagwe_Monarchy,Religious_Monarchy,Religious_Authority,Religious_Succession,Religious_Administration,Religious_Army,Religious_Law,Religious_Taxation,Religious_Diplomacy,Stage_9_Religious_Monarchy,20_50_160_250_500,Religious_Political_Revolution
1200,Zagwe_Dynasty,Rock_Church_Kingdom,Theocratic_Kingdom,Theocratic_Authority,Theocratic_Succession,Theocratic_Administration,Theocratic_Army,Theocratic_Law,Theocratic_Taxation,Theocratic_Diplomacy,Stage_10_Theocratic_Kingdom,20_50_160_250_500,Theocratic_Political_Peak
1270,Ethiopian_Empire_Solomonic,Solomonic_Monarchy,Imperial_Monarchy,Imperial_Authority,Imperial_Succession,Imperial_Administration,Imperial_Army,Imperial_Law,Imperial_Taxation,Imperial_Diplomacy,Stage_11_Imperial_Monarchy,20_50_160_250_500,Imperial_Political_Restoration
1600,Ethiopian_Empire_Solomonic,Feudal_Empire,Feudal_Monarchy,Feudal_Authority,Feudal_Succession,Feudal_Administration,Feudal_Army,Feudal_Law,Feudal_Taxation,Feudal_Diplomacy,Stage_12_Feudal_Empire,20_50_160_250_500,Feudal_Political_Systematization
1850,Ethiopian_Empire_Solomonic,Modernizing_Empire,Modernizing_Monarchy,Modernizing_Authority,Modernizing_Succession,Modernizing_Administration,Modernizing_Army,Modernizing_Law,Modernizing_Taxation,Modernizing_Diplomacy,Stage_13_Modernizing_Empire,20_50_160_250_500,Modernizing_Political_Reform
1930,Ethiopian_Empire_Solomonic,Resistance_Empire,Resistance_Monarchy,Resistance_Authority,Resistance_Succession,Resistance_Administration,Resistance_Army,Resistance_Law,Resistance_Taxation,Resistance_Diplomacy,Stage_14_Resistance_Empire,20_50_160_250_500,Resistance_Political_Mobilization
1974,Ethiopian_Empire_Solomonic,Military_Coup,Socialist_Republic,Socialist_Authority,Party_Leadership,Socialist_Administration,People_Army,Socialist_Law,Socialist_Taxation,Socialist_Diplomacy,Stage_15_Socialist_Republic,20_50_160_250_500,Socialist_Political_Revolution
800,Swahili_City_States,Arab_Merchants,Commercial_Oligarchy,Commercial_Authority,Commercial_Succession,Commercial_Administration,Commercial_Forces,Commercial_Law,Commercial_Taxation,Commercial_Relations,Stage_16_Commercial_Oligarchy,20_50_160_250_500,Commercial_Political_Organization
1000,Swahili_City_States,Sultanate_System,Islamic_Sultanates,Islamic_Authority,Islamic_Succession,Islamic_Administration,Islamic_Army,Islamic_Law,Islamic_Taxation,Islamic_Diplomacy,Stage_17_Islamic_Sultanates,20_50_160_250_500,Islamic_Political_Systematization
1400,Swahili_City_States,City_State_Peak,Commercial_Sultanates,Commercial_Authority,Commercial_Succession,Commercial_Administration,Commercial_Army,Commercial_Law,Commercial_Taxation,Commercial_Diplomacy,Stage_18_Commercial_Sultanates,20_50_160_250_500,Commercial_Political_Peak
