Date_BCE_CE,Event_Type,Civilization,Religious_Change,Scripture_Modification,Political_Impact,Cycle_Alignment,Artificial_Engineering_Evidence
-2500,Religious_Foundation,Punt_Kingdom,Solar_Worship_Establishment,Hieroglyphic_Religious_Texts,Divine_Monarchy_Legitimacy,20_50_160_250_500,Solar_political_religious_coordination
-2000,Religious_Contact,Punt_Kingdom,Egyptian_Religious_Influence,Egyptian_Hieroglyphic_Adoption,Egyptian_Political_Integration,20_50_160_250_500,Egyptian_religious_political_systematization
-1500,Religious_Syncretism,Punt_Kingdom,Egyptian_Solar_Syncretism,Syncretic_Religious_Texts,Pharaonic_Vassalage,20_50_160_250_500,Syncretic_religious_political_coordination
-1000,Religious_Decline,Punt_Kingdom,Traditional_Religion_Revival,Oral_Tradition_Preservation,Political_Independence_Attempt,20_50_160_250_500,Traditional_religious_independence_coordination
100,Religious_Foundation,Kingdom_of_Aksum,Traditional_Aksumite_Religion,Ge_ez_Script_Development,Divine_Kingship_Establishment,20_50_160_250_500,Traditional_political_religious_coordination
320,Religious_Conversion,Kingdom_of_Aksum,Christian_Conversion_Ezana,Ge_ez_Bible_Translation,Christian_Empire_Establishment,20_50_160_250_500,Christian_conversion_political_coordination
400,Religious_Institutionalization,Kingdom_of_Aksum,Ethiopian_Orthodox_Development,Orthodox_Liturgical_Texts,Theocratic_State_Formation,20_50_160_250_500,Orthodox_theocratic_systematization
600,Religious_Expansion,Kingdom_of_Aksum,Monastic_Movement_Growth,Monastic_Literature_Development,Religious_Authority_Expansion,20_50_160_250_500,Monastic_religious_authority_coordination
700,Religious_Pressure,Kingdom_of_Aksum,Islamic_Expansion_Pressure,Arabic_Islamic_Texts,Political_Isolation,20_50_160_250_500,Islamic_pressure_political_coordination
850,Religious_Consolidation,Kingdom_of_Aksum,Orthodox_Consolidation,Ethiopian_Orthodox_Canon,Religious_Political_Unity,20_50_160_250_500,Orthodox_consolidation_political_coordination
960,Religious_Transition,Kingdom_of_Aksum,Religious_Political_Decline,Manuscript_Preservation,Political_Fragmentation,20_50_160_250_500,Religious_political_decline_coordination
1137,Religious_Revolution,Zagwe_Dynasty,Zagwe_Religious_Legitimacy,New_Religious_Texts,Dynastic_Religious_Revolution,20_50_160_250_500,Religious_dynastic_revolution_coordination
1180,Religious_Architecture,Zagwe_Dynasty,Lalibela_Church_Construction,Architectural_Religious_Texts,Religious_Political_Legitimacy,20_50_160_250_500,Architectural_religious_political_coordination
1200,Religious_Peak,Zagwe_Dynasty,Rock_Church_Christianity,Liturgical_Architecture_Texts,Theocratic_Peak,20_50_160_250_500,Theocratic_religious_peak_coordination
1270,Religious_Restoration,Ethiopian_Empire_Solomonic,Solomonic_Religious_Restoration,Kebra_Nagast_Compilation,Dynastic_Religious_Legitimacy,20_50_160_250_500,Solomonic_religious_restoration_coordination
1400,Religious_Expansion,Ethiopian_Empire_Solomonic,Monastic_Expansion,Monastic_Literature_Expansion,Religious_Territorial_Expansion,20_50_160_250_500,Monastic_territorial_expansion_coordination
1500,Religious_Contact,Ethiopian_Empire_Solomonic,Portuguese_Catholic_Contact,Catholic_Missionary_Texts,European_Religious_Influence,20_50_160_250_500,Catholic_contact_political_coordination
1600,Religious_Conflict,Ethiopian_Empire_Solomonic,Catholic_Orthodox_Conflict,Religious_Polemic_Literature,Religious_Civil_War,20_50_160_250_500,Religious_conflict_political_coordination
1632,Religious_Expulsion,Ethiopian_Empire_Solomonic,Catholic_Missionary_Expulsion,Orthodox_Restoration_Texts,Religious_Political_Isolation,20_50_160_250_500,Religious_expulsion_political_coordination
1850,Religious_Reform,Ethiopian_Empire_Solomonic,Orthodox_Reform_Movement,Reformed_Religious_Texts,Religious_Modernization,20_50_160_250_500,Religious_reform_modernization_coordination
1930,Religious_Crisis,Ethiopian_Empire_Solomonic,Italian_Occupation_Religious_Crisis,Resistance_Religious_Literature,Religious_Political_Resistance,20_50_160_250_500,Religious_resistance_political_coordination
1974,Religious_Secularization,Ethiopian_Empire_Solomonic,Socialist_Secularization,Marxist_Educational_Texts,Religious_Political_Suppression,20_50_160_250_500,Secular_religious_suppression_coordination
800,Religious_Foundation,Swahili_City_States,Islamic_Conversion,Arabic_Script_Introduction,Islamic_Political_Authority,20_50_160_250_500,Islamic_political_authority_coordination
1000,Religious_Institutionalization,Swahili_City_States,Swahili_Islamic_Culture,Swahili_Arabic_Literature,Islamic_Sultanate_System,20_50_160_250_500,Islamic_sultanate_systematization
1200,Religious_Peak,Swahili_City_States,Islamic_Commercial_Culture,Islamic_Commercial_Texts,Islamic_Trade_Dominance,20_50_160_250_500,Islamic_commercial_dominance_coordination
1400,Religious_Consolidation,Swahili_City_States,Swahili_Islamic_Synthesis,Swahili_Islamic_Poetry,Cultural_Religious_Unity,20_50_160_250_500,Cultural_religious_unity_coordination
1498,Religious_Contact,Swahili_City_States,Portuguese_Christian_Contact,Christian_Missionary_Texts,European_Religious_Pressure,20_50_160_250_500,Christian_contact_pressure_coordination
1500,Religious_Conquest,Swahili_City_States,Portuguese_Religious_Conquest,Christian_Colonial_Texts,Religious_Political_Subjugation,20_50_160_250_500,Religious_conquest_subjugation_coordination
1300,Religious_Foundation,Buganda_Kingdom,Ganda_Traditional_Religion,Oral_Religious_Traditions,Divine_Kingship_Authority,20_50_160_250_500,Traditional_divine_authority_coordination
1700,Religious_Consolidation,Buganda_Kingdom,Traditional_Religious_Systematization,Ritual_Codification,Royal_Religious_Authority,20_50_160_250_500,Traditional_royal_authority_coordination
1844,Religious_Contact,Buganda_Kingdom,Islamic_Missionary_Arrival,Arabic_Islamic_Texts,Religious_Political_Influence,20_50_160_250_500,Islamic_missionary_influence_coordination
1875,Religious_Contact,Buganda_Kingdom,Christian_Missionary_Arrival,Luganda_Bible_Translation,Religious_Political_Competition,20_50_160_250_500,Christian_missionary_competition_coordination
1884,Religious_Conflict,Buganda_Kingdom,Religious_Wars,Religious_Polemic_Literature,Religious_Political_Crisis,20_50_160_250_500,Religious_war_crisis_coordination
1900,Religious_Resolution,Buganda_Kingdom,Christian_Dominance_Establishment,Christian_Educational_Texts,Christian_Political_Integration,20_50_160_250_500,Christian_dominance_integration_coordination
1000,Religious_Foundation,Rwanda_Kingdom,Rwandan_Traditional_Religion,Oral_Religious_Traditions,Mwami_Divine_Authority,20_50_160_250_500,Traditional_divine_authority_coordination
1400,Religious_Consolidation,Rwanda_Kingdom,Royal_Ancestor_Cult,Ritual_Oral_Literature,Royal_Religious_Legitimacy,20_50_160_250_500,Royal_religious_legitimacy_coordination
1900,Religious_Contact,Rwanda_Kingdom,Christian_Missionary_Activity,Kinyarwanda_Bible_Translation,Colonial_Religious_Integration,20_50_160_250_500,Christian_colonial_integration_coordination
1920,Religious_Conversion,Rwanda_Kingdom,Mass_Christian_Conversion,Christian_Educational_Texts,Colonial_Christian_Authority,20_50_160_250_500,Mass_conversion_authority_coordination
1000,Religious_Foundation,Burundi_Kingdom,Burundian_Traditional_Religion,Oral_Religious_Traditions,Mwami_Divine_Authority,20_50_160_250_500,Traditional_divine_authority_coordination
1400,Religious_Consolidation,Burundi_Kingdom,Royal_Ancestor_Cult,Ritual_Oral_Literature,Royal_Religious_Legitimacy,20_50_160_250_500,Royal_religious_legitimacy_coordination
1900,Religious_Contact,Burundi_Kingdom,Christian_Missionary_Activity,Kirundi_Bible_Translation,Colonial_Religious_Integration,20_50_160_250_500,Christian_colonial_integration_coordination
1920,Religious_Conversion,Burundi_Kingdom,Mass_Christian_Conversion,Christian_Educational_Texts,Colonial_Christian_Authority,20_50_160_250_500,Mass_conversion_authority_coordination
1000,Religious_Foundation,Kitara_Empire,Bachwezi_Divine_Religion,Oral_Divine_Traditions,Divine_Kingship_Authority,20_50_160_250_500,Divine_kingship_authority_coordination
1300,Religious_Peak,Kitara_Empire,Divine_Kingship_Cult,Divine_Oral_Literature,Theocratic_Peak,20_50_160_250_500,Theocratic_divine_peak_coordination
