Date_BCE_CE,Civilization,Economic_System_Type,Primary_Production,Trade_Networks,Currency_System,Financial_Institutions,Labor_Organization,Resource_Exploitation,Market_Structure,Economic_Policy,Wealth_Distribution,Cycle_Phase,Cycle_Alignment,Economic_Engineering_Evidence
-2500,Punt_Kingdom,Incense_Economy,Incense_Production,Red_Sea_Trade,Barter_System,Clan_Wealth,Kinship_Labor,Incense_Exploitation,Regional_Markets,Incense_Policy,Clan_Distribution,Birth_Phase,20_50_160_250_500,Incense_trade_systematization
-2000,Punt_Kingdom,Red_Sea_Commerce,Luxury_Production,Egyptian_Trade,Egyptian_Currency,Trade_Houses,Commercial_Labor,Luxury_Resources,International_Markets,Trade_Policy,Commercial_Elite,Growth_Phase,20_50_160_250_500,Red_sea_commerce_systematization
-1500,Punt_Kingdom,Tribute_Economy,Tributary_Production,Egyptian_Tribute,Tribute_Currency,Tributary_Finance,Tributary_Labor,Controlled_Resources,Controlled_Markets,Tributary_Policy,Egyptian_Elite,Peak_Phase,20_50_160_250_500,Tributary_economic_peak_coordination
-1000,Punt_Kingdom,Declining_Trade,Declining_Production,Disrupted_Trade,Declining_Currency,Declining_Finance,Declining_Labor,Declining_Resources,Declining_Markets,Declining_Policy,Declining_Elite,Decline_Phase,20_50_160_250_500,Trade_decline_coordination
100,Kingdom_of_Aksum,Red_Sea_Trade,Agricultural_Production,Red_Sea_Commerce,Aksumite_Currency,Trade_Finance,Agricultural_Labor,Agricultural_Resources,Regional_Markets,Agricultural_Policy,Royal_Elite,Birth_Phase,20_50_160_250_500,Red_sea_trade_systematization
320,Kingdom_of_Aksum,Christian_Economy,Christian_Production,Christian_Trade,Christian_Currency,Christian_Finance,Christian_Labor,Christian_Resources,Christian_Markets,Christian_Policy,Christian_Elite,Growth_Phase,20_50_160_250_500,Christian_economic_systematization
400,Kingdom_of_Aksum,International_Commerce,Luxury_Production,International_Trade,Gold_Currency,International_Banking,Specialized_Labor,Gold_Ivory_Resources,International_Markets,Commercial_Policy,Commercial_Elite,Peak_Phase,20_50_160_250_500,International_commerce_peak_coordination
700,Kingdom_of_Aksum,Isolated_Economy,Declining_Production,Reduced_Trade,Declining_Currency,Declining_Finance,Reduced_Labor,Declining_Resources,Reduced_Markets,Isolation_Policy,Declining_Elite,Decline_Phase,20_50_160_250_500,Economic_isolation_coordination
960,Kingdom_of_Aksum,Fragmented_Economy,Fragmented_Production,Fragmented_Trade,Fragmented_Currency,Fragmented_Finance,Fragmented_Labor,Fragmented_Resources,Fragmented_Markets,Fragmented_Policy,Fragmented_Elite,Collapse_Phase,20_50_160_250_500,Economic_fragmentation_coordination
1137,Zagwe_Dynasty,Religious_Economy,Religious_Production,Pilgrimage_Trade,Religious_Currency,Religious_Finance,Religious_Labor,Religious_Resources,Religious_Markets,Religious_Policy,Religious_Elite,Birth_Phase,20_50_160_250_500,Religious_economic_systematization
